אפריקע	Afrika
קליינע קישקע	Dunne darm
חוש-סיסטעם	Zintuigstelsel
שפעק	Bacon (vlees)
IP אדרעס	IP-adres
זייערס	Zuur (scheikunde)
אומארגאנישע כעמיע	Anorganische chemie
פראגע צייכן	Vraagteken
כעמישע פארבינדונג	Samengestelde stof
יוליאנישער קאלענדאר	Juliaanse kalender
מעדיצין	Geneeskunde
וועלט פאקטבוך	The World Factbook
באזע (כעמיע)	Base (scheikunde)
סאראיעווא	Sarajevo
לאגאריטם	Logaritme
העכסטע געריכט פון די פאראייניגטע שטאטן	Hooggerechtshof van de Verenigde Staten
אריטמעטיק	Rekenen
פענטאגאן	Pentagon (Verenigde Staten)
קאארדינאטן סיסטעם	Coördinatenstelsel
מיליטער פון די פאראייניקטע שטאטן פון אמעריקע	United States Armed Forces
דיפערענציאל-גלייכונג	Differentiaalvergelijking
Windows 7	Windows 7
נומערישער אנאליז	Numerieke wiskunde
יו.עס. מארין קארפס	United States Marine Corps
Windows Server	Windows Server
אמעריקאנער פלאט	United States Navy
אמעריקאנער לופטפלאט	United States Air Force
אמעריקאנער בארטן פאטראל	United States Coast Guard
פראצענט	Procent
Windows Vista	Windows Vista
היימלאנד זיכערהייט	United States Department of Homeland Security
Windows Server 2008	Windows Server 2008
World Trade Center	World Trade Center (New York)
סמיילי	Smiley
Windows Server 2003	Windows Server 2003
Windows XP	Windows XP
מידטאון מאנהעטן	Midtown Manhattan
לאוער מאנהעטען	Lower Manhattan
זאלץ	Keukenzout
Microsoft Office	Microsoft Office
פידעל קאסטרא	Fidel Castro
Microsoft Word	Microsoft Word
קאנגרעס	Amerikaans Congres
עקסעל	Microsoft Excel
קאַטעגאָריע:בראזיל	Categorie:Brazilië
טראל (אינטערנעט)	Trol (internet)
מאנהעטן	Manhattan (New York)
וואלקן קראצער	Wolkenkrabber
שאפינג מאלל	Winkelcentrum
קאַטעגאָריע:רומעניע	Categorie:Roemenië
כעמישער עלעמענט	Chemisch element
גלייכונג	Vergelijking (wiskunde)
פונקציע	Functie (wiskunde)
ארגאנישע כעמיע	Organische chemie
ווינקל	Hoek (meetkunde)
קארבאהידראט	Koolhydraat
הארמאן	Hormoon
ליפיד	Lipide
יוניקס	Unix
מאלעקול	Molecuul
פיזיקאלישע כעמיע	Fysische chemie
פארגיכערונג	Versnelling (natuurkunde)
ענערגיע	Energie
לאקאל נעצווערק	Local area network
קאנסערווירונג פון ענערגיע	Wet van behoud van energie
עלעקטראמאגנעטישע שטראלונג	Elektromagnetische straling
אינפרארויט	Infrarood
אולטראוויאלעט	Ultraviolet
זגאלן אין סכנה	Bedreigde soort
שטוביקונג	Domesticatie
קלאסישע מעכאניק	Klassieke mechanica
ביאלאגישע קלאסיפיקאציע	Taxonomie in de biologie
ראק מוזיק	Rock
היפ האפ	Hiphop
קראפט	Kracht
סאמבע	Samba (muziek)
פויק	Trommel
פלייט	Fluit (muziekinstrument)
מאגנעטיש פעלד	Magnetisch veld
אפארטהייד	Apartheid
שפיל	Spel
טריק-טראק	Backgammon
גראוויטאציע	Zwaartekracht
גא	Go (bordspel)
שטארקע קראפט	Sterke kernkracht
אזארטשפיל	Kansspel
קאמפקונסט	Vechtkunst
שוואכע קראפט	Zwakke kernkracht
קאראטע	Karate
דזשודא	Judo
מאגנעט	Magneet
שפילכל	Speelgoed
מאסע	Massa (natuurkunde)
פילם	Film (cinematografie)
אנימאציע	Animatie (media)
מעטאל	Metaal
שטאל (מעטאל)	Staal (legering)
יאדער-שפאלטונג	Kernsplijting
צושטאנד פון מאטעריע	Aggregatietoestand
גאז	Gas (aggregatietoestand)
פליסיקייט	Vloeistof
לופטמאשין	Luchtvaartuig
סאלידער קערפער	Vaste stof
ביציקל	Fiets
שיף	Schip (transportmiddel)
ראדיאאקטיוויטעט	Radioactiviteit
לאנדווירטשאפט	Landbouw
אלגעמיינע טעאריע פון רעלאטיוויטעט	Algemene relativiteitstheorie
באוואסערונג	Irrigatie
ספעציעלע טעאריע פון רעלאטיוויטעט	Speciale relativiteitstheorie
האלב-דורכפירער	Halfgeleider (vastestoffysica)
באוול	Katoen
קליידונג	Kleding
קלאנג	Geluid
אדאבי	Adobe Systems
אקער	Ploeg (werktuig)
גיכקייט	Snelheid
טעמפעראטור	Temperatuur
מעטאלורגיע	Metallurgie
נאנאטעכנאלאגיע	Nanotechnologie
גלאז	Glas
צייט	Tijd
פאפיר	Papier
טערמאדינאמיק	Thermodynamica
פלאסטיק	Plastic
וואקיום	Vacuüm
קינעמאטיק	Kinematica
שטח	Oppervlakte
פיטאגאראס פרינציפ	Stelling van Pythagoras
מאטעמאטישער דערווייז	Wiskundig bewijs
צאל	Getal (wiskunde)
קאמפלעקסע צאל	Complex getal
דארווין, אויסטראליע	Darwin (Australië)
קילאגראם	Kilogram
מעטער	Meter
סעקונדע	Seconde
קוקורוזע	Mais
גערשט	Gerst
ליטער	Liter
בליטש	Bleekmiddel
הערי עס טרומאן	Harry S. Truman
מאלעריי	Schilderkunst
פאטאגראפיע	Fotografie
סקולפטור	Beeldhouwkunst
טעאטער	Theater (kunstvorm)
דזשודי גארלאנד	Judy Garland
טאנץ	Dans
טעפעריי	Pottenbakken
עלעקטראניק	Elektronica
עלעקטרישער שטראם	Elektrische stroom
פרעקווענץ	Frequentie
דיאדע	Diode
טראנספארמאטאר	Transformator
קינסטלעכע אינטעליגענץ	Kunstmatige intelligentie
אינפארמאציע טעכנאלאגיע	Informatietechnologie
וועטער	Weer (meteorologie)
ענדרו קוואמא	Andrew Cuomo
דעיוויד פעטערסאן	David Paterson
עליאט שפיצער	Eliot Spitzer
דזשארזש פאטאקי	George Pataki
אקציע (פינאנץ)	Aandeel
פרעזידענט פון די פאראייניגטע שטאטן	President van de Verenigde Staten
רעסטאראן	Restaurant
דרום-מזרח אזיע	Zuidoost-Azië
רשימה:לענדער פון דער וועלט	Lijst van landen in 2015
פרעהיסטאריע	Prehistorie
לייזער זאמענהאף	Lejzer Zamenhof
שטיין עפאכע	Steentijd
בראנדז עפאכע	Bronstijd
אייזן עפאכע	IJzertijd
מעסאפאטאמיע	Mesopotamië
אוראלט עגיפטן	Oude Egypte
אוראלט גריכנלאנד	Oude Griekenland
גופטא אימפעריע	Gupta's
בער	Beren
זשאן עדעמס	John Adams (politicus)
טאמעס זשעפערסאן	Thomas Jefferson
זשיימס מעדיסאן	James Madison
זשיימס מאנרא	James Monroe
זשאן קווינסי עדעמס	John Quincy Adams
ענדרו זשעקסאן	Andrew Jackson
מארטין וואן ביורען	Martin Van Buren
וויליאם הענרי העריסאן	William Henry Harrison
זשאן טיילער	John Tyler
וויליאם ראאן האמילטאן	William Rowan Hamilton
זשיימס נאקס פאלק	James Polk
זאקארי טיילאר	Zachary Taylor (politicus)
בריטני ספירס	Britney Spears
פארדייאונג	Spijsvertering
פאטאסינטעז	Fotosynthese
רעפראדוקציע	Voortplanting (biologie)
שוואנגערן	Zwangerschap
קיילי מינא	Kylie Minogue
דעמב	Eik
גוגל מאפע	Google Maps
גוגל נייעס	Google News
סאסנע	Den (geslacht)
אדיקציע	Verslaving
קענסער	Kanker
כאלערע	Cholera
קארן	Rogge (graan)
האבער	Haver
ווייץ	Tarwe
סארגע	Sorgo
תבואה	Graan
פארקילונג	Verkoudheid
ציינדאקטעריי	Tandheelkunde
דעפעקטיווקייט	Handicap (medisch)
קאלענדאר	Kalender
טויב	Doofheid
מח-קרענק	Psychische aandoening
קראנקייט	Ziekte
גרעגאריאנישער קאלענדאר	Gregoriaanse kalender
מעדיקאמענט	Geneesmiddel
צייט זאנע	Tijdzone
ניקאטין	Nicotine
געזונט	Gezondheid
הארץ אטאקע	Hartinfarct
טוטאַנכאַמון	Toetanchamon
מאלאריע	Malaria
אנטארעס	Antares (ster)
נישט-דערנערונג	Malnutritie
מענסטרואציע	Menstruatie
גראב	Obesitas
פאנדעמיע	Pandemie
אנטיביאטיק	Antibioticum
פעניצילין	Penicilline
נאנט	Nantes
לונגען אנטצינדונג	Longontsteking
קינדער-פאראליז	Poliomyelitis
געשלעכט-קראנקייט	Seksueel overdraagbare aandoening
עידס	Aids
וואטע שפיץ	Wattenstaafje
אנפאל	Cerebrovasculair accident
טובערקולאז	Tuberculose
צוקערקרענק	Diabetes mellitus
פאקן	Pokken
קורדן	Koerden
ארכיטעקטור	Architectuur
בויגן (ארכיטעקטור)	Boog (bouwkunde)
בריק	Brug (bouwwerk)
קאנאל	Kanaal (waterweg)
מילארד פילמאר	Millard Fillmore
פרענקלין פירס	Franklin Pierce
דאם	Dam (waterkering)
זשיימס ביוקענען	James Buchanan
זאלץ (כעמיע)	Zouten
פירענעען	Pyreneeën
שוויץ (קאנטאן)	Schwyz (kanton)
דעטרויט	Detroit (Michigan)
מאס	Meten
אינטערנאציאנאלע סיסטעם פון איינסן	SI-stelsel
נומערן טעאריע	Getaltheorie
סכומען טעאריע	Verzamelingenleer
סטאטיסטיק	Statistiek
סימעטריע	Symmetrie
קופאל	Koepel (bouwkunst)
בורדזש כאליפא	Burj Khalifa
כינעזער וואנט	Chinese Muur
גאנצע צאל	Geheel getal
האגיא סאפיא	Hagia Sophia
טרעפּ	Trap (gebouw)
פעטראס באסיליקע	Sint-Pietersbasiliek
דריי-שלוכטן-דאמבע	Drieklovendam
פיראמיד	Piramide (bouwwerk)
טורעם	Toren (bouwwerk)
אבאסישער כאליפאט	Kalifaat van de Abbasiden
אויפקלערונג	Verlichting (stroming)
אזטעק	Azteken
ביזאנטישע אימפעריע	Byzantijnse Rijk
קרייצצוג	Kruistocht
הייליגע רוימישע אימפעריע	Heilige Roomse Rijk
הונדערט-יעריגע מלחמה	Honderdjarige Oorlog
מיטל אלטער	Middeleeuwen
מאנגאלישע אימפעריע	Mongoolse Rijk
אטאמאנישע אימפעריע	Ottomaanse Rijk
עספעראנטא וועלט קאנגערס	Esperanto-Wereldcongres
פראטעסטאנטישע רעפארמאציע	Reformatie
וויקינג	Vikingen
נבוכדנאצר דער צווייטער	Nebukadnezar II
ברוטא אינלענדישער פראדוקט	Bruto binnenlands product
קאליגראפיע	Kalligrafie
מאדע	Mode
דערנייבארע ענערגיע	Duurzame energie
עלעקטריע	Elektriciteit
קערנדיקע קראפט	Kernenergie
פאסיל-ברענשטאף	Fossiele brandstof
אינטערנל קאמבאסטשען ענזשין	Verbrandingsmotor
דאמפמאטאר	Stoommachine
שווערד	Zwaard (wapen)
פייער-געווער	Vuurwapen
מאשינביקס	Machinegeweer
נוקלעארער וואפן	Kernwapen
2029	2029
איבערישער האלבאינזל	Iberisch Schiereiland
שיספולווער	Buskruit
פליסיגע אויפרייס	Explosief
טאנק	Tank (voertuig)
אנטווערפן	Antwerpen (stad)
דזשארדזש סאראס	George Soros
רעאלע צאל	Reëel getal
לעאפאלד דער צווייטער פון בעלגיע	Leopold II van België
לעאפאלד דער ערשטער פון בעלגיע	Leopold I van België
לעאפאלד דער דריטער פון בעלגיע	Leopold III van België
אלבערט דער ערשטער פון בעלגיע	Albert I van België
באדעוויין פון בעלגיע	Boudewijn van België
מישעל אבאמא	Michelle Obama
ראזשינקע	Rozijn
קאקאס	Kokospalm
מילגרוים	Granaatappel
מאראנץ	Sinaasappel
רומאנטש	Reto-Romaans
אייזקרעם	Roomijs
קוכן	Taart
יאגארט	Yoghurt
הארווארד אוניווערסיטעט	Harvard-universiteit
על זשאזירא	Al Jazeera
רעטעניש	Puzzel
סעבו (גובערניע)	Cebu (provincie)
אנזשאלינא זשאולי	Angelina Jolie
אדריאטישער ים	Adriatische Zee
אראביש	Arabisch
דאנק טאג	Thanksgiving Day
Msnbc	MSNBC
האנשו	Honshu
בערנארד מעדאף	Bernard Madoff
ערווין ראמעל	Erwin Rommel
קאנדאם	Condoom
פאלמע	Palmenfamilie
טשימבאראזא	Chimborazo (vulkaan)
דאלאר	Dollar (munt)
ביקיני	Bikini (kleding)
קארסיקע	Corsica
דזשוסעפע פיאצי	Giuseppe Piazzi
ערשטער ניווא דאמען	Topleveldomein
סאנטיאגא דע קאמפאסטעלא	Santiago de Compostella
וויטאריע	Vitoria-Gasteiz
סאנטא קרוז דע טענעריפע	Santa Cruz de Tenerife (stad)
בעטא	Bèta (letter)
גאמא	Gamma (letter)
קאקטוס	Cactusfamilie
אפטיק	Optica
הערב	Wapen (heraldiek)
פאן	Vlag
טיש	Tafel (meubilair)
לענאווא	Lenovo
הייסע וואסער סיסטעם	Boiler
ברין	Brno
עסקאלאטאר	Roltrap
שטול	Stoel
אינטערנאציאנאלע ארגאניזאציע פאר סטאנדארטיזאציע	Internationale Organisatie voor Standaardisatie
ב	Beet
ג	Giemel
ד	Dallet (letter)
ה	Hee (letter)
זשיראף	Giraffe (dier)
דרום טיראל	Zuid-Tirol
ו	Waw (Hebreeuwse letter)
ז	Zajien
ח	Chet
ט	Tet (letter)
וואנצעס	Snor (haargroei)
סאוועטן פארבאנד	Sovjet-Unie
ראן פאול	Ron Paul
מוניציפאליטעט	Gemeente (bestuur)
אלקאהאליזם	Alcoholisme
קאמערע	Fotocamera
טעלעוויזיע פראגראם	Televisieprogramma
פאראנא	Paraná (staat)
C (פראגראם שפראך)	C (programmeertaal)
פוס	Voet (anatomie)
האנטקייטן	Handboeien
קווין	Queen
פרעדי מערקורי	Freddie Mercury
ברייען מעי	Brian May
ראדזשער טעילער	Roger Taylor (Queen)
עמי וויינהאוס	Amy Winehouse
מאנטעסקיע	Charles de Secondat, baron de La Brède et de Montesquieu
פעניאראל	CA Peñarol
פערזענלעכער קאמפיוטער	Personal computer
אקסל	Schouder
האלדז	Keel (anatomie)
שילדדריז	Schildklier
פארטאל:רעקאמענדירטע ארטיקלען	Wikipedia:Etalage
מוסטער:רא	Sjabloon:Link FA
וועלט	Wereld (Aarde)
װיקיפּעדיע:קאווע שטיבל	Wikipedia:De kroeg
ריכטער	Rechter
ווערמאנט	Vermont
סאן דיעגא	San Diego (Californië)
דענווער	Denver
היוסטן	Houston
פיניקס	Phoenix (Arizona)
אסטין	Austin (Texas)
מעמפיס	Memphis (Tennessee)
קאלומבוס, אהייא	Columbus (Ohio)
אמעריקאנישער סאמאא	Amerikaans-Samoa
עדגאר אלאן פא	Edgar Allan Poe
לאס אנדזשעלעס, טשילע	Los Ángeles (Chili)
שפיטאל	Ziekenhuis
מזרח דייטשלאנד	Duitse Democratische Republiek
קלויסטער	Kerkgebouw
נארד-פא-דע-קאלע	Nord-Pas-de-Calais
אקלאנד, קאליפארניע	Oakland (Californië)
גאוויאל	Gaviaal
איי	Ei (dier)
מונטינלופא	Muntinlupa
אעראפלאנען שיף	Vliegdekschip
שניי-מאביל	Sneeuwscooter
מאנאפאלי (שפיל)	Monopoly
קרייז	Cirkel
פלאך	Vlak (meetkunde)
זעלביקער-געשלעכט חתונה	Homohuwelijk
וויקיע	Wikia
קיינציקלאפעדיע	Uncyclopedia
פלאמענגא	CR Flamengo
צעלפאן	Mobiele telefoon
שטרויס	Struisvogel
סטיווען האקינג	Stephen Hawking
קלאסישע פעריאדע (מוזיק)	Classicisme (muziek)
אקסיאם	Axioma
טעאריע	Theorie
סעקסואלער אריענטאציע	Seksuele geaardheid
סאקראמענטא	Sacramento (Californië)
האנאלולו	Honolulu
קארעע	Korea
1925	1925
1927	1927
מאנטשעסטער	Manchester
אספירין	Acetylsalicylzuur
אינסטינקט	Instinct (gedragspatroon)
פראווידענס	Providence (Rhode Island)
ניו ענגלאנד	New England (Verenigde Staten)
אלי וויזעל	Elie Wiesel
ברוקלין	Brooklyn (New York)
קווינס	Queens
בראנקס	The Bronx
סטעטן איילאנד	Staten Island
לאנג איילענד	Long Island (New York)
וואלף	Wolf
מעטאפאר	Metafoor
אלעגאריע	Allegorie (letterkunde)
מאפיא	Maffia
1955	1955
1954	1954
1953	1953
1951	1951
1950	1950
1946	1946
1943	1943
1942	1942
1940	1940
1939	1939
1938	1938
1937	1937
1936	1936
1935	1935
1934	1934
1933	1933
1932	1932
1931	1931
1930	1930
1929	1929
פיאנגיאנג	Pyongyang
נייער טעסטאמענט	Nieuwe Testament
GPS	Global positioning system
אסקאר	Oscar (filmprijs)
2010ער	2010-2019
אייקאריאט	Eukaryoten
9 (נומער)	9 (getal)
י	Jod
כ	Kaf (letter)
סאן פעדרא דע לא פאז	San Pedro de la Paz
פאדאלסק	Podolsk
באנאבא	Bonobo
זוכמאשין	Zoekmachine
פויבסט	Paus
אלקאלי מעטאל	Alkalimetaal
ראפאעל קארעא	Rafael Correa
איבערגאנג מעטאל	Overgangsmetaal
האלבמעטאלן	Metalloïde
נישט-מעטאל	Niet-metaal
איידעלער גאז	Edelgas
בוקארעשט	Boekarest
על גאר	Al Gore
סעווערן	Severn
פארטא-ריקאנישע אומאפהענגיקייט פארטיי	Partido Independentista Puertorriqueño
טעמז	Theems
טיראנא	Tirana (stad)
1928	1928
מאנגראווע	Mangrove
היטשין	Hitchin
קראצמעך	Kerstmis
דרייעק	Driehoek (meetkunde)
עיבור יאר	Schrikkeljaar
סטופיניגי שלאס	Stupinigi (paleis)
סטיוו זשאבס	Steve Jobs
ליידי גאגא	Lady Gaga
ברייניגערבערג	Breinigerberg
מואמאר קאדאפי	Moammar al-Qadhafi
בעקערלו ליניע	Bakerloo Line
טיגער	Tijger
כואן קארלאס דער ערשטער	Juan Carlos I van Spanje
פעטוטשיני	Fettuccine
לאנדאנער אונטערגרונט	Metro van Londen
קוגעלעך	Bikkelspel
MAC אדרעס	MAC-adres
פאדקעסט	Podcast
קעשענעוו	Chisinau
נאטירלעכע צאל	Natuurlijk getal
סאציאלאגיע	Sociologie
שלום (צייטונג)	Şalom
אדישא	Odisha
GNU פרייע דאקומענטאציע ליצענץ	GNU-licentie voor vrije documentatie
זשאן קערי	John Kerry
אנטיסעמיטיזם	Antisemitisme
נאפט	Aardolie
פרידריך שילער	Friedrich von Schiller
שיך	Schoen
דאנאלד טראמפ	Donald Trump
באנק	Bank (financiële instelling)
מעץ	Metz
פרייהייט פון ווארט	Vrijheid van meningsuiting
טעאריע:סעפטעמבער 11	Complottheorieën over de terroristische aanslagen op 11 september 2001
באפעלקערונג ענגקייט	Bevolkingsdichtheid
Russia Today	RT (televisiezender)
אירלאנד (אינזל)	Ierland (eiland)
װיקיפּעדיע:בלעטער צו אויסמעקן	Wikipedia:Te beoordelen pagina's
בראדפארד	Bradford
טשעשיר	Cheshire (graafschap)
קאמבריע	Cumbria
לאנקאשיר	Lancashire (graafschap)
נארטהאמבערלאנד	Northumberland
טיין און וויר	Tyne and Wear
קאנטי דארהאם	Durham (graafschap)
מערב יארקשיר	West Yorkshire
צפון יארקשיר	North Yorkshire
מזרח ריידינג פון יארקשיר	East Riding of Yorkshire
לינקאנשיר	Lincolnshire (graafschap)
נאטינגהאמשיר	Nottinghamshire
דרום יארקשיר	South Yorkshire
דארבישיר	Derbyshire
גרויס-מאנטשעסטער	Greater Manchester
מערזיסייד	Merseyside
שראפשיר	Shropshire
סטאפארדשיר	Staffordshire
לעסטערשיר	Leicestershire
ראטלאנד	Rutland (graafschap)
נארפאלק	Norfolk (graafschap)
סאפאלק	Suffolk
קעמברידזשיר	Cambridgeshire
לו קסון	Lu Xun (schrijver)
נארטהאמפטאנשיר	Northamptonshire
הערעפארדשיר	Herefordshire
וואוסטערשיר	Worcestershire
וואריקשיר	Warwickshire
בעדפארדשיר	Bedfordshire
קארנוואל	Cornwall
בריסטאל	Bristol (Verenigd Koninkrijk)
דעוון	Devon
דארסעט	Dorset
גלאסטערשיר	Gloucestershire
אקספארדשיר	Oxfordshire
10	10
ווילטשיר	Wiltshire (graafschap)
האמפשיר	Hampshire
בארקשיר	Berkshire
באקינגהאמשיר	Buckinghamshire
20	20
אמטראק	Amtrak
עסעקס	Essex (graafschap)
סארי	Surrey (graafschap)
מערב סאסעקס	West Sussex
מזרח סאסעקס	East Sussex
30	30
קענט	Kent (graafschap)
גרויסלאנדאן	Groot-Londen
סיטי פון לאנדאן	City of London
9	9
7 (נומער)	7 (getal)
8 (נומער)	8 (getal)
זשאן אגוסט דאמיניק ענגרע	Jean Auguste Dominique Ingres
וואָך	Week
אייז	IJs (water)
אזערע	Meer (watervlakte)
קנאבל	Knoflook
אנטראפאלאגיע	Antropologie
ים סוף	Rode Zee
אוגערקע	Cucumis sativus
אולאן באטאר	Ulaanbaatar
עדינבורג	Edinburgh
אשגאבאט	Asjchabad
אקטאוו מירבא	Octave Mirbeau
אינזל	Eiland
ווייס	Wit
שווארץ	Zwart (kleur)
מארסיי	Marseille
ציבל	Ui (plant)
6 (נומער)	6 (getal)
ארכעאלאגיע	Archeologie
טאמאטע	Tomaat
דזשארזש ה. וו. בוש	George H.W. Bush
ריקי דזשארוועיס	Ricky Gervais
באלקאן לענדער	Balkan (schiereiland)
סלאווישע שפראכן	Slavische talen
עקוואטאר	Evenaar
סעלענא	Selena Quintanilla
מערידא, ווענעזועלע	Mérida (Venezuela)
אטלאנטא	Atlanta
בעניטא מוסאליני	Benito Mussolini
לאסט (טעלעוויזיע סעריע)	Lost
17	17
ווערטערבוך	Woordenboek
קאפ	Hoofd (anatomie)
װעלינגטאן	Wellington (stad in Nieuw-Zeeland)
גרויסבריטאניע	Groot-Brittannië
23	23
זשימי קארטער	Jimmy Carter
נאציאנאלער הימען	Volkslied (nationaal symbool)
סיינפעלד (סעריע)	Seinfeld
לאס וועגאס	Las Vegas (Nevada)
26	26
פאלעסטינע	Palestina (regio)
10 (נומער)	10 (getal)
אטאם נומער	Atoomnummer
אלפרעד נאבעל	Alfred Nobel
24	24
29	29
לילך דאונס	Lila Downs
ים המלח	Dode Zee
25	25
31	31
28	28
ליווערפול	Liverpool
אלבאני	Albany (New York)
אוואטאר (פילם)	Avatar (film)
ווערב	Werkwoord
770	770
וואדי עלען	Woody Allen
טיטאניק	Titanic (schip, 1912)
ראמשטיין	Rammstein
סאווע	Uilen (orde)
פונט שטערלינג	Pond sterling
בענעטיץ	Benetice (Světlá nad Sázavou)
ווערטייברעיטס	Gewervelden
מעטעאראלאגיע	Meteorologie
אזארן	Azoren
פעלידאע	Katachtigen
אינטערנאציאנאלע קאסמאס סטאנציע	Internationaal ruimtestation ISS
היספאניאלא	Hispaniola
דא נאנג	Đà Nẵng (stad)
פעטרישקע	Peterselie
אופסאלא	Uppsala (stad)
געטעבארג	Göteborg (stad)
וואג	Gewicht
קארניש	Cornisch
טייטלבוים	Dadelpalm
האמער	Hamer (gereedschap)
ראטיבאר	Racibórz
פליג	Tweevleugeligen
בליענדיקע פלאנצן	Bedektzadigen
ארקטיק	Arctis
מאלוסקן	Weekdieren
Gaudi Antoni	Antoni Gaudí
מאכט	Vermogen (natuurkunde)
טענענבוים	Zilverspar
דראמא	Drama (genre)
ליבעלעס	Libellen
פארשטעלונג	Toneelstuk
בורשטין	Barnsteen
נוארק	Newark (New Jersey)
וועסטעראס	Västerås (stad)
לינשעפינג	Linköping (stad)
וואלטאזש	Elektrische spanning
זאפראן	Saffraan
סארביש	Sorbisch
מעלנליקע	Mölnlycke
ליכט-ארויסגעבנדיקער דיאד	Led
נארשעפינג	Norrköping (stad)
ערעברו	Örebro (stad)
פראטאקאלן פון זקני-ציון	Protocollen van de wijzen van Sion
נאציאנאלע באן	National Rail
אוגרע	Paling
פאפראד	Poprad (stad)
נייטרא	Nitra
צאבעל	Sabelmarter
באאבדע	Baabda
רש"י	Rasji
סאטעליט	Kunstmaan
כריין	Mierik
זאכלא	Zahleh
אילטיס	Bunzing
מארק ענטאני	Marc Anthony
פאלעסטין באפרייונג ארגאניזאציע	Palestijnse Bevrijdingsorganisatie
נעגעלע	Kruidnagel
אטעלא	Othello (toneelstuk)
טעילאר סוויפט	Taylor Swift
לאנדאנער בארא פון קרוידן	Croydon (district)
פראפיט	Winst (onderneming)
מזרח אזיע	Oost-Azië
צפון אפריקע	Noord-Afrika
צענטראל-אפריקע	Centraal-Afrika
דרום אייראפע	Zuid-Europa
מזרח אייראפע	Oost-Europa
מערב אייראפע	West-Europa
צענטראל אייראפע	Centraal-Europa
צענטראל-אמעריקע	Centraal-Amerika
האטעל	Hotel
מזרח פריזישע אינזלען	Oost-Friese Waddeneilanden
נירנבערג געזעצן	Rassenwetten van Neurenberg
געזאנג	Zangkunst
אדאלף אייכמאן	Adolf Eichmann
צימערינג	Kaneel
קאנקארד, ניו העמפשער	Concord (New Hampshire)
סעלערי	Selderij
ליסטע פון שטעט אין ישראל	Lijst van steden in Israël
אספארגוס	Asperge
סצענאר שרייבער	Scenarioschrijver
גראד	Booggraad
האר	Haar (zoogdier)
עסטרייך אונגארישע אימפעריע	Oostenrijk-Hongarije
ספרינגפילד, אילינוי	Springfield (Illinois)
דזשיקאוו	Tarnobrzeg
אראמיש	Aramees
פאך	Beroep
שניטקע	Sandwich (gerecht)
איסלאמישער קאלענדאר	Islamitische kalender
טענעריפע אוידיטאריע	Auditorio de Tenerife
סאשא בארון כהן	Sacha Baron Cohen
פוס מיליטער	Infanterie
F-35 לייטנינג II	F-35 Lightning II
מאנטגאמערי	Montgomery (Alabama)
באקא ראטאן	Boca Raton
רעפובליקאנער פארטיי	Republikeinse Partij (Verenigde Staten)
באק פולווער	Bakpoeder
לאקימיע	Leukemie
אפגאט	Heidendom
דעמאקראטישע פארטיי	Democratische Partij (Verenigde Staten)
בעאטריקס פון די נידערלאנדן	Beatrix der Nederlanden
Wi-Fi	Wi-Fi
לופטל	Taraxacum
בירגערמייסטער	Burgemeester
שניי לעמפערט	Sneeuwpanter
שטייגעררעכט	Common law
שלעזיש	Silezisch (Slavische taal)
פרעזידענט	President
בלאג	Weblog
אחז	Achaz
דזשיימסטאן, סאנט העלענע	Jamestown (Sint-Helena, Ascension en Tristan da Cunha)
וואלטער קראנקייט	Walter Cronkite
קאלקולאטאר	Rekenmachine
העלט קעיר	Gezondheidszorg
פאפוגיי	Papegaaiachtigen
קראקע	Krakau
ניישטאט אן דער אײש	Neustadt an der Aisch
אנארכיע	Regeringsloosheid
אראבישער האלבאינדזל	Arabisch Schiereiland
צוגאב	Optellen
לעבנסשטייגער	Levensstijl
מערידיאן	Meridiaan (geografie)
באקס	Boksen
א שפראך איז א דיאלעקט מיט אן ארמיי און א פלאט	Een taal is een dialect met een leger en een vloot
שאלקע 04	FC Schalke 04
לאנדאנער בארא פון מערטאן	Merton (district)
קעניגלעכע בארא פון קינגסטאן אויפן טעמז	Kingston upon Thames (district)
לאנדאנער בארא פון ריטשמאנד אויפן טעמז	Richmond upon Thames
דזשעניפער עניסטאן	Jennifer Aniston
לוזשיץ	Lausitz
אייקאן	Akon
וואלערי לעאנטיעוו	Valeri Leontjev
ISBN	Internationaal Standaard Boeknummer
זיבן יעריגער קריג	Zevenjarige Oorlog (1756-1763)
אויסטרא-אזיאטישע שפראכן	Austroaziatische talen
בנייני האומה	ICC Jeruzalem
טאסמאן ים	Tasmanzee
שווארצע טומאה	Bila Tserkva
אקצענט	Dialect
לייב טראצקי	Leon Trotski
ליטל ראק	Little Rock (Arkansas)
פאטענץ	Machtsverheffen
קארדעמאן	Kardemom
מוזיי	Museum
אלף בית	Hebreeuws alfabet
דאווער, דעלאווער	Dover (Delaware)
קישא	Kesha
קאנאדא	Kannada
קאשוביש	Kasjoebisch
בליץ	Bliksem
האנט	Hand
דו פו	Du Fu
עדמונד הילארי	Edmund Hillary
נעפאליש	Nepalees
באפעלקערונג	Bevolking
ארכיפעלאג	Archipel
טעאדער רוזעוועלט	Theodore Roosevelt
טור דע פראנס	Ronde van Frankrijk
ענטעבע אפעראציע	Operatie Entebbe
תל אביב-יפו	Tel Aviv
טשעכאסלאוואקיי	Tsjecho-Slowakije
ניס	Nice
בלאט	Blad
וואלפאראיסא	Valparaíso (stad)
אקטיאר	Acteur
האליוואד	Hollywood
מארלאן בראנדא	Marlon Brando
