Afrihkká	Afrika
Π	Pi (letter)
Toronto	Toronto
Alabama	Alabama
São Paulo	São Paulo (stad)
Duiska	Duitsland
Vilges-Ruošša	Wit-Rusland
Duiskkagiella	Duits
Islánda	IJsland
Estteeana	Estland
Saturn	Saturnus (planeet)
Agálašvuohta	Oneindigheid
George W. Bush	George W. Bush
Rektáŋgel	Rechthoek
Látvia	Letland
Ukraina	Oekraïne
Čeahkka	Tsjechië
Slovakia	Slowakije
Slovenia	Slovenië
Vilnius	Vilnius
Moldova	Moldavië (land)
Románia	Roemenië
Bulgária	Bulgarije
Roma	Rome (stad)
Makedonia	Macedonië (land)
Albánia	Albanië
Kalaallit Nunaat	Groenland
Kroatia	Kroatië
Bosnia ja Hercegovina	Bosnië en Herzegovina
Nuuk	Nuuk
Aserbaižan	Azerbeidzjan
Andorra	Andorra
Kypros	Cyprus
Georgia	Georgië
Kasakstan	Kazachstan
Malta	Malta (land)
Monaco	Monaco
Montenegro	Montenegro
Vatikána	Vaticaanstad
San Marino	San Marino
Bryssel	Brussels Hoofdstedelijk Gewest
Cuba	Cuba (land)
Belize	Belize (land)
Eiffel-toardna	Eiffeltoren
Barbados	Barbados
Boallobeavdi	Toetsenbord (computer)
Indonesia	Indonesië
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Durkkagiella	Turks
Lulli-Afrihkká	Zuid-Afrika
Algeria	Algerije
Usbekistan	Oezbekistan
Čurolastašattut	Zonnedauw
Warszawa	Warschau
Eurovision lávllagilvvohallan	Eurovisiesongfestival
Čáhci	Water
Islánddagiella	IJslands
Chile	Chili
Jesus	Jezus (traditioneel-christelijk)
Merkur	Mercurius (planeet)
Apple Inc.	Apple Inc.
Venus	Venus (planeet)
Giella	Taal
Jupiter	Jupiter (planeet)
Álgobávkkeheapmi	Oerknal
Uranus	Uranus (planeet)
Bretagne	Bretagne (schiereiland)
Neptun	Neptunus (planeet)
Singapore	Singapore
Liechtenstein	Liechtenstein
Nubbi máilmmisoahti	Tweede Wereldoorlog
Augusto Pinochet	Augusto Pinochet
Skopje	Skopje
Bob Dylan	Bob Dylan
Láhtengiella	Latijn
Bahrain	Bahrein
Armenia	Armenië
Higgsa boson	Higgsboson
Serbia	Servië
Mánnu	Maan
Istanbul	Istanboel
Australia	Australië (land)
Argentiinná	Argentinië
Peru	Peru
Davvi-Korea	Noord-Korea
Cambodja	Cambodja
Isláma	Islam
Pearamuorat	Peer (plant)
Ljubljana	Ljubljana
Lech Wałęsa	Lech Wałęsa
Eurohpá uniovdna	Europese Unie
Rhône-Alpes	Rhône-Alpes
Sofia	Sofia (stad)
666	666
Mount Everest	Mount Everest
Beaivváš	Zon
Oseania	Oceanië
Beaivvášgoddi	Zonnestelsel
Angela Merkel	Angela Merkel
Jándor	Dag
Nuorta-Timor	Oost-Timor
Jahki	Jaar
Jahkečuohti	Eeuw
Oslo	Oslo
Katowice	Katowice
Lisboa	Lissabon
Dubai	Dubai (emiraat)
Planehta	Planeet
Moskva	Moskou
Itáliagiella	Italiaans (taal)
Chad	Tsjaad
Ođđa-Selánda	Nieuw-Zeeland
India	India
Tuvalu	Tuvalu
Tonga	Tonga (land)
Samoa	Samoa
Salomonsullot	Salomonseilanden
Vanuatu	Vanuatu
Papua-Ođđa-Guinea	Papoea-Nieuw-Guinea
William Shakespeare	William Shakespeare
Palau	Palau (land)
Nauru	Nauru
Mikronesia	Micronesia
Marshallsullot	Marshalleilanden
Kiribati	Kiribati
Mongolia	Mongolië
Fiži	Fiji
Venezuela	Venezuela
Šáhkka	Schaken
Maine	Maine
Heabuš	Paard (dier)
Amsterdam	Amsterdam
Suriname	Suriname
Paraguay	Paraguay
Guyana	Guyana
Ecuador	Ecuador
Kolombia	Colombia
Eanamuorjjit	Aardbei
Buddhisma	Boeddhisme
Bolivia	Bolivia
New Hampshire	New Hampshire
Leonardo da Vinci	Leonardo da Vinci
Saint Christopher ja Nevis	Saint Kitts en Nevis
Guobbarat	Schimmels
Jamaica	Jamaica
Grenada	Grenada
Massachusetts	Massachusetts
Guatemala	Guatemala
Bahama	Bahama's
Connecticut	Connecticut
Antigua ja Barbuda	Antigua en Barbuda
Haváija	Hawaï
Honduras	Honduras
Dominica	Dominica
Dominikána dásseváldi	Dominicaanse Republiek
Haiti	Haïti
El Salvador	El Salvador
Iran	Iran
Irak	Irak
Alaska	Alaska
Costa Rica	Costa Rica
Israel	Israël
Panama	Panama (land)
Jemen	Jemen
Polskkagiella	Pools
Jordánia	Jordanië
Nicaragua	Nicaragua
Florida	Florida (staat)
Kirgisistan	Kirgizië
Arizona	Arizona (staat)
Kuwait	Koeweit
Laos	Laos
Libanon	Libanon
Oregon	Oregon
Ipmil (risttalašvuohta)	God (christendom)
Malediivvat	Maldiven
Utah	Utah
Malaysia	Maleisië
Valais (kantona)	Wallis (kanton)
Myanmar	Myanmar
Nepal	Nepal
Oman	Oman
Pakistan	Pakistan
Qatar	Qatar
Saudi-Arábia	Saoedi-Arabië
Sri Lanka	Sri Lanka
Syria	Syrië
Platon	Plato
Tažikistan	Tadzjikistan
Taiwan	Taiwan
YouTube	YouTube
Aristoteles	Aristoteles
Thaieana	Thailand
Turkmenistan	Turkmenistan
Ovttastuvvan arábaemiráhtat	Verenigde Arabische Emiraten
Vietnam	Vietnam
Lulli-Korea	Zuid-Korea
Afganistan	Afghanistan
Nižni Novgorod	Nizjni Novgorod
J. R. R. Tolkien	J.R.R. Tolkien
Golli	Goud
Bangladesh	Bangladesh
Mali	Mali
Angola	Angola
Bhutan	Bhutan
Brunei	Brunei
Tanzánia	Tanzania
Filippiinnat	Filipijnen
Gaska-Afrihká dásseváldi	Centraal-Afrikaanse Republiek
Davvipola	Noordpool
Albert Einstein	Albert Einstein
Togo	Togo
Tunisia	Tunesië
Zámbia	Zambia
Zimbabwe	Zimbabwe
Peking	Peking
Lulli-Sudan	Zuid-Soedan
Tuva	Toeva
Benin	Benin
Botswana	Botswana
Burkina Faso	Burkina Faso
Burundi	Burundi
Komorat	Comoren
Kongo dásseváldi	Congo-Brazzaville
Kongo demokráhtalaš dásseváldi	Congo-Kinshasa
Djibouti	Djibouti (land)
Bayern	Beieren
Beaivvedási Guinea	Equatoriaal-Guinea
Baden-Württemberg	Baden-Württemberg
Eritrea	Eritrea
New Delhi	New Delhi
Tbilisi	Tbilisi
Gabon	Gabon
Gambia	Gambia (land)
Guinea	Guinee
Guinea-Bissau	Guinee-Bissau
Elefántačalánriddu	Ivoorkust
Kamerun	Kameroen
Kap Verde	Kaapverdië
Lesotho	Lesotho
Liberia	Liberia
Libya	Libië
Madagaskar	Madagaskar
Malawi	Malawi
Mauritánia	Mauritanië
Mauritius	Mauritius (land)
Marokko	Marokko
Mosambik	Mozambique
Namibia	Namibië
Niger	Niger (land)
Nigeria	Nigeria
Uganda	Oeganda
Rwanda	Rwanda
São Tomé ja Príncipe	Sao Tomé en Principe
Senegal	Senegal
Seychellsullot	Seychellen
Sierra Leone	Sierra Leone
Somália	Somalië
Sudan	Soedan
Svazieana	Swaziland
Hamborg	Hamburg
Ovttastuvvan našuvnnat	Verenigde Naties
Praha	Praag
Bill Clinton	Bill Clinton
Lothringen	Lotharingen (Frankrijk)
Auvergne	Auvergne
Michigan	Michigan
Goa	Goa (India)
Burgundi	Bourgondië (regio)
Akvitania	Aquitanië
Limousin	Limousin
Slesvig-Holsten	Sleeswijk-Holstein
Mecklenburg-Vorpommern	Mecklenburg-Voor-Pommeren
Niedersachsen	Nedersaksen
Nordrhein-Westfalen	Noordrijn-Westfalen
Hessen	Hessen
Rheinland-Pfalz	Rijnland-Palts
Saarland	Saarland
Sachsen	Saksen (deelstaat)
Illinois	Illinois (staat)
Thüringen	Thüringen (deelstaat)
Sachsen-Anhalt	Saksen-Anhalt
Davvi-Dakota	North Dakota
Brandenburg	Brandenburg (deelstaat)
Bremen	Vrije Hanzestad Bremen
Lombardia	Lombardije
Lulli-Dakota	South Dakota
Montana	Montana (staat)
Wyoming	Wyoming
Piemonte	Piëmont
Idaho	Idaho
Valle d'Aosta	Valle d'Aosta
Washington (oassestáhta)	Washington (staat)
Nevada	Nevada (staat)
Trentino-Alto Adige	Trentino-Zuid-Tirol
Veneto	Veneto
Friuli-Venezia Giulia	Friuli-Venezia Giulia
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Liguria	Ligurië
Colorado	Colorado (staat)
Emilia-Romagna	Emilia-Romagna
Toscana	Toscane
Marche	Marche (Italië)
Umbria	Umbrië
Kategoriija:Váldokategoriijat	Categorie:Alles
Latium	Lazio
Abruzzo	Abruzzen
Chicago	Chicago
Spánskagiella	Spaans
Montevideo	Montevideo (stad)
Delhi	Delhi (stad)
Heavdni	Spinnen (dieren)
Islamabad	Islamabad
Šattus	Vrucht (plant)
Virginia	Virginia (staat)
Oarje-Virginia	West Virginia
New York (oassestáhta)	New York (staat)
Rhode Island	Rhode Island (staat)
Maryland	Maryland
Delaware	Delaware
Ohio	Ohio (staat)
Pennsylvania	Pennsylvania
Uetersen	Uetersen
New Jersey	New Jersey
Suomagiella	Fins
Indiana	Indiana
Georgia (oassestáhta)	Georgia (staat)
KDE	KDE
Zagreb	Zagreb
Campania	Campania
Texas	Texas (staat)
Molise	Molise
Puglia	Apulië
Basilicata	Basilicata
Davvi-Carolina	North Carolina
Lulli-Carolina	South Carolina
Calabria	Calabrië
Sicilia	Sicilië
Sardinia	Sardinië
Meksiko gávpot	Mexico-Stad
Tokyo	Tokio
Barcelona	Barcelona (Spanje)
Mississippi	Mississippi (staat)
Tennessee	Tennessee
New Mexico	New Mexico
Athena	Athene (stad)
Minnesota	Minnesota
UTC	UTC
Wisconsin	Wisconsin
Iowa	Iowa (staat)
Nebraska	Nebraska
Ciudad de Guatemala	Guatemala-Stad
Kansas	Kansas (staat)
Hindigiella	Hindi
Missouri	Missouri (staat)
Louisiana	Louisiana (staat)
Kentucky	Kentucky
Arkansas	Arkansas (staat)
Urdugiella	Urdu
Oklahoma	Oklahoma
Moskva oblast	Oblast Moskou
München	München
Samara oblast	Oblast Samara
Wien	Wenen
Københápman	Kopenhagen
Kaliningrad oblast	Oblast Kaliningrad
Stockholbma	Stockholm
Helsset	Helsinki
Murmansk oblast	Oblast Moermansk
Dublin	Dublin
Murmánska	Moermansk
Reykjavík	Reykjavik
Tallinn	Tallinn
Riga	Riga
Bratislava	Bratislava
Budapest	Boedapest
Gdańsk	Gdańsk
Frankfurt	Frankfurt am Main
Kárášjohka	Karasjok (gemeente)
Luxemburg (gávpot)	Luxemburg (stad)
Vaduz	Vaduz
Biibbal	Bijbel (christendom)
Hồ Chí Minh gávpot	Ho Chi Minhstad
Hanoi	Hanoi
Duođalaš Jesusa Girku	Ware Jezuskerk
Eaŋgalsgiella	Engels
Bangkok	Bangkok
Andorra la Vella	Andorra la Vella
Arkhangelsk oblast	Oblast Archangelsk
Đồng Hới	Đồng Hới
Concepción, Chile	Concepción (Chili)
Fyresdal	Fyresdal (gemeente)
Kiova	Kiev
Gárjila dásseváldi	Karelië (deelrepubliek)
Końskowola	Końskowola
2000	2000
2003	2003
2002	2002
2001	2001
2012	2012
2011	2011
2010	2010
2009	2009
2013	2013
2014	2014
2015	2015
2008	2008
2004	2004
Vologda oblast	Oblast Vologda
2005	2005
2006	2006
2007	2007
1900	1900
1901	1901
1902	1902
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
Komi dásseváldi	Komi (deelrepubliek)
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
Biebmu	Voedsel
Gearpmašat	Slangen
Ođđajagimánu 1.	1 januari
Ođđajagimánu 2.	2 januari
1920	1920
Ođđajagimánu 3.	3 januari
1919	1919
1921	1921
Njenec Iehčanas Guovlu	Nenetsië
1922	1922
Lund (Rogalánda)	Lund (stad in Skåne)
Ođđajagimánu 4.	4 januari
1923	1923
1924	1924
Leningrad oblast	Oblast Leningrad
Ođđajagimánu 5.	5 januari
Malmö	Malmö (stad)
Pskov oblast	Oblast Pskov
Ođđajagimánu 6.	6 januari
Ođđajagimánu 7.	7 januari
Nissedal	Nissedal
Kviteseid	Kviteseid (gemeente)
Ođđajagimánu 8.	8 januari
Seljord	Seljord (gemeente)
Ođđajagimánu 9.	9 januari
Novgorod oblast	Oblast Novgorod
Tokke	Tokke
Ođđajagimánu 10.	10 januari
Vinje	Vinje (Noorwegen)
Nizjnij Novgorod oblast	Oblast Nizjni Novgorod
Ođđajagimánu 11.	11 januari
Ođđajagimánu 12.	12 januari
Telemárkku fylka	Telemark
Ođđajagimánu 13.	13 januari
Ođđajagimánu 14.	14 januari
Ođđajagimánu 15.	15 januari
Ođđajagimánu 16.	16 januari
Ođđajagimánu 17.	17 januari
Ođđajagimánu 18.	18 januari
Ođđajagimánu 19.	19 januari
Ođđajagimánu 20.	20 januari
Skien	Skien (Telemark)
Ođđajagimánu 21.	21 januari
Ođđajagimánu 22.	22 januari
Ođđajagimánu 23.	23 januari
Ođđajagimánu 24.	24 januari
Ođđajagimánu 25.	25 januari
Minsk	Minsk
Ođđajagimánu 26.	26 januari
Ođđajagimánu 27.	27 januari
Ođđajagimánu 28.	28 januari
Ođđajagimánu 29.	29 januari
Ođđajagimánu 30.	30 januari
Ođđajagimánu 31.	31 januari
Porsgrunn	Porsgrunn
Tver oblast	Oblast Tver
Juovlamánu 2.	2 december
Juovlamánu 1.	1 december
Juovlamánu 3.	3 december
Juovlamánu 7.	7 december
Juovlamánu 5.	5 december
Juovlamánu 8.	8 december
Juovlamánu 10.	10 december
Juovlamánu 6.	6 december
Juovlamánu 9.	9 december
Siljan	Siljan (gemeente)
Juovlamánu 4.	4 december
Guovvamánu 1.	1 februari
Guovvamánu 2.	2 februari
Guovvamánu 3.	3 februari
Kurów	Kurów (powiat Puławski)
Guovvamánu 4.	4 februari
Guovvamánu 5.	5 februari
Guovvamánu 6.	6 februari
Guovvamánu 7.	7 februari
Guovvamánu 8.	8 februari
Guovvamánu 9.	9 februari
Guovvamánu 10.	10 februari
Notodden	Notodden (gemeente)
Guovvamánu 14.	14 februari
Guovvamánu 13.	13 februari
Guovvamánu 15.	15 februari
Guovvamánu 11.	11 februari
Guovvamánu 12.	12 februari
Guovvamánu 19.	19 februari
Guovvamánu 17.	17 februari
Guovvamánu 16.	16 februari
Guovvamánu 18.	18 februari
Guovvamánu 20.	20 februari
Smolensk oblast	Oblast Smolensk
Guovvamánu 21.	21 februari
Guovvamánu 22.	22 februari
Guovvamánu 23.	23 februari
Hjartdal	Hjartdal
Guovvamánu 24.	24 februari
Guovvamánu 25.	25 februari
Guovvamánu 26.	26 februari
Guovvamánu 27.	27 februari
Guovvamánu 28.	28 februari
Juovlamánu 11.	11 december
Guovvamánu 29.	29 februari
Drangedal	Drangedal
Juovlamánu 12.	12 december
Kragerø	Kragerø (gemeente)
Nome	Nome (Telemark)
Juovlamánu 13.	13 december
Sauherad	Sauherad
Juovlamánu 14.	14 december
Juovlamánu 15.	15 december
Njukčamánu 2.	2 maart
Njukčamánu 3.	3 maart
Njukčamánu 5.	5 maart
Njukčamánu 1.	1 maart
Njukčamánu 7.	7 maart
Njukčamánu 8.	8 maart
Njukčamánu 4.	4 maart
Njukčamánu 10.	10 maart
Njukčamánu 11.	11 maart
Njukčamánu 6.	6 maart
Njukčamánu 13.	13 maart
Njukčamánu 9.	9 maart
Njukčamánu 12.	12 maart
Njukčamánu 15.	15 maart
Njukčamánu 14.	14 maart
Juovlamánu 16.	16 december
Juovlamánu 17.	17 december
Kristiansand	Kristiansand
Njukčamánu 16.	16 maart
Njukčamánu 17.	17 maart
Njukčamánu 18.	18 maart
Njukčamánu 19.	19 maart
1989	1989
1988	1988
Njukčamánu 20.	20 maart
1987	1987
1986	1986
1985	1985
1984	1984
Njukčamánu 21.	21 maart
1983	1983
Njukčamánu 22.	22 maart
1982	1982
1981	1981
Juovlamánu 18.	18 december
1980	1980
Njukčamánu 23.	23 maart
Jaroslavl oblast	Oblast Jaroslavl
Juovlamánu 19.	19 december
Njukčamánu 24.	24 maart
Njukčamánu 25.	25 maart
Juovlamánu 20.	20 december
Njukčamánu 26.	26 maart
Njukčamánu 27.	27 maart
Njukčamánu 28.	28 maart
Njukčamánu 29.	29 maart
Njukčamánu 30.	30 maart
Njukčamánu 31.	31 maart
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
Cuoŋománu 15.	15 april
Cuoŋománu 13.	13 april
Cuoŋománu 12.	12 april
Cuoŋománu 14.	14 april
Cuoŋománu 11.	11 april
Cuoŋománu 10.	10 april
Cuoŋománu 8.	8 april
Cuoŋománu 9.	9 april
Cuoŋománu 7.	7 april
Cuoŋománu 6.	6 april
Cuoŋománu 5.	5 april
Cuoŋománu 4.	4 april
Cuoŋománu 3.	3 april
Cuoŋománu 1.	1 april
Cuoŋománu 2.	2 april
Cuoŋománu 16.	16 april
Cuoŋománu 17.	17 april
Cuoŋománu 18.	18 april
Cuoŋománu 19.	19 april
Cuoŋománu 20.	20 april
Cuoŋománu 21.	21 april
Cuoŋománu 22.	22 april
Cuoŋománu 23.	23 april
Cuoŋománu 24.	24 april
Cuoŋománu 25.	25 april
Cuoŋománu 26.	26 april
Cuoŋománu 27.	27 april
Cuoŋománu 28.	28 april
Cuoŋománu 29.	29 april
Cuoŋománu 30.	30 april
Miessemánu 1.	1 mei
Miessemánu 2.	2 mei
Miessemánu 3.	3 mei
Miessemánu 4.	4 mei
Miessemánu 5.	5 mei
Miessemánu 6.	6 mei
Miessemánu 7.	7 mei
Miessemánu 8.	8 mei
Miessemánu 9.	9 mei
Miessemánu 10.	10 mei
Miessemánu 11.	11 mei
Miessemánu 12.	12 mei
Miessemánu 13.	13 mei
Miessemánu 14.	14 mei
Miessemánu 15.	15 mei
Miessemánu 16.	16 mei
Miessemánu 17.	17 mei
Miessemánu 18.	18 mei
Miessemánu 19.	19 mei
Miessemánu 20.	20 mei
Miessemánu 21.	21 mei
Miessemánu 22.	22 mei
Miessemánu 23.	23 mei
Miessemánu 24.	24 mei
Miessemánu 25.	25 mei
Miessemánu 26.	26 mei
Miessemánu 27.	27 mei
Miessemánu 28.	28 mei
Miessemánu 29.	29 mei
Miessemánu 30.	30 mei
Miessemánu 31.	31 mei
Kostroma oblast	Oblast Kostroma
Juovlamánu 21.	21 december
Geassemánu 14.	14 juni
Geassemánu 15.	15 juni
Geassemánu 13.	13 juni
Geassemánu 10.	10 juni
Geassemánu 7.	7 juni
Geassemánu 11.	11 juni
Geassemánu 9.	9 juni
Geassemánu 12.	12 juni
Geassemánu 6.	6 juni
Geassemánu 8.	8 juni
Geassemánu 5.	5 juni
Geassemánu 3.	3 juni
Geassemánu 2.	2 juni
Geassemánu 1.	1 juni
Geassemánu 4.	4 juni
Juovlamánu 22.	22 december
1968	1968
1967	1967
1966	1966
1965	1965
1964	1964
Geassemánu 16.	16 juni
Ivanovo oblast	Oblast Ivanovo
Geassemánu 30.	30 juni
Geassemánu 29.	29 juni
Geassemánu 28.	28 juni
Geassemánu 26.	26 juni
Geassemánu 25.	25 juni
Geassemánu 22.	22 juni
Geassemánu 27.	27 juni
Geassemánu 24.	24 juni
Geassemánu 20.	20 juni
Geassemánu 23.	23 juni
Geassemánu 19.	19 juni
Geassemánu 18.	18 juni
Geassemánu 21.	21 juni
Geassemánu 17.	17 juni
Juovlamánu 23.	23 december
Suoidnemánu 15.	15 juli
Suoidnemánu 13.	13 juli
Suoidnemánu 12.	12 juli
Suoidnemánu 10.	10 juli
Suoidnemánu 9.	9 juli
Suoidnemánu 14.	14 juli
Suoidnemánu 8.	8 juli
Suoidnemánu 7.	7 juli
Suoidnemánu 6.	6 juli
Suoidnemánu 5.	5 juli
Suoidnemánu 2.	2 juli
Suoidnemánu 4.	4 juli
Suoidnemánu 3.	3 juli
Suoidnemánu 1.	1 juli
Suoidnemánu 11.	11 juli
Vladimir oblast	Oblast Vladimir
Juovlamánu 24.	24 december
Suoidnemánu 31.	31 juli
Suoidnemánu 30.	30 juli
Suoidnemánu 29.	29 juli
Suoidnemánu 28.	28 juli
Suoidnemánu 27.	27 juli
Suoidnemánu 25.	25 juli
Suoidnemánu 24.	24 juli
Suoidnemánu 23.	23 juli
Suoidnemánu 26.	26 juli
Suoidnemánu 22.	22 juli
Suoidnemánu 19.	19 juli
Suoidnemánu 21.	21 juli
Suoidnemánu 20.	20 juli
Suoidnemánu 17.	17 juli
Suoidnemánu 18.	18 juli
Suoidnemánu 16.	16 juli
Spábbačiekčan	Voetbal
Juovlamánu 25.	25 december
Rjazan oblast	Oblast Rjazan
1963	1963
Lech Kaczyński	Lech Kaczyński
Juovlamánu 26.	26 december
1962	1962
Borgemánu 14.	14 augustus
Borgemánu 15.	15 augustus
Borgemánu 13.	13 augustus
Borgemánu 12.	12 augustus
Borgemánu 11.	11 augustus
Borgemánu 10.	10 augustus
Borgemánu 8.	8 augustus
Borgemánu 7.	7 augustus
Borgemánu 9.	9 augustus
Borgemánu 5.	5 augustus
Borgemánu 4.	4 augustus
Borgemánu 2.	2 augustus
Borgemánu 3.	3 augustus
Borgemánu 6.	6 augustus
Borgemánu 1.	1 augustus
Tula oblast	Oblast Toela
Juovlamánu 27.	27 december
Madrid	Madrid (stad)
Brjansk oblast	Oblast Brjansk
Borgemánu 16.	16 augustus
Coca-Cola	Coca-Cola
Borgemánu 29.	29 augustus
Borgemánu 28.	28 augustus
Borgemánu 30.	30 augustus
Borgemánu 25.	25 augustus
Borgemánu 26.	26 augustus
Borgemánu 23.	23 augustus
Borgemánu 27.	27 augustus
Borgemánu 21.	21 augustus
Borgemánu 20.	20 augustus
Borgemánu 24.	24 augustus
Borgemánu 18.	18 augustus
Borgemánu 17.	17 augustus
Borgemánu 22.	22 augustus
Borgemánu 19.	19 augustus
Borgemánu 31.	31 augustus
Michael Jackson	Michael Jackson
Juovlamánu 28.	28 december
Kaluga oblast	Oblast Kaloega
Čakčamánu 15.	15 september
Čakčamánu 14.	14 september
Čakčamánu 13.	13 september
Čakčamánu 12.	12 september
Čakčamánu 8.	8 september
Čakčamánu 11.	11 september
Čakčamánu 7.	7 september
Čakčamánu 10.	10 september
Čakčamánu 5.	5 september
Čakčamánu 4.	4 september
Čakčamánu 9.	9 september
Čakčamánu 2.	2 september
Čakčamánu 6.	6 september
Čakčamánu 1.	1 september
Čakčamánu 3.	3 september
Juovlamánu 29.	29 december
Alexander Lukašenka	Aleksandr Loekasjenko
Čakčamánu 30.	30 september
Čakčamánu 29.	29 september
Čakčamánu 28.	28 september
Čakčamánu 27.	27 september
Čakčamánu 26.	26 september
Čakčamánu 25.	25 september
Čakčamánu 23.	23 september
Čakčamánu 22.	22 september
Čakčamánu 24.	24 september
Čakčamánu 21.	21 september
Čakčamánu 20.	20 september
Čakčamánu 18.	18 september
Čakčamánu 17.	17 september
Čakčamánu 19.	19 september
Čakčamánu 16.	16 september
Quito	Quito
Juovlamánu 30.	30 december
Antoine de Saint-Exupéry	Antoine de Saint-Exupéry
Juovlamánu 31.	31 december
Golggotmánu 1.	1 oktober
Golggotmánu 15.	15 oktober
Golggotmánu 12.	12 oktober
Golggotmánu 10.	10 oktober
Golggotmánu 14.	14 oktober
Golggotmánu 9.	9 oktober
Golggotmánu 8.	8 oktober
Golggotmánu 13.	13 oktober
Golggotmánu 7.	7 oktober
Golggotmánu 11.	11 oktober
Golggotmánu 6.	6 oktober
Golggotmánu 4.	4 oktober
Golggotmánu 5.	5 oktober
Golggotmánu 3.	3 oktober
Golggotmánu 2.	2 oktober
Golggotmánu 31.	31 oktober
Golggotmánu 30.	30 oktober
Golggotmánu 29.	29 oktober
Golggotmánu 28.	28 oktober
Golggotmánu 26.	26 oktober
Golggotmánu 25.	25 oktober
Golggotmánu 24.	24 oktober
Golggotmánu 27.	27 oktober
Golggotmánu 22.	22 oktober
Golggotmánu 23.	23 oktober
Golggotmánu 20.	20 oktober
Golggotmánu 21.	21 oktober
Golggotmánu 19.	19 oktober
Golggotmánu 17.	17 oktober
Golggotmánu 16.	16 oktober
Golggotmánu 18.	18 oktober
Skábmamánu 15.	15 november
Skábmamánu 14.	14 november
Skábmamánu 13.	13 november
Skábmamánu 12.	12 november
Skábmamánu 11.	11 november
Skábmamánu 10.	10 november
Skábmamánu 7.	7 november
Skábmamánu 8.	8 november
Skábmamánu 9.	9 november
Skábmamánu 6.	6 november
Skábmamánu 5.	5 november
Skábmamánu 4.	4 november
Skábmamánu 3.	3 november
Skábmamánu 2.	2 november
Skábmamánu 1.	1 november
Skábmamánu 30.	30 november
Skábmamánu 29.	29 november
Skábmamánu 28.	28 november
Skábmamánu 27.	27 november
Skábmamánu 26.	26 november
Skábmamánu 25.	25 november
Skábmamánu 23.	23 november
Skábmamánu 24.	24 november
Skábmamánu 21.	21 november
Skábmamánu 20.	20 november
Skábmamánu 22.	22 november
Skábmamánu 19.	19 november
Skábmamánu 18.	18 november
Skábmamánu 17.	17 november
Skábmamánu 16.	16 november
Kathmandu	Kathmandu (stad)
Belmopan	Belmopan
Loire-Atlantique	Loire-Atlantique
San José	San José (Costa Rica)
Ain	Ain (departement)
Aisne	Aisne (departement)
Vosges	Vosges
Allier (departemeanta)	Allier (departement)
Hautes-Alpes	Hautes-Alpes
Orjol oblast	Oblast Orjol
Sydney	Sydney
Alpes-de-Haute-Provence	Alpes-de-Haute-Provence
Ardèche	Ardèche (departement)
Ardennes	Ardennes
Kursk oblast	Oblast Koersk
