Afraga	Afrika
Pastà	Pasta (deegwaar)
Wikimedia	Wikimedia Foundation
A' Ghearmailt	Duitsland
A' Bhealaruis	Wit-Rusland
Gearmailtis	Duits
Innis Tìle	IJsland
Dia	God (monotheïsme)
Eastòinia	Estland
David Cameron	David Cameron
Satarn	Saturnus (planeet)
Teòclaid	Chocolade
Cogadh	Oorlog
Stephen Harper	Stephen Harper
George W. Bush	George W. Bush
An Laitbhe	Letland
An Ucràin	Oekraïne
An t-Seic	Tsjechië
An t-Slòbhac	Slowakije
Sloibhìnia	Slovenië
Vilnius	Vilnius
Moldàibhia	Moldavië (land)
Romàinia	Roemenië
Bulgàiria	Bulgarije
An Ròimh	Rome (stad)
Masadoinia	Macedonië (land)
Albàinia	Albanië
A' Ghraonlainn	Groenland
Poblachd na Cròthaise	Kroatië
Bosna agus Hearsagobhana	Bosnië en Herzegovina
Asarbaideàn	Azerbeidzjan
Andorra	Andorra
Cìopras	Cyprus
A' Chairtbheil	Georgië
Casachstàn	Kazachstan
Malta	Malta (land)
Monaco	Monaco
Am Monadh Neagrach	Montenegro
Cathair na Bhatacain	Vaticaanstad
San Marino	San Marino
A' Bhruiseal	Brussel (stad)
Cùba	Cuba (land)
Beilise	Belize (land)
Barbados	Barbados
An Innd-Innse	Indonesië
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Turcais	Turks
Afraga a Deas	Zuid-Afrika
Aildiria	Algerije
Usbagastàn	Oezbekistan
Poznań	Poznań (stad)
Tashkent	Tasjkent
Warszawa	Warschau
Ìle	Islay (eiland)
Eurovision	Eurovisiesongfestival
Talisker	Talisker (whisky)
Uisge-beatha	Whisky
Fìon	Wijn
Uisge	Water
Fiodh	Hout
Tours	Tours (Indre-et-Loire)
Telebhisean	Televisie
An t-Sile	Chili
Ìosa Crìosd	Jezus (traditioneel-christelijk)
Elvis Presley	Elvis Presley
Galileo Galilei	Galileo Galilei
Mearcair	Mercurius (planeet)
Eachdraidh	Geschiedenis
An Rìbhinn (planaid)	Venus (planeet)
Cànan	Taal
Gràdh	Liefde
Am Bliogh	Jupiter (planeet)
Slighe Chloinn Uisnich	Melkweg (sterrenstelsel)
Urànus (planaid)	Uranus (planeet)
A' Bhreatainn Bheag	Bretagne (schiereiland)
Nicolas Sarkozy	Nicolas Sarkozy
Neiptiùn	Neptunus (planeet)
Reul-eòlas	Astronomie
Singeapòr	Singapore
Saidheans	Wetenschap
Pliùtò	Pluto (dwergplaneet)
Montreal	Montreal (Canada)
Kemper	Quimper
Tràth teachdail	Toekomst
Moire	Maria (moeder van Jezus)
Liechtenstein	Liechtenstein
Spòrs	Sport
Cambridge	Cambridge (Verenigd Koninkrijk)
Adolf Hitler	Adolf Hitler
Wikileaks	WikiLeaks
An Cogadh Mòr	Eerste Wereldoorlog
An Dàrna Cogadh	Tweede Wereldoorlog
Köln	Keulen (stad)
Skopje	Skopje
Szczecin	Szczecin
Matamataig	Wiskunde
U2	U2 (band)
Laideann	Latijn
Bachrain	Bahrein
Airmeinia	Armenië
An t-Sèirb	Servië
Gealach	Maan
Istanbul	Istanboel
Astràilia	Australië (land)
Fiosaig	Natuurkunde
An Argantain	Argentinië
Cian-chonaltradh	Telecommunicatie
Pearù	Peru
Bith-eòlas	Biologie
Coirèa a Tuath	Noord-Korea
Cambuidea	Cambodja
Ioslam	Islam
Ljubljana	Ljubljana
Salvador Allende	Salvador Allende
Lech Wałęsa	Lech Wałęsa
Cuibhle	Wiel (voortbeweging)
Lyon	Lyon
An t-Aonadh Eòrpach	Europese Unie
Star Wars	Star Wars
Rhône-Alpes	Rhône-Alpes
Bean	Vrouw
Sofia	Sofia (stad)
Amar-uisge	Aquaduct (watergang)
Bàrdachd	Poëzie
Chernobyl	Kernramp van Tsjernobyl
Milano	Milaan (stad)
Torino	Turijn (stad)
Cac	Ontlasting
Achlais	Oksel
Liomaid	Citroen (vrucht)
Stendhal	Stendhal
Banana	Banaan (vrucht)
Émile Zola	Émile Zola
666	666
Blàth	Bloem (plant)
Beinn Everest	Mount Everest
Eòlas-bodhaig	Anatomie
Baile mòr	Stad
Napoleon Bonaparte	Napoleon Bonaparte
Reul	Ster (hemellichaam)
Grian	Zon
Adhar	Hemelgewelf
Louis Pasteur	Louis Pasteur
Clachan	Dorp
Victor Hugo	Victor Hugo
Roinn a' Chuain Shèimh	Oceanië
An Crios-Grèine	Zonnestelsel
Am Muir Baltach	Oostzee
Haidridean	Waterstof (element)
Fiacal	Tand (mens)
Ifrinn	Hel (mythologie)
Angela Merkel	Angela Merkel
Leabhar	Boek (document)
Là	Dag
Tiomor an Ear	Oost-Timor
Oidhche	Nacht
Bliadhna	Jaar
Linn (100 bliadhnaichean)	Eeuw
Łódź	Łódź (stad)
Oslo	Oslo
Bonn (a' Ghearmailt)	Bonn
Katowice	Katowice
Toll Dubh	Zwart gat
Luís Vaz de Camões	Luís de Camões
Lisbon	Lissabon
Ì Chaluim Chille	Iona (eiland)
Padova	Padua (stad)
Nicolaus Copernicus	Nicolaas Copernicus
Ludwigsburg	Ludwigsburg (stad)
Gualan	Koolstof
Naitridean	Stikstof (element)
Bergamo	Bergamo (stad)
Ogsaidean	Zuurstof (element)
Planaid	Planeet
Cleopatra	Cleopatra VII
Ceòl	Muziek
Venezia	Venetië (stad)
Roazhon	Rennes
Lille	Rijsel
Moscobha	Moskou
Eadailtis	Italiaans (taal)
Sankt Peterburg	Sint-Petersburg
An t-Siad	Tsjaad
Sodium	Natrium
Almain	Aluminium
Sealainn Nuadh	Nieuw-Zeeland
Na h-Innseachan	India
Sileagan	Silicium
Tubhalu	Tuvalu
Rosg	Proza
Iarann	IJzer (element)
Tonga	Tonga (land)
Samoa (Dùthaich)	Samoa
Na h-Eileanan Sholaimh	Salomonseilanden
Bhanuatu	Vanuatu
Delft	Delft
Gini Nuadh Phaputhach	Papoea-Nieuw-Guinea
William Shakespeare	William Shakespeare
Zuid-Holland	Zuid-Holland
Palau	Palau (land)
Nauru	Nauru
Firefox	Mozilla Firefox
Noord-Holland	Noord-Holland
Na Meanbh Eileanan	Micronesia
Zeeland	Zeeland (provincie)
Flevoland	Flevoland
Na h-Eileanan Mharshall	Marshalleilanden
Kiribati	Kiribati
Mongòilia	Mongolië
Fìdi	Fiji
A' Bheiniseala	Venezuela
Tàileasg	Schaken
Maine	Maine
Each	Paard (dier)
Amsterdam	Amsterdam
Ball-airm	Gevechtswapen
Beathach	Dierenrijk
Suranam	Suriname
Paraguaidh	Paraguay
Guiana	Guyana
Ealain	Kunst
Eacuador	Ecuador
Coloimbia	Colombia
Bùdachas	Boeddhisme
Groningen	Groningen (stad)
Boilibhia	Bolivia
Groningen (Roinn)	Groningen (provincie)
Copar	Koper (element)
Trianaid agus Tobago	Trinidad en Tobago
Lus	Planten
Naomh Bhionsant agus Eileanan Greanadach	Saint Vincent en de Grenadines
Hampshire Nuadh	New Hampshire
Naomh Lùisia	Saint Lucia
Leonardo Da Vinci	Leonardo da Vinci
Naomh Crìstean agus Nibheis	Saint Kitts en Nevis
Fungas	Schimmels
Dario Fo	Dario Fo
Iaimeuca	Jamaica
Greanada	Grenada
Fryslân	Friesland
Massachusetts	Massachusetts
Drenthe	Drenthe
Overijssel	Overijssel
Guatamala	Guatemala
Gelderland	Gelderland
Utrecht (Roinn)	Utrecht (provincie)
Na h-Eileanan Bhathama	Bahama's
Connecticut	Connecticut
Cearc	Kip (vogel)
Antigua agus Barbuda	Antigua en Barbuda
Hawaii	Hawaï
Hondùras	Honduras
Doiminicia	Dominica
Jersey	Jersey (eiland)
Poblachd Dhoiminicia	Dominicaanse Republiek
Muc	Varken (tam)
Cuan Argtach	Noordelijke IJszee
Haiti	Haïti
Taumatawhakatangihangakoauauotamateapokaiwhenuakitanatahu	Taumata­whakatangihanga­koauau­o­tamatea­pokai­whenua­ki­tana­tahu
El Salbhador	El Salvador
Zwolle	Zwolle
Ioràn	Iran
Ioràc	Irak
Alasca	Alaska
Assen	Assen
Costa Rica	Costa Rica
Iosrael	Israël
Utrecht	Utrecht (stad)
Panama	Panama (land)
Iemen	Jemen
Lausanne	Lausanne (stad)
Pòlais	Pools
Iòrdan (dùthaich)	Jordanië
Niocaragua	Nicaragua
Florida	Florida (staat)
Cìorgastan	Kirgizië
Arizona	Arizona (staat)
Cubhait	Koeweit
Làthos	Laos
Leabanon	Libanon
Oregon	Oregon
Na h-Eileanan Mhaladaibh	Maldiven
Na h-Aimearagan	Amerika (continent)
Utah	Utah
Bò	Rund
Malaidhsia	Maleisië
Valais (Canton)	Wallis (kanton)
Mianmar	Myanmar
Neapàl	Nepal
Omàn	Oman
Pagastàn	Pakistan
Catar	Qatar
Aràibia nan Sabhd	Saoedi-Arabië
Sri Lanca	Sri Lanka
Iosif Stalin	Jozef Stalin
Siria	Syrië
Platon	Plato
Joseph Brodsky	Joseph Brodsky
Taidigeastàn	Tadzjikistan
Poblachd na Sìne	Taiwan
Aristoteles	Aristoteles
Dùthaich nan Tàidh	Thailand
Trèana	Trein
Rèidio	Radio
Turcmanastàn	Turkmenistan
Na h-Iomaratan Arabach Aonaichte	Verenigde Arabische Emiraten
Bhiet-Nam	Vietnam
Charlie Chaplin	Charlie Chaplin
Coirèa a Deas	Zuid-Korea
Afganastan	Afghanistan
J.R.R. Tolkien	J.R.R. Tolkien
Òr	Goud
Bangladais	Bangladesh
Franz Kafka	Franz Kafka
Màili	Mali
Sokrates	Socrates (filosoof)
Angola	Angola
Butàn	Bhutan
Brùnaigh	Brunei
Tansania	Tanzania
Roald Amundsen	Roald Amundsen
Na h-Eileanan Filipineach	Filipijnen
Poblachd Meadhan Afraga	Centraal-Afrikaanse Republiek
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Tògo	Togo
Tuinisia	Tunesië
Saimbia	Zambia
Siombabue	Zimbabwe
Beijing	Peking
Sudàn a Deas	Zuid-Soedan
Beinin	Benin
Botsuana	Botswana
Buirciona Faso	Burkina Faso
Burundaidh	Burundi
Na h-Eileanan Chomoro	Comoren
A' Chongo	Congo-Brazzaville
Poblachd Dheamocrach na Congo	Congo-Kinshasa
San Antonio, Texas	San Antonio (Texas)
Diobùtaidh	Djibouti (land)
Bayern	Beieren
Gini Mheadhan-Chriosach	Equatoriaal-Guinea
Baden-Württemberg	Baden-Württemberg
Eartra	Eritrea
New Delhi	New Delhi
Pàpa Iain Pòl II	Paus Johannes Paulus II
Amersfoort	Amersfoort
Tbilisi	Tbilisi
Naoidhean	Baby
Gabon	Gabon
Pàipear-èibhinn	Stripverhaal
A' Ghaimbia	Gambia (land)
Gini	Guinee
Gini-Bissau	Guinee-Bissau
Costa Ìbhri	Ivoorkust
Camarun	Kameroen
Cape Verde	Kaapverdië
Leasoto	Lesotho
Libèiria	Liberia
Libia	Libië
Aachen	Aken (stad)
Madagascar	Madagaskar
Malabhaidh	Malawi
Stuttgart	Stuttgart
Moratainia	Mauritanië
Na h-Eileanan Mhoiriseas	Mauritius (land)
Maroco	Marokko
Mòsaimbic	Mozambique
Naimibia	Namibië
France Prešeren	France Prešeren
Nìgeir	Niger (land)
Nìgeiria	Nigeria
Biel/Bienne	Biel/Bienne
Charles Darwin	Charles Darwin
Uganda	Oeganda
Rubhanda	Rwanda
São Tomé agus Príncipe	Sao Tomé en Principe
Karlsruhe	Karlsruhe (stad)
Seanagal	Senegal
Na h-Eileanan Sheiseall	Seychellen
Carl Linnaeus	Carolus Linnaeus
Siarra Leòmhann	Sierra Leone
Somàilia	Somalië
Iulius Caesar	Julius Caesar
Sudan	Soedan
Dùthaich nan Suasaidh	Swaziland
Bogha-frois	Regenboog (optica)
Hamburg	Hamburg
Loch Ontario	Ontariomeer
Gnè-fhàs	Evolutie (biologie)
Loch Superior	Bovenmeer
Dante Alighieri	Dante Alighieri
Geòlas	Geologie
Cruinn-eòlas	Aardrijkskunde
Craiceann	Huid
Ainmear	Zelfstandig naamwoord
Pràg	Praag
Airgead (meatailt)	Zilver
Staoin	Tin (element)
Noord-Brabant	Noord-Brabant
Bill Clinton	Bill Clinton
Lorraine	Lotharingen (Frankrijk)
Alsace	Elzas
Auvergne	Auvergne
Mumbai	Bombay
Michigan	Michigan
Loch Michigan	Michiganmeer
Bourgogne	Bourgondië (regio)
Aquitaine	Aquitanië
Puerto Rico	Puerto Rico
Kerala	Kerala
Limousin	Limousin
Schleswig-Holstein	Sleeswijk-Holstein
Mecklenburg-Vorpommern	Mecklenburg-Voor-Pommeren
Sagsainn Ìosail	Nedersaksen
Nordrhein-Westfalen	Noordrijn-Westfalen
Hessen	Hessen
Rheinland-Pfalz	Rijnland-Palts
Saarland	Saarland
Sagsainn	Saksen (deelstaat)
John Lennon	John Lennon
Illinois	Illinois (staat)
Thüringen	Thüringen (deelstaat)
Sagsainn-Anhalt	Saksen-Anhalt
Dakota a Tuath	North Dakota
Brandenburg	Brandenburg (deelstaat)
Lombardia	Lombardije
Dakota a Deas	South Dakota
Montana	Montana (staat)
Wyoming	Wyoming
Piemonte	Piëmont
Ierusalem	Jeruzalem
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Valle d'Aosta	Valle d'Aosta
Washington (stàit)	Washington (staat)
Bruce Springsteen	Bruce Springsteen
Nevada	Nevada (staat)
Trentino-Alto Adige/Südtirol	Trentino-Zuid-Tirol
Cuan Innseanach	Indische Oceaan
Veneto	Veneto
Am Muir Caraibeach	Caraïbische Zee
Friuli-Venezia Giulia	Friuli-Venezia Giulia
Kofi Annan	Kofi Annan
Liguria	Ligurië
Colorado	Colorado (staat)
Emilia-Romagna	Emilia-Romagna
Frédéric Chopin	Frédéric Chopin
Toscana	Toscane
Marche	Marche (Italië)
Umbria	Umbrië
Roinn-seòrsa:Categories	Categorie:Alles
Lazio	Lazio
Abruzzo	Abruzzen
Grenoble	Grenoble
Dàmais	Dammen
Dortmund	Dortmund
Gent	Gent
Chicago	Chicago
The Beatles	The Beatles
Maastricht	Maastricht
Arnhem	Arnhem
Spàinntis	Spaans
Friedrich A. von Hayek	Friedrich von Hayek
Montevideo	Montevideo (stad)
Johann Sebastian Bach	Johann Sebastian Bach
Pittsburgh, Pennsylvania	Pittsburgh
Opra	Opera (muziek)
Philadelphia, Pennsylvania	Philadelphia (Pennsylvania)
Kolkata	Calcutta
Delhi	Delhi (stad)
Dhaka	Dhaka (stad)
Bangalore	Bangalore
Damhan-allaidh	Spinnen (dieren)
Islamabad	Islamabad
Meas	Vrucht (plant)
Virginia	Virginia (staat)
Virginia an Iar	West Virginia
Matterhorn	Matterhorn
Loch Huron	Huronmeer
Eabhraig Nuadh (stàit)	New York (staat)
Rhode Island	Rhode Island (staat)
Maryland	Maryland
Delaware	Delaware
Vladimir Lenin	Vladimir Lenin
Ohio	Ohio (staat)
Virgil	Vergilius
Pennsylvania	Pennsylvania
Luigi Pirandello	Luigi Pirandello
Uetersen	Uetersen
Jersey Nuadh	New Jersey
Giobraltair	Gibraltar
Fionnlannais	Fins
Indiana	Indiana
Vespasian	Vespasianus
Juventus	Juventus FC
Trajan	Trajanus
Georgia (stàit)	Georgia (staat)
Marcus Aurelius	Marcus Aurelius
Zagreb	Zagreb
Campania	Campania
Texas	Texas (staat)
Molise	Molise
Puglia	Apulië
Genova	Genua (stad)
Basilicata	Basilicata
Carolina a Tuath	North Carolina
Cromanachd	Hockey
Carolina a Deas	South Carolina
Calabria	Calabrië
Sicilia	Sicilië
Manila	Manilla
Sardainia	Sardinië
Maurits Cornelis Escher	Maurits Cornelis Escher
Bordeaux	Bordeaux (stad)
Buenos Aires	Buenos Aires (stad)
Meagsago (baile)	Mexico-Stad
Tokyo	Tokio
La Paz	La Paz (stad in Bolivia)
Barcelona	Barcelona (Spanje)
Anann	Ananas
Mississippi	Mississippi (staat)
Fernão de Magalhães	Ferdinand Magellaan
Mississippi (abhainn)	Mississippi (rivier)
Amar-snàmh	Zwembad
Tennessee	Tennessee
Richard Wagner	Richard Wagner
Robert Louis Stevenson	Robert Louis Stevenson
Abidjan	Abidjan
Abu Dhabi	Abu Dhabi (stad)
Astana	Astana (stad)
Meagsago Nuadh	New Mexico
An Àithne	Athene (stad)
Minnesota	Minnesota
Baghdad	Bagdad
Caracas	Caracas
Àm Coitcheann Co-òrdanaichte	UTC
Wisconsin	Wisconsin
Iowa	Iowa (staat)
Nebraska	Nebraska
Baile Guatemala	Guatemala-Stad
Kansas	Kansas (staat)
La Habana	Havana
Hindi	Hindi
Missouri	Missouri (staat)
Louisiana	Louisiana (staat)
Kentucky	Kentucky
Arkansas	Arkansas (staat)
Neil Armstrong	Neil Armstrong
Édith Piaf	Édith Piaf
Oklahoma	Oklahoma
An Cuan a Tuath	Noordzee
Kiel	Kiel (Duitsland)
Schwerin	Schwerin
Potsdam	Potsdam
Hànobhar	Hannover (stad)
Düsseldorf	Düsseldorf
Mainz	Mainz
Wiesbaden	Wiesbaden
Saarbrücken	Saarbrücken
München	München
Erfurt	Erfurt
Dresden	Dresden
Magdeburg	Maagdenburg (stad)
Innsbruck	Innsbruck
Vienna	Wenen
Copenhagen	Kopenhagen
Stockholm	Stockholm
Helsinki	Helsinki
Baile Átha Cliath	Dublin
Reykjavík	Reykjavik
Ella Fitzgerald	Ella Fitzgerald
Tallinn	Tallinn
Riga	Riga
Bratislava	Bratislava
Budapest	Boedapest
Gdańsk	Gdańsk
Frankfurt	Frankfurt am Main
Wrocław	Wrocław
Lucsamburg (baile)	Luxemburg (stad)
Vaduz	Vaduz
Bìoball	Bijbel (christendom)
San Marino (baile)	San Marino (stad)
Phnom Penh	Phnom Penh
Ho Chi Minh (baile)	Ho Chi Minhstad
Hanoi	Hanoi
Eaglais Fhìor Ìosa	Ware Jezuskerk
Beurla	Engels
Bangkok	Bangkok
Andorra la Vella	Andorra la Vella
Kuala Lumpur	Kuala Lumpur
Taipei	Taipei (stad)
Đồng Hới	Đồng Hới
Concepción	Concepción (Chili)
Bologna	Bologna (stad)
Kiev	Kiev
Ontario	Ontario
Ottawa	Ottawa (stad)
Juba	Djoeba
Manitoba	Manitoba
Alberta	Alberta
Alba Nuadh	Nova Scotia
Yerevan	Jerevan
Końskowola	Końskowola
Dar es Salaam	Dar es Salaam (stad)
Khartoum	Khartoem
Brunswick Nuadh	New Brunswick
Columbia Bhreatannach	Brits-Columbia
Eilean Eòin	Prins Edwardeiland (Canada)
2000	2000
2003	2003
2002	2002
2001	2001
Saskatchewan	Saskatchewan
2012	2012
2011	2011
2010	2010
2009	2009
Dà-ogsaid gualain	Koolstofdioxide
2013	2013
2014	2014
2015	2015
An Talamh Ùr is Labrador	Newfoundland en Labrador
2008	2008
Roinnean an Iar Thuath	Northwest Territories
Roinn an Iukon	Yukon (territorium)
2004	2004
2005	2005
2006	2006
Nunavut	Nunavut
2007	2007
Iqaluit	Iqaluit
1900	1900
1901	1901
Livius	Titus Livius
Charles de Gaulle	Charles de Gaulle
1902	1902
Firenze	Florence (stad)
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
Whitehorse	Whitehorse (Canada)
1992	1992
Yellowknife	Yellowknife (stad)
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
Leipzig	Leipzig
1913	1913
Baile Naoimh Eòin, an Talamh Ùr	St. John's (Newfoundland en Labrador)
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
Nürnberg	Neurenberg
1999	1999
1917	1917
1918	1918
Biadh	Voedsel
Edmonton	Edmonton
Nathair	Slangen
Bochum	Bochum
Regina, Saskatchewan	Regina (Canada)
Baile Sheàrlot	Charlottetown
Victoria, Columbia Bhreatannach	Victoria (Canada)
Winnipeg	Winnipeg
Fredericton	Fredericton
Halafacs	Halifax (Nova Scotia)
Quebec (baile)	Quebec (stad)
1 am Faoilleach	1 januari
2 am Faoilleach	2 januari
1920	1920
3 am Faoilleach	3 januari
1919	1919
1921	1921
1922	1922
Lund	Lund (stad in Skåne)
4 am Faoilleach	4 januari
1923	1923
1924	1924
Georges Pompidou	Georges Pompidou
Romulus agus Remus	Romulus en Remus
5 am Faoilleach	5 januari
Malmö	Malmö (stad)
6 am Faoilleach	6 januari
7 am Faoilleach	7 januari
8 am Faoilleach	8 januari
9 am Faoilleach	9 januari
10 am Faoilleach	10 januari
11 am Faoilleach	11 januari
12 am Faoilleach	12 januari
Buzz Aldrin	Buzz Aldrin
13 am Faoilleach	13 januari
Birmingham	Birmingham (Verenigd Koninkrijk)
14 am Faoilleach	14 januari
15 am Faoilleach	15 januari
16 am Faoilleach	16 januari
17 am Faoilleach	17 januari
18 am Faoilleach	18 januari
19 am Faoilleach	19 januari
20 am Faoilleach	20 januari
Tionndadh Gnìomhachais	Industriële revolutie
21 am Faoilleach	21 januari
22 am Faoilleach	22 januari
23 am Faoilleach	23 januari
Impireachd na Ròimhe	Romeinse Keizerrijk
24 am Faoilleach	24 januari
25 am Faoilleach	25 januari
Minsk	Minsk
26 am Faoilleach	26 januari
27 am Faoilleach	27 januari
28 am Faoilleach	28 januari
29 am Faoilleach	29 januari
30 am Faoilleach	30 januari
31 am Faoilleach	31 januari
2 an Dùbhlachd	2 december
1 an Dùbhlachd	1 december
3 an Dùbhlachd	3 december
7 an Dùbhlachd	7 december
5 an Dùbhlachd	5 december
8 an Dùbhlachd	8 december
10 an Dùbhlachd	10 december
6 an Dùbhlachd	6 december
9 an Dùbhlachd	9 december
4 an Dùbhlachd	4 december
1 an Gearran	1 februari
2 an Gearran	2 februari
3 an Gearran	3 februari
Kurów	Kurów (powiat Puławski)
4 an Gearran	4 februari
5 an Gearran	5 februari
6 an Gearran	6 februari
7 an Gearran	7 februari
8 an Gearran	8 februari
9 an Gearran	9 februari
10 an Gearran	10 februari
Ceimigeachd	Scheikunde
Led Zeppelin	Led Zeppelin
14 an Gearran	14 februari
13 an Gearran	13 februari
15 an Gearran	15 februari
11 an Gearran	11 februari
12 an Gearran	12 februari
19 an Gearran	19 februari
17 an Gearran	17 februari
16 an Gearran	16 februari
18 an Gearran	18 februari
20 an Gearran	20 februari
21 an Gearran	21 februari
22 an Gearran	22 februari
23 an Gearran	23 februari
24 an Gearran	24 februari
25 an Gearran	25 februari
26 an Gearran	26 februari
27	27
27 an Gearran	27 februari
28 an Gearran	28 februari
11 an Dùbhlachd	11 december
29 an Gearran	29 februari
12 an Dùbhlachd	12 december
13 an Dùbhlachd	13 december
14 an Dùbhlachd	14 december
15 an Dùbhlachd	15 december
2 am Màrt	2 maart
3 am Màrt	3 maart
5 am Màrt	5 maart
1 am Màrt	1 maart
7 am Màrt	7 maart
8 am Màrt	8 maart
4 am Màrt	4 maart
10 am Màrt	10 maart
11 am Màrt	11 maart
6 am Màrt	6 maart
13 am Màrt	13 maart
9 am Màrt	9 maart
12 am Màrt	12 maart
15 am Màrt	15 maart
14 am Màrt	14 maart
16 an Dùbhlachd	16 december
17 an Dùbhlachd	17 december
16 am Màrt	16 maart
17 am Màrt	17 maart
Uisge For	Forth (rivier)
18 am Màrt	18 maart
19 am Màrt	19 maart
1989	1989
1988	1988
20 am Màrt	20 maart
1987	1987
1986	1986
1985	1985
1984	1984
21 am Màrt	21 maart
1983	1983
22 am Màrt	22 maart
1982	1982
1981	1981
18 an Dùbhlachd	18 december
1980	1980
23 am Màrt	23 maart
Mogadishu	Mogadishu
19 an Dùbhlachd	19 december
24 am Màrt	24 maart
25 am Màrt	25 maart
20 an Dùbhlachd	20 december
26 am Màrt	26 maart
27 am Màrt	27 maart
28 am Màrt	28 maart
29 am Màrt	29 maart
30 am Màrt	30 maart
31 am Màrt	31 maart
Nassau	Nassau (Bahama's)
Ṣan'ā'	Sanaa
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
Pàpa Beinidict XVI	Paus Benedictus XVI
15 an Giblean	15 april
13 an Giblean	13 april
12 an Giblean	12 april
14 an Giblean	14 april
11 an Giblean	11 april
10 an Giblean	10 april
8 an Giblean	8 april
9 an Giblean	9 april
7 an Giblean	7 april
6 an Giblean	6 april
5 an Giblean	5 april
4 an Giblean	4 april
3 an Giblean	3 april
1 an Giblean	1 april
2 an Giblean	2 april
16 an Giblean	16 april
17 an Giblean	17 april
18 an Giblean	18 april
19 an Giblean	19 april
20 an Giblean	20 april
21 an Giblean	21 april
22 an Giblean	22 april
23 an Giblean	23 april
24 an Giblean	24 april
25 an Giblean	25 april
26 an Giblean	26 april
27 an Giblean	27 april
28 an Giblean	28 april
29 an Giblean	29 april
30 an Giblean	30 april
Saideal (reul-eòlas)	Natuurlijke maan
1 an Cèitean	1 mei
2 an Cèitean	2 mei
3 an Cèitean	3 mei
4 an Cèitean	4 mei
5 an Cèitean	5 mei
6 an Cèitean	6 mei
7 an Cèitean	7 mei
