Afraga	Afrika
Bàirdse	Binnenvaartschip
Breitheamh	Rechter
Vermont	Vermont
San Diego, Calafòrnia	San Diego (Californië)
San Jose, Calafòrnia	San Jose (Californië)
Denver	Denver
Houston, Texas	Houston
Phoenix, Arizona	Phoenix (Arizona)
Dallas, Texas	Dallas (Texas)
Fort Worth, Texas	Fort Worth
Memphis, Tennessee	Memphis (Tennessee)
Columbus, Ohio	Columbus (Ohio)
Jacksonville, Florida	Jacksonville (Florida)
Justus von Liebig	Justus von Liebig
Samoa Aimearaganach	Amerikaans-Samoa
Na Sia Nàiseanan	Zeslandentoernooi
Basse-Normandie	Basse-Normandie
A' Ghearmailt an Ear	Duitse Democratische Republiek
Haute-Normandie	Haute-Normandie
Pàpa Pòl VI	Paus Paulus VI
Nord-Pas-de-Calais	Nord-Pas-de-Calais
Pays de la Loire	Pays de la Loire
Languedoc-Roussillon	Languedoc-Roussillon (regio)
Poitou-Charentes	Poitou-Charentes
Guadeloupe	Guadeloupe
Oakland, Calafòrnia	Oakland (Californië)
Martinique	Martinique
Mayotte	Mayotte
Réunion	Réunion
Ugh	Ei (dier)
Johan Cruyff	Johan Cruijff
Tibet	Tibet (gebied)
Cearcall	Cirkel
Bosco Marengo	Bosco Marengo
Tenzin Gyatso	Tenzin Gyatso (dalai lama)
Donald Knuth	Donald Knuth
Diego Armando Maradona	Diego Maradona
Fòn-làimh	Mobiele telefoon
Struth (eun)	Struisvogel
Aicseam	Axioma
Portacomaro	Portacomaro
LCDT	LGBT
Sappho	Sappho
Sacramento, Calafòrnia	Sacramento (Californië)
Honolulu	Honolulu
Coirea	Korea
1925	1925
1927	1927
Manchester	Manchester
Gao Xingjian	Gao Xingjian
Alfonso XIII na Spàinne	Alfons XIII van Spanje
Providence, Rhode Island	Providence (Rhode Island)
Sasainn Nuadh	New England (Verenigde Staten)
Alatri	Alatri
Joseph Stiglitz	Joseph Eugene Stiglitz
1000	1000
999	999
Faol	Wolf
Bàlla	Bal (voorwerp)
Doolish	Douglas (Man)
Tucson, Arizona	Tucson
1955	1955
1954	1954
1953	1953
1951	1951
1950	1950
1946	1946
1943	1943
1942	1942
1940	1940
1939	1939
1938	1938
1937	1937
1936	1936
1935	1935
Swansea City A.F.C.	Swansea City AFC
1934	1934
1933	1933
1932	1932
1931	1931
1930	1930
1929	1929
Pyongyang	Pyongyang
Tiomnadh Nuadh	Nieuwe Testament
Cuthag	Koekoek (vogel)
Mial-theanga	Cymothoa exigua
Arthur Balfour	Arthur James Balfour
Edwin Mattison McMillan	Edwin McMillan
2010an	2010-2019
Mario J. Molina	Mario J. Molina
Samuel Huntington	Samuel Huntington
Chaf	Kaf (letter)
Lamedh	Lammed
Mem	Mem
Nun (litir)	Noen (letter)
Ayin	Ajien
Tsade	Tsaddie
Qoph	Koef
Resh	Reesj
Shin	Sjien
George Bernard Shaw	George Bernard Shaw
Tìr-mòr na Sìne	Vasteland van China
1001	1001
1002	1002
1003	1003
1005	1005
1006	1006
1007	1007
1008	1008
1009	1009
1010	1010
1011	1011
1012	1012
1013	1013
1014	1014
1015	1015
1016	1016
1017	1017
1018	1018
1019	1019
1020	1020
1021	1021
1022	1022
1023	1023
1024	1024
1025	1025
1026	1026
1027	1027
1028	1028
1029	1029
1030	1030
1031	1031
1032	1032
1033	1033
1034	1034
1035	1035
1036	1036
1037	1037
1038	1038
1039	1039
1040	1040
1041	1041
1042	1042
1043	1043
1044	1044
1045	1045
1046	1046
1047	1047
1048	1048
1049	1049
1050	1050
1051	1051
1052	1052
1053	1053
1054	1054
1055	1055
1056	1056
1057	1057
1058	1058
1059	1059
1060	1060
1061	1061
1062	1062
1063	1063
1064	1064
1065	1065
1066	1066
Pelican	Pelecanus
1067	1067
1068	1068
1069	1069
1070	1070
1071	1071
1072	1072
1073	1073
1074	1074
1075	1075
1076	1076
1077	1077
1078	1078
1079	1079
1080	1080
1081	1081
1082	1082
1083	1083
1084	1084
1085	1085
1086	1086
1087	1087
1088	1088
1089	1089
1090	1090
1091	1091
1092	1092
1093	1093
1094	1094
1095	1095
1096	1096
1097	1097
1098	1098
1099	1099
1106	1106
1107	1107
1108	1108
1109	1109
1110	1110
Podolsk	Podolsk
1111	1111
1112	1112
1113	1113
1114	1114
1115	1115
1116	1116
1117	1117
1118	1118
1119	1119
1120	1120
Pàpa	Paus
1130	1130
1131	1131
Rafael Correa	Rafael Correa
1132	1132
1133	1133
1134	1134
C.B. Celtic	Celtic FC
1135	1135
C.B. Rangers	Rangers Football Club
1136	1136
1137	1137
1138	1138
1139	1139
5	5
1140	1140
1141	1141
1142	1142
1143	1143
1144	1144
4	4
1145	1145
1146	1146
1147	1147
1148	1148
3	3
1149	1149
1150	1150
1151	1151
1152	1152
1153	1153
2	2
1154	1154
1155	1155
1156	1156
1157	1157
1158	1158
1159	1159
Bucharest	Boekarest
1160	1160
1161	1161
1162	1162
1163	1163
1164	1164
Louvre	Louvre
1165	1165
1166	1166
1167	1167
1168	1168
1169	1169
1170	1170
Buidheann neo-eisimeileachd na Porto Riko	Partido Independentista Puertorriqueño
1171	1171
1172	1172
1173	1173
Tirana	Tirana (stad)
1174	1174
1175	1175
1176	1176
1177	1177
1178	1178
Motörhead	Motörhead
1179	1179
1180	1180
1181	1181
Asal	Ezel (dier)
1182	1182
1928	1928
Tatha	Tay (rivier)
Abhainn Chluaidh	Clyde (rivier)
1183	1183
1184	1184
1185	1185
1186	1186
1187	1187
1188	1188
1189	1189
1190	1190
1191	1191
1192	1192
1193	1193
1194	1194
1195	1195
1196	1196
1197	1197
1198	1198
1199	1199
6	6
Seann Tiomnadh	Oude Testament
Josh Duhamel	Josh Duhamel
Nollaig	Kerstmis
Cànanan Ròmanach	Romaanse talen
Bliadhna-leum	Schrikkeljaar
Steve Jobs	Steve Jobs
Lady Gaga	Lady Gaga
Cànanan Innd-Eòrpach	Indo-Europese talen
Breinigerberg	Breinigerberg
Muammar al-Gaddafi	Moammar al-Qadhafi
Tìgear	Tijger
Rìgh Juan Carlos I na Spàinne	Juan Carlos I van Spanje
Francesco Totti	Francesco Totti
Bonnach-uighe	Omelet
Àrd-Dhiùcachd Hesse	Groothertogdom Hessen
Mirow	Mirow
Feldberger Seenlandschaft	Feldberger Seenlandschaft
Neustrelitz	Neustrelitz
Eideard VII	Eduard VII van het Verenigd Koninkrijk
Lugaidh	Zeepier
Spitzbergen	Spitsbergen (eiland)
Fredericia	Fredericia (stad)
Lochlann	Scandinavië
A' Chàisg	Pasen
Chişinău	Chisinau
Cànain Ghearmaineach	Germaanse talen
Eòlas-comainn	Sociologie
Şalom	Şalom
Aibidil Eadar-nàiseanta Fogharach	Internationaal Fonetisch Alfabet
Oilthigh Phrinceton	Princeton-universiteit
Echidna	Mierenegels
Opossum	Opossums
Aurora, Illinois	Aurora (Illinois)
New York	New York
Cruadhtan	Beton
Co-chomharran an Domhain	Geografische coördinaten
Rathad-iarainn	Spoorweg
Bròg	Schoen
Donald Trump	Donald Trump
Banca	Bank (financiële instelling)
Pàirce	Park
Dùmhlachd-sluaigh	Bevolkingsdichtheid
Èirinn	Ierland (eiland)
Rosheim	Rosheim
Abertawe	Swansea
Roinn Eilbheiseach	Kantons van Zwitserland
Sneek	Sneek (stad)
1	1
A’ Chòrn	Cornwall
Bristol	Bristol (Verenigd Koninkrijk)
Wombat	Wombats
10	10
Nashville, Tennessee	Nashville (Tennessee)
20	20
Spinazzola	Spinazzola
30	30
40	40
9	9
7	7
8	8
Taylor Lautner	Taylor Lautner
Jeremy Renner	Jeremy Renner
12	12
Seòl-mara	Getijde (waterbeweging)
Fiadh	Hertachtigen
Dèigh	IJs (water)
Ùrnaigh an Tighearna	Onzevader
Loch-uisge	Meer (watervlakte)
Musée d'Orsay	Musée d'Orsay
Corp-eòlas	Antropologie
930	930
13	13
985	985
1122	1122
981	981
939	939
Ulan Bator	Ulaanbaatar
Ernest Hemingway	Ernest Hemingway
Dùn Èideann	Edinburgh
Ashgabat	Asjchabad
51	51
Eilean	Eiland
814	814
678	678
950	950
679	679
996	996
680	680
37	37
980	980
900	900
1129	1129
Chris Pine	Chris Pine
843	843
Lordi	Lordi
690	690
691	691
988	988
692	692
476	476
693	693
Marseille	Marseille
694	694
695	695
Uinnean	Ui (plant)
696	696
697	697
698	698
Cànan Oifigeil	Officiële taal
699	699
700	700
Moshchena	Mosjtsjena
701	701
702	702
Àrc-eòlas	Archeologie
703	703
Tomàto	Tomaat
704	704
705	705
George H. W. Bush	George H.W. Bush
706	706
68	68
89	89
707	707
708	708
709	709
11	11
710	710
711	711
Paltoga	Paltoga
712	712
Na Balcain	Balkan (schiereiland)
713	713
714	714
Cànanan Slàbhach	Slavische talen
715	715
Dmitry Medvedev	Dmitri Medvedev
716	716
717	717
718	718
Entrena	Entrena
719	719
720	720
Pròsdanachas	Protestantisme
721	721
722	722
723	723
NASA	National Aeronautics and Space Administration
724	724
725	725
726	726
Atlanta	Atlanta
727	727
Benito Mussolini	Benito Mussolini
728	728
729	729
963	963
730	730
Podgorica	Podgorica
731	731
Lost	Lost
962	962
732	732
733	733
997	997
734	734
972	972
735	735
955	955
901	901
736	736
737	737
936	936
738	738
953	953
902	902
739	739
15	15
740	740
14	14
741	741
742	742
17	17
743	743
958	958
744	744
500	500
745	745
150	150
746	746
880	880
747	747
748	748
749	749
Na Sopranos	The Sopranos
870	870
903	903
750	750
HBO	Home Box Office
751	751
Bermuda	Bermuda
752	752
Ceann	Hoofd (anatomie)
753	753
987	987
754	754
965	965
755	755
924	924
951	951
932	932
Wellington, Sealainn Nuadh	Wellington (stad in Nieuw-Zeeland)
Breatainn Mhòr	Groot-Brittannië
23	23
800	800
Jimmy Carter	Jimmy Carter
120	120
Laoidh Nàiseanta	Volkslied (nationaal symbool)
42	42
967	967
989	989
960	960
969	969
957	957
1124	1124
971	971
937	937
992	992
990	990
899	899
975	975
942	942
966	966
1128	1128
959	959
973	973
18	18
19	19
16	16
21	21
26	26
41	41
32	32
33	33
982	982
974	974
976	976
979	979
986	986
Dath nan sùilean	Oogkleur
919	919
998	998
995	995
977	977
1125	1125
Valletta	Valletta
934	934
200	200
876	876
875	875
810	810
929	929
882	882
1127	1127
940	940
889	889
844	844
912	912
838	838
984	984
874	874
38	38
43	43
127	127
954	954
39	39
24	24
79	79
61	61
104	104
29	29
102	102
866	866
Pàpa Iain XXIII	Paus Johannes XXIII
839	839
622	622
918	918
100	100
Lila Downs	Lila Downs
961	961
570	570
632	632
Andrew Garfield	Andrew Garfield
946	946
835	835
884	884
859	859
832	832
849	849
877	877
Sìotà	Jachtluipaard
878	878
861	861
869	869
968	968
983	983
964	964
1121	1121
1123	1123
933	933
915	915
970	970
911	911
993	993
991	991
994	994
898	898
944	944
907	907
943	943
945	945
922	922
905	905
941	941
925	925
928	928
948	948
947	947
949	949
926	926
126	126
101	101
105	105
108	108
117	117
115	115
LaGrange County, Indiana	LaGrange County
Gual	Steenkool
22	22
46	46
25	25
153	153
156	156
31	31
825	825
George Hamilton-Gordon, 4th Earl of Aberdeen	George Hamilton-Gordon
John Barrowman	John Barrowman
Vancouver	Vancouver
Elkhart County, Indiana	Elkhart County
Steuben County, Indiana	Steuben County (Indiana)
LaPorte County, Indiana	LaPorte County
301	301
116	116
886	886
330	330
860	860
842	842
165	165
871	871
893	893
203	203
909	909
222	222
931	931
938	938
917	917
160	160
28	28
Poll a' Ghrùthain	Liverpool
85	85
88	88
76	76
54	54
477	477
914	914
920	920
913	913
935	935
841	841
820	820
906	906
Bremen	Bremen (stad)
916	916
885	885
Gnìomhair	Werkwoord
168	168
Ficsean-saidheans	Sciencefiction
60	60
47	47
836	836
112	112
854	854
862	862
879	879
887	887
770	770
817	817
864	864
863	863
868	868
855	855
818	818
837	837
845	845
Wangerooge	Wangerooge
166	166
Punnd Sasannach	Pond sterling
Guernsey	Guernsey
Svalbard	Spitsbergen
Lon dubh	Merel
Uair	Uur
Peasair	Erwt
Beith	Berk
2016	2016
Nowy Dwór Królewski	Nowy Dwór Królewski
Fàrothais	Faeröers
Sgoil-aimsir	Meteorologie
552	552
Joule	Joule
Corra-ghritheach	Blauwe reiger
2019	2019
Hispaniola	Hispaniola
Harrisburg, Pennsylvania	Harrisburg (Pennsylvania)
Da Lat	Đà Lạt
Uppsala	Uppsala (stad)
Göteborg	Göteborg (stad)
Còrnais	Cornisch
2017	2017
2018	2018
Cànanan Ceilteach	Keltische talen
6mh linn RC	6e eeuw v.Chr.
1ad linn RC	1e eeuw v.Chr.
2na linn RC	2e eeuw v.Chr.
Washington	Washington
Pioghaid	Ekster
Neas bheag	Wezel (dier)
Comhachag	Kerkuil
Aarhus	Aarhus (stad)
3mh linn RC	3e eeuw v.Chr.
Brù-dhearg	Roodborst
4mh linn RC	4e eeuw v.Chr.
Pocanach	Buideldieren
2020	2020
5mh linn RC	5e eeuw v.Chr.
7mh linn RC	7e eeuw v.Chr.
Cumhachd	Vermogen (natuurkunde)
Neas mhòr	Hermelijn (dier)
8mh linn RC	8e eeuw v.Chr.
Tunnag fhiadhaich	Wilde eend
Theodor Mommsen	Theodor Mommsen
Fitheach	Raaf (vogel)
Meanbh-bheò	Plankton
Dràma	Drama (genre)
Atlantis	Atlantis (eiland)
Breacan-beithe	Vink (vogel)
Leeuwarden	Leeuwarden (stad)
Curracag	Kievit
Cadhag	Kauw (vogel)
Breac an t-sìl	Witte kwikstaart
Faidhbhile	Fagus
Helsingborg	Helsingborg (stad)
Deargan-fraoich	Putter
9mh linn RC	9e eeuw v.Chr.
10mh linn RC	10e eeuw v.Chr.
Gobhlan-gaoithe	Boerenzwaluw
Sgarbh	Aalscholver
Sòrbais	Sorbisch
Funchal	Funchal
Mölnlycke	Mölnlycke
Bovidae	Holhoornigen
Sjælland	Seeland (eiland)
600	600
St. Gallen	Sankt Gallen (stad)
400	400
300	300
Aiseag	Veerboot
Aiteann	Jeneverbes (geslacht)
1mh mìle-bliadhna RC	1e millennium v.Chr.
Dreathan donn	Winterkoning
Kaikoura District	Kaikoura
2 mìle-bliadhna	2e millennium
1 mìle-bliadhna	1e millennium
Newsnight	Newsnight
Rutland, Vermont	Rutland (Vermont)
Antalop	Antilopen
Longyearbyen	Longyearbyen
Uiseag	Veldleeuwerik
Hermann Hesse	Hermann Hesse
Cogadh 1812	Oorlog van 1812
South Burlington, Vermont	South Burlington
Coileach-coille	Houtsnip
Växjö	Växjö (stad)
Neòinean	Madeliefje
Buidheag-bhealaidh	Geelgors
3mh mìle-bliadhna	3e millennium
Esbjerg	Esbjerg (stad)
Madeira	Madeira (gebied)
2 mìle-bliadhna RC	2e millennium v.Chr.
Oilthigh Niccolò Cusano	Università degli Studi Niccolò Cusano
Donnchadh I na h-Alba	Duncan I
Smeòrach	Zanglijster
Dordrecht	Dordrecht (Nederland)
Montpelier, Vermont	Montpelier (Vermont)
Tilburg	Tilburg (gemeente)
1040an	1040-1049
Tyler County, Texas	Tyler County (Texas)
Hidalgo County, Texas	Hidalgo County (Texas)
Kimble County, Texas	Kimble County
Kleberg County, Texas	Kleberg County
Kerr County, Texas	Kerr County
Saideal fuadain	Kunstmaan
Yak	Jak
Cam-ghob	Kruisbek
Duchesne County, Utah	Duchesne County
Brooks County, Texas	Brooks County (Texas)
Galveston County, Texas	Galveston County
Caldwell County, Texas	Caldwell County (Texas)
Chambers County, Texas	Chambers County (Texas)
Brazos County, Texas	Brazos County
Calhoun County, Texas	Calhoun County (Texas)
Guadalupe County, Texas	Guadalupe County (Texas)
Gonzales County, Texas	Gonzales County
Grimes County, Texas	Grimes County
San Juan County, Utah	San Juan County (Utah)
Kane County, Utah	Kane County (Utah)
Arspag	Grote mantelmeeuw
Davis County, Utah	Davis County (Utah)
Juab County, Utah	Juab County
Lach-mhòr	Eider (vogel)
Uvalde County, Texas	Uvalde County
Victoria County, Texas	Victoria County
Waller County, Texas	Waller County
Refugio County, Texas	Refugio County
Milam County, Texas	Milam County
Liberty County, Texas	Liberty County (Texas)
Iron County, Utah	Iron County (Utah)
Val Verde County, Texas	Val Verde County
McMullen County, Texas	McMullen County
Clo-mheas	Kruidnagel
Emery County, Utah	Emery County
Garfield County, Utah	Garfield County (Utah)
San Augustine County, Texas	San Augustine County
Weber County, Utah	Weber County
Montgomery County, Texas	Montgomery County (Texas)
Millard County, Utah	Millard County
Starr County, Texas	Starr County
Wasatch County, Utah	Wasatch County
Beanntan Sierra Nevada	Sierra Nevada (Verenigde Staten)
Spruis	Spar
Prince George's County, Maryland	Prince George's County
Coileach Frangach	Kalkoen (dier)
San Andrés y Providencia (Roinn)	San Andrés en Providencia
Morgan County, Utah	Morgan County (Utah)
Walker County, Texas	Walker County (Texas)
Colorado County, Texas	Colorado County
Inneal-fogharaidh	Maaidorser
Sabine County, Texas	Sabine County
Sutton County, Texas	Sutton County
Terrell County, Texas	Terrell County (Texas)
Rich County, Utah	Rich County
Ròn cumanta	Gewone zeehond
Blanco County, Texas	Blanco County
Háček	Haček
Trinity County, Texas	Trinity County (Texas)
Frio County, Texas	Frio County
Leon County, Texas	Leon County (Texas)
Lavaca County, Texas	Lavaca County
Gillespie County, Texas	Gillespie County
Lee County, Texas	Lee County (Texas)
Brazoria County, Texas	Brazoria County
Grand County, Utah	Grand County (Utah)
Wayne County, Utah	Wayne County (Utah)
Broc	Das (dier)
Utah County, Utah	Utah County
Goliad County, Texas	Goliad County
Falls County, Texas	Falls County
Washington County, Utah	Washington County (Utah)
Piute County, Utah	Piute County
Garding	Garding
Ròn glas	Grijze zeehond
Crìonag	Vuurgoudhaan
Afraga-Eoràisia	Afrika-Eurazië
Sandnes	Sandnes (Rogaland)
Faoileag	Meeuwen (vogels)
Aimearaga Mheadhanach	Centraal-Amerika
Mikhail Bakunin	Michail Bakoenin
Giomach	Europese kreeft
Ostfriesische Inseln	Oost-Friese Waddeneilanden
Chester County, Pennsylvania	Chester County (Pennsylvania)
Delaware County, Pennsylvania	Delaware County (Pennsylvania)
Beus	Bas (zangstem)
Gille-fionntrainn	Alikruik
Caineal	Kaneel
Jackson, Mississippi	Jackson (Mississippi)
Augusta, Maine	Augusta (Maine)
Lansing, Michigan	Lansing (Michigan)
Bile-bhuidhe	Gele ganzenbloem
Amarais	Amhaars
Concord, Hampshire Nuadh	Concord (New Hampshire)
Oitir	Zandbank
Ialtag	Vleermuizen
36	36
Falt	Haar (zoogdier)
Springfield, Illinois	Springfield (Illinois)
Tarnobrzeg	Tarnobrzeg
Neas	Kleine marters
Frankfort, Kentucky	Frankfort (Kentucky)
Proifeasan	Beroep
Calicut	Kozhikode (stad)
Saint Paul, Minnesota	Saint Paul (Minnesota)
Glaisean	Mussen
Miloš Zeman	Miloš Zeman
C.B. Kuban Krasnodar	FK Koeban Krasnodar
Francisco Franco	Francisco Franco
Easbaig	Bisschop
Tarja Halonen	Tarja Halonen
Sant-Brieg	Saint-Brieuc
Bill Murray	Bill Murray
Montgomery, Alabama	Montgomery (Alabama)
Sìona (roinn chultarach)	China
Dluthad	Dichtheid (natuurkunde)
815	815
816	816
822	822
840	840
823	823
3mh mìle-bliadhna RC	3e millennium v.Chr.
811	811
771	771
Mordvin	Erzja
888	888
768	768
851	851
205	205
159	159
Gallais	Gallisch
107	107
162	162
103	103
802	802
804	804
119	119
118	118
801	801
807	807
806	806
Cafaidh	Koffiehuis
152	152
Beàrnan-brìde	Taraxacum
240	240
218	218
655	655
496	496
238	238
197	197
451	451
775	775
489	489
Dà-chànanas	Meertaligheid
784	784
661	661
625	625
653	653
904	904
921	921
923	923
1126	1126
668	668
636	636
408	408
464	464
Rionnach	Makreel
410	410
956	956
952	952
658	658
650	650
518	518
70	70
81	81
Leopard-sneachda	Sneeuwpanter
69	69
87	87
65	65
66	66
67	67
55	55
34	34
44	44
35	35
64	64
504	504
Ròn	Zeeroofdieren
453	453
161	161
169	169
481	481
151	151
155	155
128	128
129	129
463	463
193	193
674	674
687	687
251	251
337	337
786	786
660	660
50	50
260	260
501	501
45	45
491	491
49	49
Ecser	Ecser
978	978
Cànan Silesianach	Silezisch (Slavische taal)
221	221
543	543
536	536
230	230
762	762
610	610
787	787
480	480
209	209
202	202
192	192
681	681
819	819
173	173
867	867
865	865
827	827
824	824
847	847
883	883
829	829
813	813
910	910
850	850
808	808
853	853
872	872
873	873
856	856
858	858
831	831
857	857
828	828
826	826
833	833
848	848
834	834
881	881
852	852
163	163
154	154
201	201
803	803
805	805
52	52
532	532
82	82
84	84
73	73
72	72
62	62
71	71
75	75
74	74
83	83
78	78
77	77
90	90
80	80
627	627
456	456
91	91
190	190
109	109
53	53
270	270
688	688
452	452
795	795
465	465
778	778
846	846
830	830
404	404
908	908
896	896
897	897
927	927
63	63
555	555
571	571
86	86
401	401
890	890
533	533
264	264
Mikhail Gorbachev	Michail Gorbatsjov
99	99
415	415
483	483
469	469
462	462
459	459
466	466
402	402
761	761
780	780
675	675
689	689
774	774
759	759
Seabhag	Slechtvalk (vogel)
758	758
350	350
782	782
760	760
785	785
783	783
767	767
766	766
211	211
232	232
204	204
188	188
98	98
894	894
891	891
602	602
628	628
892	892
601	601
672	672
682	682
821	821
648	648
686	686
664	664
677	677
640	640
110	110
111	111
137	137
138	138
122	122
140	140
809	809
167	167
665	665
776	776
763	763
769	769
667	667
529	529
777	777
788	788
671	671
772	772
432	432
231	231
237	237
239	239
Auguste Rodin	Auguste Rodin
130	130
226	226
207	207
475	475
454	454
495	495
206	206
468	468
461	461
460	460
194	194
210	210
225	225
311	311
220	220
541	541
642	642
Oscar Wilde	Oscar Wilde
390an	390-399
313	313
180	180
794	794
587	587
530	530
609	609
497	497
540	540
428	428
Neach-seinn àirde	Sopraan (zangstem)
548	548
422	422
549	549
457	457
478	478
253	253
467	467
458	458
350an	350-359
158	158
157	157
164	164
124	124
113	113
121	121
106	106
551	551
494	494
320	320
242	242
291	291
48	48
97	97
56	56
93	93
Alofi	Alofi (plaats)
57	57
Poilinèis na Frainge	Frans-Polynesië
Rouen	Rouen
503	503
510	510
509	509
474	474
484	484
576	576
493	493
479	479
287	287
407	407
485	485
547	547
546	546
544	544
537	537
535	535
502	502
527	527
Yaren	Yaren
508	508
Cille Pheadair	Houston (Renfrewshire)
Ròpa	Touw
525	525
613	613
618	618
617	617
608	608
645	645
621	621
606	606
623	623
604	604
603	603
626	626
619	619
634	634
Burlington, Vermont	Burlington (Vermont)
630	630
614	614
505	505
446	446
791	791
557	557
Àireamhair	Rekenmachine
656	656
657	657
Glacier County, Montana	Glacier County
659	659
651	651
676	676
670	670
652	652
673	673
654	654
647	647
812	812
669	669
792	792
649	649
895	895
756	756
663	663
779	779
662	662
684	684
773	773
757	757
435	435
790	790
437	437
433	433
764	764
426	426
781	781
425	425
429	429
423	423
765	765
235	235
233	233
223	223
224	224
216	216
219	219
254	254
272	272
208	208
175	175
170	170
171	171
172	172
58	58
59	59
139	139
114	114
134	134
135	135
179	179
142	142
96	96
181	181
146	146
145	145
183	183
182	182
184	184
324	324
589	589
Piorraid	Papegaaiachtigen
521	521
92	92
597	597
329	329
Kraków	Krakau
133	133
413	413
258	258
259	259
196	196
236	236
789	789
332	332
631	631
487	487
638	638
473	473
176	176
143	143
643	643
523	523
215	215
148	148
247	247
424	424
641	641
492	492
639	639
256	256
441	441
131	131
191	191
450	450
612	612
635	635
611	611
534	534
Inbhir Chargaill	Invercargill
488	488
607	607
524	524
282	282
472	472
471	471
490	490
316	316
797	797
511	511
295	295
598	598
303	303
250	250
515	515
512	512
418	418
333	333
294	294
217	217
277	277
578	578
312	312
Cur-ris	Optellen
284	284
283	283
241	241
243	243
262	262
498	498
336	336
334	334
266	266
Dòrnaireachd	Boksen
261	261
470	470
Oilthigh Halle-Wittenberg	Maarten Luther-Universiteit
349	349
271	271
275	275
292	292
296	296
345	345
431	431
380an	380-389
304	304
550	550
586	586
588	588
554	554
229	229
583	583
265	265
263	263
585	585
582	582
556	556
420	420
280	280
581	581
558	558
302	302
309	309
353	353
335	335
367	367
344	344
245	245
290	290
449	449
308	308
255	255
Lake County, Colorado	Lake County (Colorado)
439	439
319	319
318	318
299	299
419	419
416	416
338	338
310	310
315	315
359	359
360	360
273	273
286	286
288	288
Teàrlach V, Iompaire Naomh Ròmanach	Keizer Karel V
278	278
455	455
577	577
575	575
482	482
486	486
580	580
567	567
564	564
561	561
328	328
325	325
317	317
574	574
566	566
249	249
348	348
442	442
443	443
267	267
244	244
248	248
343	343
562	562
417	417
268	268
590	590
269	269
499	499
409	409
405	405
406	406
403	403
414	414
411	411
412	412
560	560
592	592
Asal stiallach	Zebra (dier)
276	276
Mosg	Moskee
314	314
323	323
366	366
362	362
545	545
531	531
514	514
513	513
539	539
538	538
519	519
516	516
520	520
522	522
528	528
506	506
526	526
507	507
Valery Leontiev	Valeri Leontjev
214	214
213	213
212	212
228	228
227	227
149	149
174	174
189	189
199	199
141	141
132	132
125	125
123	123
Vincent du Vigneaud	Vincent du Vigneaud
147	147
144	144
198	198
178	178
177	177
187	187
195	195
186	186
347	347
620	620
624	624
605	605
629	629
616	616
615	615
644	644
646	646
633	633
637	637
436	436
434	434
293	293
427	427
185	185
360an	360-369
321	321
327	327
430	430
Leon Trotsky	Leon Trotski
447	447
Little Rock, Arkansas	Little Rock (Arkansas)
569	569
568	568
444	444
796	796
798	798
Càrdamon	Kardemom
793	793
685	685
Hartford	Hartford (Connecticut)
799	799
683	683
Taigh-tasgaidh	Museum
Rolling Stone	Rolling Stone
274	274
Aibidil Eabhra	Hebreeuws alfabet
Dover, Delaware	Dover (Delaware)
579	579
281	281
306	306
438	438
Friedrich II na Pruise	Frederik II van Pruisen
297	297
421	421
298	298
351	351
352	352
355	355
95	95
94	94
594	594
542	542
448	448
445	445
305	305
234	234
565	565
381	381
385	385
553	553
307	307
584	584
346	346
257	257
285	285
591	591
289	289
Bertrand Russell	Bertrand Russell
Làmh	Hand
563	563
252	252
Nepali (canan)	Nepalees
Àireamh-shluaigh	Bevolking
595	595
246	246
Theodore Roosevelt	Theodore Roosevelt
596	596
593	593
357	357
573	573
Tel Aviv	Tel Aviv
Nice	Nice
Duilleag	Blad
Sàrdais	Sardijns
Actair	Acteur
Marlon Brando	Marlon Brando
Niue	Niue
Eas	Waterval
559	559
599	599
326	326
341	341
322	322
Nathalia Dill	Nathalia Dill
Justin Bieber	Justin Bieber
Umha	Brons
Modica	Modica
Hosni Mubarak	Hosni Moebarak
386	386
Funafuti	Funafuti
374	374
380	380
Pablo Neruda	Pablo Neruda
Àth nan Damh	Oxford (Verenigd Koninkrijk)
Walloon (cànan)	Waals
136	136
Linus Torvalds	Linus Torvalds
Port-au-Prince	Port-au-Prince
Międzyrzec Podlaski	Międzyrzec Podlaski
Alexander Graham Bell	Alexander Graham Bell
Woodrow Wilson	Woodrow Wilson
370an	370-379
Tasmania	Tasmanië
Rotterdam	Rotterdam
Innealan-ciùil	Muziekinstrument
Eala	Cygnus (geslacht)
Oilthigh Oxford	Universiteit van Oxford
Rathad	Weg
Aleksandr Solženicyn	Aleksandr Solzjenitsyn
Heileacoptair	Helikopter
Each-aibhne	Nijlpaard
382	382
342	342
373	373
372	372
James A. Garfield	James Garfield
Kyoto	Kioto (stad)
Sionagog	Synagoge
Caolas Sasannach	Het Kanaal
1980an	1980-1989
Johannesburg	Johannesburg
Eaglais	Kerk (instituut)
1990an	1990-1999
Albert Camus	Albert Camus
Gainmheach	Zand
Kingston, Iaimeuca	Kingston (Jamaica)
Buadhair	Bijvoeglijk naamwoord
Leopard	Luipaard
Qaidam	Tsaidam
Salzburg	Salzburg (stad)
Sròn-adharcach	Neushoorns
Dayton, Ohio	Dayton (Ohio)
Rudyard Kipling	Rudyard Kipling
Leth-eilean	Schiereiland
Còd Àireamh fòn eadar-nàiseanta	Lijst van landnummers in de telefonie
