Africa	Afrika
Yancuīc Hampshire	New Hampshire
Santa Lucía	Saint Lucia
Leonardo da Vinci	Leonardo da Vinci
San Cristóbal īhuān Nevis	Saint Kitts en Nevis
Nanacatl	Schimmels
Xamaica	Jamaica
Granada (tlācatiyān)	Grenada
Massachusetts	Massachusetts
Cuauhtēmallān	Guatemala
Bahamas	Bahama's
Connecticut	Connecticut
Cuānaca	Kip (vogel)
Antigua īhuān Barbuda	Antigua en Barbuda
Hawaii	Hawaï
Honduras	Honduras
Dominica	Dominica
Domingotlācatlahtohcāyōtl	Dominicaanse Republiek
Ilhuicaātl Ártico	Noordelijke IJszee
Haiti	Haïti
Cōzcatlān	El Salvador
Iran	Iran
Irac	Irak
Alaska	Alaska
Costa Rica	Costa Rica
Israel	Israël
Utrecht	Utrecht (stad)
Panama	Panama (land)
Yemen	Jemen
Poloniatlahtōlli	Pools
Iordania	Jordanië
Nicānāhuac	Nicaragua
Florida	Florida (staat)
Quirhuistan	Kirgizië
Arizona	Arizona (staat)
Cuhuait	Koeweit
Lao	Laos
Libano	Libanon
Oregon	Oregon
Maldivas	Maldiven
Ixachitlān	Amerika (continent)
Utah	Utah
Cuācuahueh	Rund
Malasia	Maleisië
Mianma	Myanmar
Nepal	Nepal
Omān	Oman
Paquistan	Pakistan
Catar	Qatar
Saudarabia	Saoedi-Arabië
Sri Lanca	Sri Lanka
Siria	Syrië
Plátōn	Plato
Tayiquistan	Tadzjikistan
Pokémon	Pokémon
Taihuan	Taiwan
YouTube	YouTube
Aristotelēs	Aristoteles
Taitlālpan	Thailand
Tepozcōātl	Trein
Turcmenistan	Turkmenistan
Tlacetilīlli Arabiaemiryōtl	Verenigde Arabische Emiraten
Vietnam	Vietnam
Charles Chaplin	Charlie Chaplin
Novosibirsk	Novosibirsk
Corea Huitztlāmpa	Zuid-Korea
The Simpsons	The Simpsons
Yekaterinburg	Jekaterinenburg
Afganistan	Afghanistan
Nizhniy Novgorod	Nizjni Novgorod
J.R.R. Tolkien	J.R.R. Tolkien
Cōztic teōcuitlatl	Goud
Omsk	Omsk
Tlamatiliztlācatl	Wetenschapper
Bangladex	Bangladesh
Chelyabinsk	Tsjeljabinsk
Rostov na Donu	Rostov aan de Don
Mali	Mali
Sōcratēs	Socrates (filosoof)
Volgograd	Wolgograd
Angola	Angola
Butan	Bhutan
Brunei	Brunei
Tanzania	Tanzania
Yōliamochitl	Kwik
Roald Amundsen	Roald Amundsen
Filipinas	Filipijnen
Tlācatlahtohcāyōtl Tlahco Africa	Centraal-Afrikaanse Republiek
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Cōztic	Geel (kleur)
Togo	Togo
Tunez	Tunesië
Zambia	Zambia
Zimbahue	Zimbabwe
Pequin	Peking
Sudan Huitztlāmpa	Zuid-Soedan
Benin	Benin
Botzhuana	Botswana
Burquina Faso	Burkina Faso
Burundi	Burundi
Comoras	Comoren
Tlācatlahtohcāyōtl in Congo	Congo-Brazzaville
Tlācatlahtohcāyōtl Tlācatēpacholiztli in Congo	Congo-Kinshasa
San Antonio, Texas	San Antonio (Texas)
Yibuti	Djibouti (land)
Bavaria	Beieren
Guinea Tlahcotlālticpac	Equatoriaal-Guinea
Baden-Württemberg	Baden-Württemberg
Eritrea	Eritrea
Yancuīc Delhi	New Delhi
Ioannes Paulus II	Paus Johannes Paulus II
Tibilisi	Tbilisi
Conētzintli	Baby
Gabon	Gabon
Gambia	Gambia (land)
Guinea	Guinee
Guinea Bissau	Guinee-Bissau
Tlanomihuēyātēnco	Ivoorkust
Camerun	Kameroen
Cabo Xoxoctic	Kaapverdië
Lesoto	Lesotho
Liberia	Liberia
Libia	Libië
Madagascar	Madagaskar
Malahui	Malawi
Stuttgart	Stuttgart
Mauritania	Mauritanië
Mauricio	Mauritius (land)
Marruecos	Marokko
Mozambique	Mozambique
Namibia	Namibië
Niger	Niger (land)
Nigeria	Nigeria
Charles Darwin	Charles Darwin
Uganda	Oeganda
Ruanda	Rwanda
Santo Tomé īhuān Tlahtohcāpilli	Sao Tomé en Principe
Senegal	Senegal
Seychelles	Seychellen
Sierra Leona	Sierra Leone
Somalia	Somalië
Nextictepoztli	Niobium
Julius Caesar	Julius Caesar
Sudan	Soedan
Suazitlālpan	Swaziland
Cōzamālōtl	Regenboog (optica)
Hamburg	Hamburg
Tlacetilīlli Tlācatiyān	Verenigde Naties
Dante Alighieri	Dante Alighieri
Tlālmatiliztli	Geologie
Cemānāhuacāyōtl	Aardrijkskunde
Yōllōtl	Hart
Cuāyōllōtl	Hersenen
Cuetlaxtli	Huid
Tlapālli	Kleur
Praha	Praag
Texohtic	Blauw (kleur)
Iztāc teōcuitlatl	Zilver
Amochitl	Tin (element)
Ilhuicateōtepoztli	Uranium
Mictlāntēuctepoztli	Plutonium
Tlāloctepoztli	Neptunium
Anime	Anime
Nelnextictepoztli	Tantaal
Bill Clinton	Bill Clinton
Mumbai	Bombay
Michigan	Michigan
Aquitania	Aquitanië
Puerto Rico	Puerto Rico
Schleswig-Holstein	Sleeswijk-Holstein
Mecklenburg-Pommern Cihuātlāmpa	Mecklenburg-Voor-Pommeren
Tlani Saxonia	Nedersaksen
Rhein Mictlāmpa-Westfalen	Noordrijn-Westfalen
Hessen	Hessen
Rheinland-Pfalz	Rijnland-Palts
Saarland	Saarland
Saxonia	Saksen (deelstaat)
John Lennon	John Lennon
Illinois	Illinois (staat)
Thüringen	Thüringen (deelstaat)
Saxonia-Anhalt	Saksen-Anhalt
Dakota Mictlāmpa	North Dakota
Brandenburg	Brandenburg (deelstaat)
Bremen	Vrije Hanzestad Bremen
Lombardia	Lombardije
Dakota Huitztlāmpa	South Dakota
Montana	Montana (staat)
Wyoming	Wyoming
Ierusalem	Jeruzalem
Idaho	Idaho
Washington	Washington (staat)
Nevada	Nevada (staat)
Ilhuicaātl Índico	Indische Oceaan
Cosovo	Kosovo
Huēyātl Caribe	Caraïbische Zee
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Javier Pérez de Cuéllar	Javier Pérez de Cuéllar
Colorado	Colorado (staat)
Frédéric Chopin	Frédéric Chopin
Neneuhcāyōtl:Índice de categorías	Categorie:Alles
Gent	Gent
Chicago	Chicago
The Beatles	The Beatles
Maastricht	Maastricht
Cehuetzilizpan	Winter
Xōxōpan	Lente
Xōpantlah	Zomer
Pixcayān	Herfst
Caxtillāntlahtōlli	Spaans
Montevideo	Montevideo (stad)
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Opera	Opera (muziek)
Calcuta	Calcutta
Opel Astra	Opel Astra
Daca	Dhaka (stad)
Tocatl	Spinnen (dieren)
Islamabad	Islamabad
Virginia	Virginia (staat)
Virginia Tlāpcopa	West Virginia
Yancuīc York	New York (staat)
Rhode Island	Rhode Island (staat)
Yolcatzin	Insecten
Maryland	Maryland
Delaware	Delaware
Ohio	Ohio (staat)
Pennsylvania	Pennsylvania
Uetersen	Uetersen
Augustus	Imperator Caesar Augustus
Yancuīc Jersey	New Jersey
Fintlahtōlli	Fins
Indiana	Indiana
Nokia	Nokia (bedrijf)
Tepozmalacatl	Auto
Georgia (Tlacetilīlli Tlahtohcāyōtl)	Georgia (staat)
Zagreb	Zagreb
Texas	Texas (staat)
Genova	Genua (stad)
Carolina Mictlāmpa	North Carolina
Carolina Huitztlāmpa	South Carolina
Calabria	Calabrië
Sicilia	Sicilië
Manillah	Manilla
Sardegna	Sardinië
Feltre	Feltre
Buenos Aires	Buenos Aires (stad)
Āltepētl Mēxihco	Mexico-Stad
Tōquiō	Tokio
La Paz, Bolivia	La Paz (stad in Bolivia)
Barcelona	Barcelona (Spanje)
Matzahtli	Ananas
Mississippi	Mississippi (staat)
Tennessee	Tennessee
Richard Wagner	Richard Wagner
Astana	Astana (stad)
Yancuīc Mēxihco	New Mexico
Atēna	Athene (stad)
Minnesota	Minnesota
Bagdād	Bagdad
Caracas	Caracas
Tlatēcpānalli cemānāhuaccāhuitl	UTC
Wisconsin	Wisconsin
Cyndi Lauper	Cyndi Lauper
Iowa	Iowa (staat)
Nebraska	Nebraska
Āltepētl Cuauhtēmallān	Guatemala-Stad
Kansas	Kansas (staat)
La Ahuana	Havana
Inditlahtōlli	Hindi
Maratitlahtōlli	Marathi (taal)
Missouri	Missouri (staat)
Louisiana	Louisiana (staat)
Kentucky	Kentucky
Arkansas	Arkansas (staat)
Urdutlahtōlli	Urdu
Oklahoma	Oklahoma
Danubio	Donau
Kiel	Kiel (Duitsland)
Schwerin	Schwerin
Potsdam	Potsdam
Hannover	Hannover (stad)
Düsseldorf	Düsseldorf
Mainz	Mainz
Wiesbaden	Wiesbaden
Saarbrücken	Saarbrücken
Munich	München
Erfurt	Erfurt
Dresden	Dresden
Magdeburg	Maagdenburg (stad)
Innsbruck	Innsbruck
Viena	Wenen
Madonna	Madonna (zangeres)
Copenague	Kopenhagen
Estocolmo	Stockholm
Helsinqui	Helsinki
Dublin	Dublin
Reikiavik	Reykjavik
Tallin	Tallinn
Rīga	Riga
Bratislava	Bratislava
Budapest	Boedapest
Gdansk	Gdańsk
Frankfurt in Main	Frankfurt am Main
Wroclaw	Wrocław
Cemānāuhtic Quixtianayōtl	Katholicisme
Vaduz	Vaduz
Teōāmoxtli	Bijbel (christendom)
Āltepētl San Marino	San Marino (stad)
Nom Pen	Phnom Penh
Āltepētl Ho Chi Minh	Ho Chi Minhstad
Hanoi	Hanoi
Jesús Nelli Iglesia	Ware Jezuskerk
Inglatlahtōlli	Engels
Andorra in Huehcāuh	Andorra la Vella
Dong Hoi	Đồng Hới
Concepción, Chile	Concepción (Chili)
Bologna	Bologna (stad)
Cagliari	Cagliari (stad)
Kiev	Kiev
Ontario	Ontario
Ottawa	Ottawa (stad)
Huēyitzitzimicītlalli īmētz	Lijst van manen van Jupiter
Yuba	Djoeba
Manitoba	Manitoba
Alberta	Alberta
Yancuīc Escocia	Nova Scotia
Erevan	Jerevan
Końskowola	Końskowola
Formula 1	Formule 1
Tzitzimicītlalli īmētz	Manen van Saturnus
British Columbia	Brits-Columbia
2000	2000
2003	2003
2002	2002
2001	2001
Saskatchewan	Saskatchewan
2012	2012
2011	2011
2010	2010
2009	2009
2013	2013
2014	2014
2015	2015
2008	2008
Yukon	Yukon (territorium)
2004	2004
2005	2005
2006	2006
Nunavut	Nunavut
2007	2007
Verona	Verona (stad)
1900	1900
1901	1901
1902	1902
Florencia	Florence (stad)
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
Essen	Essen (Noordrijn-Westfalen)
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
Leipzig	Leipzig
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
Nürnberg	Neurenberg
1999	1999
1917	1917
1918	1918
Tlacualli	Voedsel
Cōātl	Slangen
Onohuayān Arica īhuān Parinacota	Arica y Parinacota
Onohuayān Antofagasta	Antofagasta (regio)
Onohuayān Atacama	Atacama (regio)
Onohuayān Coquimbo	Coquimbo (regio)
Winnipeg	Winnipeg
Tlāloccītlalli īmētz	Manen van Neptunus
Āltepētl Quebec	Quebec (stad)
1 ic cē mētztli	1 januari
2 ic cē mētztli	2 januari
1920	1920
3 ic cē mētztli	3 januari
1919	1919
1921	1921
1922	1922
Onohuayān Maule	Maule (regio)
4 ic cē mētztli	4 januari
1923	1923
Onohuayān Biobío	Biobío (regio)
1924	1924
Onohuayān La Araucanía	Araucanía
Onohuayān Los Ríos	Los Ríos (regio)
Onohuayān Los Lagos	Los Lagos (regio)
5 ic cē mētztli	5 januari
Arica	Arica (stad)
UTC-7	UTC-7
6 ic cē mētztli	6 januari
7 ic cē mētztli	7 januari
8 ic cē mētztli	8 januari
9 ic cē mētztli	9 januari
10 ic cē mētztli	10 januari
11 ic cē mētztli	11 januari
12 ic cē mētztli	12 januari
13 ic cē mētztli	13 januari
14 ic cē mētztli	14 januari
15 ic cē mētztli	15 januari
16 ic cē mētztli	16 januari
17 ic cē mētztli	17 januari
18 ic cē mētztli	18 januari
19 ic cē mētztli	19 januari
20 ic cē mētztli	20 januari
21 ic cē mētztli	21 januari
22 ic cē mētztli	22 januari
23 ic cē mētztli	23 januari
Roma Emperadoryōtl	Romeinse Keizerrijk
24 ic cē mētztli	24 januari
25 ic cē mētztli	25 januari
Minsk	Minsk
26 ic cē mētztli	26 januari
27 ic cē mētztli	27 januari
28 ic cē mētztli	28 januari
29 ic cē mētztli	29 januari
30 ic cē mētztli	30 januari
31 ic cē mētztli	31 januari
2 Tlamahtlācōnti	2 december
1 Tlamahtlācōnti	1 december
Tlamahtlācōnti 3	3 december
Tlamahtlācōnti 7	7 december
Tlamahtlācōnti 5	5 december
Tlamahtlācōnti 8	8 december
Tlamahtlācōnti 10	10 december
Tlamahtlācōnti 6	6 december
Tlamahtlācōnti 9	9 december
Pink Floyd	Pink Floyd
AvtoVAZ	AvtoVAZ
Tlamahtlācōnti 4	4 december
1 Tlaōnti	1 februari
2 Tlaōnti	2 februari
3 Tlaōnti	3 februari
Kurów	Kurów (powiat Puławski)
Tlaōnti 4	4 februari
Tlaōnti 5	5 februari
Tlaōnti 6	6 februari
Tlaōnti 7	7 februari
Tlaōnti 8	8 februari
Tlaōnti 9	9 februari
10 Tlaōnti	10 februari
14 Tlaōnti	14 februari
13 Tlaōnti	13 februari
15 Tlaōnti	15 februari
11 Tlaōnti	11 februari
12 Tlaōnti	12 februari
19 Tlaōnti	19 februari
17 Tlaōnti	17 februari
16 Tlaōnti	16 februari
18 Tlaōnti	18 februari
Tlaōnti 20	20 februari
21 Tlaōnti	21 februari
Tlaōnti 22	22 februari
Tlaōnti 23	23 februari
24 tlaōnti	24 februari
25 tlaōnti	25 februari
Tlaōnti 26	26 februari
27	27
Tlaōnti 27	27 februari
Tlaōnti 28	28 februari
Tlamahtlācōnti 11	11 december
Tlaōnti 29	29 februari
Tlamahtlācōnti 12	12 december
Tlamahtlācōnti 13	13 december
Tlamahtlācōnti 14	14 december
Tlamahtlācōnti 15	15 december
Tlayēti 2	2 maart
Tlayēti 3	3 maart
Tlayēti 5	5 maart
Tlayēti 1	1 maart
Tlayēti 7	7 maart
Tlayēti 8	8 maart
Tlayēti 4	4 maart
Tlayēti 10	10 maart
11 tlayēti	11 maart
Tlayēti 6	6 maart
Tlayēti 13	13 maart
Tlayēti 9	9 maart
12 tlayēti	12 maart
Tlayēti 15	15 maart
Tlayēti 14	14 maart
Tlamahtlācōnti 16	16 december
Tlamahtlācōnti 17	17 december
Tlayēti 16	16 maart
Tlayēti 17	17 maart
Tlayēti 18	18 maart
Tlayēti 19	19 maart
1989	1989
1988	1988
Tlayēti 20	20 maart
1987	1987
1986	1986
1985	1985
1984	1984
Tlayēti 21	21 maart
1983	1983
Tlayēti 22	22 maart
1982	1982
1981	1981
Tlamahtlācōnti 18	18 december
1980	1980
Tlayēti 23	23 maart
19 tlamahtlācōnti	19 december
Tlayēti 24	24 maart
Tlayēti 25	25 maart
Tlamahtlācōnti 20	20 december
Tlayēti 26	26 maart
Tlayēti 27	27 maart
Tlayēti 28	28 maart
Tlayēti 29	29 maart
Tlayēti 30	30 maart
Tlayēti 31	31 maart
Nassau	Nassau (Bahama's)
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
Konrad Adenauer	Konrad Adenauer
Benedictus XVI	Paus Benedictus XVI
Ludwig Erhard	Ludwig Erhard
15 Tlanāuhti	15 april
Tlanāuhti 13	13 april
Tlanāuhti 12	12 april
Tlanāuhti 14	14 april
Tlanāuhti 11	11 april
Tlanāuhti 10	10 april
Tlanāuhti 8	8 april
Tlanāuhti 9	9 april
7 tlanāuhti	7 april
Tlanāuhti 6	6 april
Tlanāuhti 5	5 april
Tlanāuhti 4	4 april
Tlanāuhti 3	3 april
Tlanāuhti 1	1 april
Tlanāuhti 2	2 april
Kurt Georg Kiesinger	Kurt Georg Kiesinger
Willy Brandt	Willy Brandt
Helmut Schmidt	Helmut Schmidt
Helmut Kohl	Helmut Kohl
Tlanāuhti 16	16 april
Tlanāuhti 17	17 april
Tlanāuhti 18	18 april
Tlanāuhti 19	19 april
20 Tlanāuhti	20 april
Tlanāuhti 21	21 april
22 Tlanāuhti	22 april
Tlanāuhti 23	23 april
Tlanāuhti 24	24 april
Gerhard Schröder	Gerhard Schröder
Tlanāuhti 25	25 april
Tlanāuhti 26	26 april
Tlanāuhti 27	27 april
Tlanāuhti 28	28 april
Tlanāuhti 29	29 april
Tlanāuhti 30	30 april
Christian Wulff	Christian Wulff
Horst Köhler	Horst Köhler
Tlamācuīlti 1	1 mei
Tlamācuīlti 2	2 mei
Tlamācuīlti 3	3 mei
Tlamācuīlti 4	4 mei
Tlamācuīlti 5	5 mei
Johannes Rau	Johannes Rau
Tlamācuīlti 6	6 mei
Tlamācuīlti 7	7 mei
Tlamācuīlti 8	8 mei
Tlamācuīlti 9	9 mei
Tlamācuīlti 10	10 mei
Tlamācuīlti 11	11 mei
Tlamācuīlti 12	12 mei
Tlamācuīlti 13	13 mei
Tlamācuīlti 14	14 mei
Tlamācuīlti 15	15 mei
Tlamācuīlti 16	16 mei
Tlamācuīlti 17	17 mei
Tlamācuīlti 18	18 mei
Tlamācuīlti 19	19 mei
Tlamācuīlti 20	20 mei
Tlamācuīlti 21	21 mei
Tlamācuīlti 22	22 mei
Tlamācuīlti 23	23 mei
Tlamācuīlti 24	24 mei
Tlamācuīlti 25	25 mei
Tlamācuīlti 26	26 mei
Tlamācuīlti 27	27 mei
Tlamācuīlti 28	28 mei
Tlamācuīlti 29	29 mei
Tlamācuīlti 30	30 mei
Tlamācuīlti 31	31 mei
Paul McCartney	Paul McCartney
Tlamahtlācōnti 21	21 december
Erich Honecker	Erich Honecker
Tlachicuazti 14	14 juni
Tlachicuazti 15	15 juni
