Áfríkà	Afrika
Japan	Japan
Gúúsù Amẹ́ríkà	Zuid-Amerika
Nọ́rwèy	Noorwegen
Ilẹ̀gẹ̀ẹ́sì	Engeland
Skọ́tlándì	Schotland
Wélsì	Wales
Írẹ́lándì Apáàríwá	Noord-Ierland
Írẹ́lándì	Ierland (land)
Húngárì	Hongarije
Spéìn	Spanje
Àwọn Ìpínlẹ̀ Aṣọ̀kan Amẹ́ríkà	Verenigde Staten
Bẹ́ljíọ̀m	België
Lúksẹ́mbọ̀rg	Luxemburg (land)
Ayé	Aarde (planeet)
Ọmọnìyàn	Mens
George Washington	George Washington
Tim Berners-Lee	Tim Berners-Lee
Fínlándì	Finland
Swídìn	Zweden
Dẹ́nmárkì	Denemarken
Pólàndì	Polen
Lituéníà	Litouwen
Itálíà	Italië
Swítsàlandì	Zwitserland
Austríà	Oostenrijk
Gríìsì	Griekenland
Túrkì	Turkije
Pọ́rtúgàl	Portugal
Europe	Europa (werelddeel)
Ásíà	Azië
Àríwá Amẹ́ríkà	Noord-Amerika
Antárktìkà	Antarctica
Wikipedia	Wikipedia
Nẹ́dálándì	Nederland
New York	New York City
Washington, D.C.	Washington D.C.
San Francisco	San Francisco
Berlin	Berlijn
Los Angeles	Los Angeles
Kọ̀mpútà	Computer
Berne	Bern (stad)
Geneva	Genève (stad)
Zürich	Zürich (stad)
Internet Relay Chat	Internet Relay Chat
Internet	Internet
Barack Obama	Barack Obama
Urugúáì	Uruguay
MediaWiki	MediaWiki
Lọndọnu	Londen
Káírò	Caïro (stad)
Parisi	Parijs
Abraham Lincoln	Abraham Lincoln
Google	Google Inc.
Mẹ́ksíkò	Mexico (land)
Òkun Atlántíkì	Atlantische Oceaan
Òkun Pàsífíkì	Grote Oceaan
Kalifọ́rníà	Californië
Boston	Boston
Ọjọ́ Ajé	Maandag
Oṣù Kínní	Januari
Oṣù Kejì	Februari
Oṣù Kẹta	Maart
Mársì	Mars (planeet)
Kẹ́nyà	Kenia
Ethiópíà	Ethiopië
Ghánà	Ghana
Oṣù Kẹrin	April
Oṣù Kàrún	Mei
Oṣù Kẹfà	Juni
Oṣù Keje	Juli
Oṣù Kẹjọ	Augustus (maand)
Oṣù Kẹ̀sán	September
Oṣù Kẹ̀wá	Oktober
Oṣù Kọkànlá	November
Oṣù Kejìlá	December
Ọjọ́ Ìsẹ́gun	Dinsdag
Ọjọ́rú	Woensdag
Ọjọ́bọ̀	Donderdag
Ọjọ́ Ẹtì	Vrijdag
Ọjọ́ Àbámẹ́ta	Zaterdag
Ọjọ́ Àìkú	Zondag
Kìnìún	Leeuw (dier)
Fránsì	Frankrijk
Èdè Esperanto	Esperanto
Ajá	Hond
Ilẹ̀ọba Aṣọ̀kan	Verenigd Koninkrijk
Ológbò	Kat (dier)
Orílẹ̀-èdè Olómìnira àwọn Ará ilẹ̀ Ṣáínà	Volksrepubliek China
Èdè Faransé	Frans
Brasil	Brazilië
Ọtí	Alcohol (stofklasse)
François Hollande	François Hollande
Rọ́síà	Rusland
Alọ́poméjì	Vierkant (meetkunde)
Òkun Dúdú	Zwarte Zee
Pi	Pi (wiskunde)
Wiki	Wiki
Toronto	Toronto
Ìpínlẹ̀ Alabama	Alabama
São Paulo	São Paulo (stad)
Sao Paulo (ìpínlẹ̀)	São Paulo (staat)
Wikimedia	Wikimedia Foundation
Jẹ́mánì	Duitsland
Bẹ̀lárùs	Wit-Rusland
Il Canto degli Italiani	Il Canto degli Italiani
Èdè Jẹ́mánì	Duits
Íslándì	IJsland
Ọlọ́run	God (monotheïsme)
Estóníà	Estland
David Cameron	David Cameron
Sátúrnù	Saturnus (planeet)
Ọkọ̀ òfurufú	Vliegtuig
Ogun	Oorlog
1 (nọ́mbà)	1 (getal)
2 (nọ́mbà)	2 (getal)
3 (nọ́mbà)	3 (getal)
4 (nọ́mbà)	4 (getal)
5 (nọ́mbà)	5 (getal)
0 (nọ́mbà)	0 (getal)
Stephen Harper	Stephen Harper
George Walker Bush	George W. Bush
Látfíà	Letland
Ukréìn	Oekraïne
Tsẹ́kì Olómìnira	Tsjechië
Slofákíà	Slowakije
Sloféníà	Slovenië
Filnius	Vilnius
Móldófà	Moldavië (land)
Románíà	Roemenië
Bùlgáríà	Bulgarije
Rómù	Rome (stad)
Orílẹ̀-èdè Olómìnira ilẹ̀ Makẹdóníà	Macedonië (land)
Albáníà	Albanië
Grínlándì	Groenland
Kroatíà	Kroatië
Bósníà àti Hẹrjẹgòfínà	Bosnië en Herzegovina
Nuuk	Nuuk
Azerbaijan	Azerbeidzjan
Àndórà	Andorra
Kíprù	Cyprus
Georgia	Georgië
Kàsàkstán	Kazachstan
Máltà	Malta (land)
Mónakò	Monaco
Montenẹ́grò	Montenegro
Ìlú Fatikan	Vaticaanstad
San Màrínò	San Marino
Kúbà	Cuba (land)
Bẹ̀lísè	Belize (land)
Bárbádọ̀s	Barbados
Indonésíà	Indonesië
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Èdè Túrkì	Turks
Gúúsù Áfríkà	Zuid-Afrika
Àlgéríà	Algerije
Wikisource	Wikisource
Ùsbẹ̀kìstán	Oezbekistan
Tashkent	Tasjkent
Warsaw	Warschau
Omi	Water
Tẹlifísàn	Televisie
Claude Monet	Claude Monet
Diego Velázquez	Diego Velázquez (kunstschilder)
Tsílè	Chili
Jésù	Jezus (traditioneel-christelijk)
Elvis Presley	Elvis Presley
Sebastián Piñera	Sebastián Piñera
Galileo Galilei	Galileo Galilei
Mẹ́rkúríù (plánẹ̀tì)	Mercurius (planeet)
Ìtàn	Geschiedenis
Apple Inc.	Apple Inc.
Àgùàlà	Venus (planeet)
Èdè	Taal
Júpítérì	Jupiter (planeet)
Michelle Bachelet	Michelle Bachelet
Úránù	Uranus (planeet)
Eduardo Frei Ruiz-Tagle	Eduardo Frei Ruiz-Tagle
Nicolas Sarkozy	Nicolas Sarkozy
Ricardo Lagos	Ricardo Lagos
Nẹ́ptúnù	Neptunus (planeet)
Ìtòràwọ̀	Astronomie
Singapore	Singapore
Patricio Aylwin	Patricio Aylwin
Sáyẹ́nsì	Wetenschap
Plùtò	Pluto (dwergplaneet)
Màríà (ìyá Jésù)	Maria (moeder van Jezus)
Louis 9k ilẹ̀ Fránsì	Lodewijk IX van Frankrijk
Líktẹ́nstáìnì	Liechtenstein
Adolf Hitler	Adolf Hitler
Ogun Àgbáyé Kìíní	Eerste Wereldoorlog
Ogun Àgbáyé Ẹlẹ́ẹ̀kejì	Tweede Wereldoorlog
Ìwàìbàjẹ́	Corruptie
Augusto Pinochet	Augusto Pinochet
Skopje	Skopje
Bob Dylan	Bob Dylan
Mathimátíkì	Wiskunde
Èdè Látìnì	Latijn
Báháráìnì	Bahrein
Arméníà	Armenië
Bósónì Higgs	Higgsboson
Sérbíà	Servië
Òṣùpá	Maan
Istanbul	Istanboel
Austrálíà	Australië (land)
Bob Marley	Bob Marley
Físíksì	Natuurkunde
Argẹntínà	Argentinië
Ìbánisọ̀rọ̀-ọ̀ọ́kán	Telecommunicatie
Perú	Peru
Kòréà Àríwá	Noord-Korea
Kàmbódíà	Cambodja
Kùránì	Koran
Ìmàle	Islam
Ljubljana	Ljubljana
Salvador Allende	Salvador Allende
Lech Wałęsa	Lech Wałęsa
Ìṣọ̀kan Europe	Europese Unie
Obìnrin	Vrouw
Sofia	Sofia (stad)
Eduardo Frei Montalva	Eduardo Frei Montalva
Ewì	Poëzie
Ọ̀gẹ̀dẹ̀	Banaan (vrucht)
Émile Zola	Émile Zola
666	666
Ìlú	Stad
Napoleon Bonaparte	Napoleon Bonaparte
Ìràwọ̀	Ster (hemellichaam)
Òrùn	Zon
Louis Pasteur	Louis Pasteur
Victor Hugo	Victor Hugo
Oṣéáníà	Oceanië
