Africa	Afrika
Carolus Sagan	Carl Sagan
Nomisma Quadrangulum a Pioneer	Gouden plaat (Pioneerprogramma)
Physica	Natuurkunde
Argentina	Argentinië
Silbus Gomerensis	Silbo
Telecommunicatio	Telecommunicatie
Peruvia	Peru
Biologia	Biologie
Res volans ignota	Unidentified flying object
Respublica Popularis Democratica Coreana	Noord-Korea
Cambosia	Cambodja
Iura animalium	Dierenrechten
Zona Kuiperi	Kuipergordel
Alcoranus	Koran
Dinosauria	Dinosauriërs
Zoologia	Zoölogie
Religio Islamica	Islam
Pyrus	Peer (plant)
Bibliotheca Alexandrina	Bibliotheek van Alexandrië
Aemona	Ljubljana
Salvator Allende	Salvador Allende
Botanice	Plantkunde
Naturalis historia (Plinius)	Naturalis historia
Ich bin ein Berliner	Ich bin ein Berliner
Lechus Wałęsa	Lech Wałęsa
Rota	Wiel (voortbeweging)
Encyclopédie	Encyclopédie
Dionysius Diderotus	Denis Diderot
Georgius Brassens	Georges Brassens
Mens	Geest
Pax	Vrede
Encyclopaedia Britannica	Encyclopædia Britannica
Lugdunum	Lyon
Pinciacum	Poissy
Unio Europaea	Europese Unie
Philippopolis	Plovdiv (stad)
Internet Archive	Internet Archive
Star Wars	Star Wars
Rhodanus et Alpes	Rhône-Alpes
Tela totius terrae	Wereldwijd web
Mulier	Vrouw
Memex	Memex
Serdica	Sofia (stad)
Aquae ductus	Aquaduct (watergang)
Eduardus Frei Montalva	Eduardo Frei Montalva
Ñ	Ñ
Dervalum	Derval
Dominus Quixotus a Manica	Don Quichot (boek)
Poësis	Poëzie
Virus informaticum	Computervirus
Mediolanum	Milaan (stad)
Memoria	Geheugen (psychologie)
Arthurus Rimbaud	Arthur Rimbaud
Augusta Taurinorum	Turijn (stad)
Faeces	Ontlasting
Anus (anatomia)	Anus (anatomie)
Axilla	Oksel
Limon	Citroen (vrucht)
Carolus Baudelaire	Charles Baudelaire
Stendhal	Stendhal
Musa (fructus)	Banaan (vrucht)
Aemilius Zola	Émile Zola
666	666
Flos	Bloem (plant)
Googol	Googol
Googolplex	Googolplex
Fossa Mariana	Marianentrog
Vladimirus Vysockij	Vladimir Vysotski
Everestius mons	Mount Everest
Anatomia	Anatomie
Urbs	Stad
Napoleo I (imperator Franciae)	Napoleon Bonaparte
Olympus mons (Mars)	Olympus Mons
Physiologia	Fysiologie
Stella	Ster (hemellichaam)
Vesuvius	Vesuvius (vulkaan)
Sol	Zon
Caelum	Hemelgewelf
Ludovicus Pasteur	Louis Pasteur
Annus luce mensus	Lichtjaar
Oppidulum	Dorp
Victor Hugo	Victor Hugo
Oceania	Oceanië
Iosephus Garibaldi	Giuseppe Garibaldi
Urbs Vetus	Orvieto
Ludus gymnicus campestris	Atletiek
Censura	Censuur (informatie)
Systema solare	Zonnestelsel
Balticum mare	Oostzee
Tergeste	Triëst (stad)
Vistula	Wisła (rivier)
Campi Elysii (via)	Avenue des Champs-Élysées
Viadrus	Oder
Dens	Tand
Hydrogenium	Waterstof (element)
Helium	Helium
Infernus	Hel (mythologie)
Vicimedia Communia	Wikimedia Commons
Angela Merkel	Angela Merkel
Lithium	Lithium (element)
Beryllium	Beryllium
Megaphonum	Luidspreker
Liber	Boek (document)
Dies	Dag
Timoria Orientalis	Oost-Timor
Nox	Nacht
Annus	Jaar
Saeculum	Eeuw
Carolus Ibáñez del Campo	Carlos Ibáñez del Campo
Lodzia	Łódź (stad)
Canegratum	Canegrate
Rupes Alba	Mont Blanc
Rhenus	Rijn
Asloa	Oslo
Bonna	Bonn
Sollemnitas Omnium Sanctorum	Allerheiligen
Katovicum	Katowice
Gurges ater	Zwart gat
Ludovicus Camonius	Luís de Camões
Ceres (planetula)	Ceres (dwergplaneet)
Olisipo	Lissabon
Resovia	Rzeszów
Ichiro Suzuki	Ichiro Suzuki
Haumea (planetula)	Haumea
Rhodanus	Rhône (rivier)
Makemake (planetula)	Makemake
Michael Bloomberg	Michael Bloomberg
Iona (Ebudes)	Iona (eiland)
Eris (planetula)	Eris (dwergplaneet)
Dubai	Dubai (emiraat)
Leonillus Messi	Lionel Messi
Patavium	Padua (stad)
Borium	Boor (element)
Nicolaus Copernicus	Nicolaas Copernicus
Versaliae	Versailles
Ludoviciburgum	Ludwigsburg (stad)
Carbonium	Koolstof
Alexander Del Piero	Alessandro Del Piero
Rha	Wolga
Nitrogenium	Stikstof (element)
Bergomum	Bergamo (stad)
Oxygenium	Zuurstof (element)
FC Internazionale Milano	FC Internazionale Milano
Ioannes Moulin	Jean Moulin
Neil Young	Neil Young
Planeta	Planeet
Cleopatra VII (regina Aegypti)	Cleopatra VII
Musica	Muziek
Venetiae	Venetië (stad)
Naruto	Naruto (manga)
Padus	Po (rivier)
Neva	Neva
Thermometrum	Thermometer
Condate Redonum	Rennes
Insula (Francia)	Rijsel
Moscua	Moskou
Fluor	Fluor (element)
Lingua Italiana	Italiaans (taal)
Neon	Neon (element)
Chihuahua	Chihuahua (staat)
Petropolis	Sint-Petersburg
Tzadia	Tsjaad
Natrium	Natrium
Septentrio (plaga)	Noord (windstreek)
Magnesium	Magnesium
Neon Genesis Evangelion	Neon Genesis Evangelion
Aluminium	Aluminium
Nova Zelandia	Nieuw-Zeeland
Meridies	Zuid
India	India
Silicium	Silicium
Francium	Francium
Tuvalu	Tuvalu
One Piece	One Piece
Phosphorus	Fosfor
Andreas Maria Ampère	André-Marie Ampère
Prosa	Proza
Ferrum	IJzer (element)
Tonga	Tonga (land)
Occidens	West
Alexander Volta	Alessandro Volta
Sulphur	Zwavel
Samoa	Samoa
Oriens	Oost (windstreek)
Insulae Salomonis	Salomonseilanden
Vanuatu	Vanuatu
Molière	Molière (schrijver)
Chlorum	Chloor (element)
Delphi (urbs Bataviae)	Delft
Papua Nova Guinea	Papoea-Nieuw-Guinea
Gulielmus Shakesperius	William Shakespeare
Fabula	Fabel
Hollandia Australis	Zuid-Holland
Belavia	Palau (land)
Argon	Argon
Nauru	Nauru
Mozilla Firefox	Mozilla Firefox
Hollandia Septentrionalis	Noord-Holland
Civitates Foederatae Micronesiae	Micronesia
Kalium	Kalium
Zelandia	Zeeland (provincie)
Calcium	Calcium
Flevolandia	Flevoland
Plumbum	Lood (element)
Insulae Marsalienses	Marshalleilanden
Kiribati	Kiribati
Mongolia	Mongolië
Viti	Fiji
Scandium	Scandium
Stevie Wonder	Stevie Wonder
Hailprunna	Heilbronn (stad)
Titanium	Titanium
Venetiola	Venezuela
Scacci	Schaken
Saginava	Saginaw (Michigan)
Cingischam	Dzjengis Khan
Vanadium	Vanadium
Cenomannica	Maine
Chromium	Chroom (element)
Equus caballus	Paard (dier)
Amstelodamum	Amsterdam
Arma	Gevechtswapen
Animalia	Dierenrijk
Surinamia	Suriname
Manganum	Mangaan
Paraquaria	Paraguay
Guiana	Guyana
Ars	Kunst
Aequatoria	Ecuador
Rhenium	Renium
Columbia	Colombia
Cobaltum	Kobalt
Ioannes Racine	Jean Racine
Wolframium	Wolfraam
Niccolum	Nikkel
Fragaria	Aardbei
Petrus Corneille	Pierre Corneille
Buddhismus	Boeddhisme
Groninga (urbs)	Groningen (stad)
Bolivia	Bolivia
Osmium	Osmium
Groninga (provincia)	Groningen (provincie)
Cuprum	Koper (element)
Trinitas et Tabacum	Trinidad en Tobago
Plantae	Planten
Sanctus Vincentius et Granatinae	Saint Vincent en de Grenadines
Zincum	Zink (element)
Nova Hantonia	New Hampshire
Sancta Lucia (civitas)	Saint Lucia
Leonardus Vincius	Leonardo da Vinci
Sanctus Christophorus et Nives	Saint Kitts en Nevis
Fungi	Schimmels
Darius Fo	Dario Fo
Iamaica	Jamaica
Stephanus Mallarmé	Stéphane Mallarmé
Fanum Sancti Petri Brattiae	Supetar
Granata (civitas Caribica)	Grenada
Frisia (provincia)	Friesland
Massachusetta	Massachusetts
Drenthia	Drenthe
Transisalania	Overijssel
Guatimalia	Guatemala
Geldria	Gelderland
Traiectum ad Rhenum (provincia)	Utrecht (provincie)
Insulae Bahamenses	Bahama's
Connecticuta	Connecticut
Gallus	Kip (vogel)
Antiqua et Barbuda	Antigua en Barbuda
Havaii (civitas)	Hawaï
Honduria	Honduras
Dominica (civitas)	Dominica
Caesarea Insula	Jersey (eiland)
Respublica Dominicana	Dominicaanse Republiek
Porcus	Varken (tam)
Oceanus Arcticus	Noordelijke IJszee
Haiti	Haïti
Taumata­whakatangihanga­koauau­o­tamatea­turi­pukakapiki­maunga­horo­nuku­pokai­whenua­kitanatahu	Taumata­whakatangihanga­koauau­o­tamatea­pokai­whenua­ki­tana­tahu
Salvatoria	El Salvador
Svolla	Zwolle
Irania	Iran
Iracum	Irak
Alasca	Alaska
Assen	Assen
Sapientia	Wijsheid (deugd)
Costarica	Costa Rica
Israël	Israël
Traiectum ad Rhenum	Utrecht (stad)
Panama	Panama (land)
Iemenia	Jemen
Lausanna	Lausanne (stad)
Virus biologicum	Virus (biologie)
Lingua Polonica	Pools
Iordania	Jordanië
Nicaragua	Nicaragua
Florida	Florida (staat)
Chirgisia	Kirgizië
Arizona	Arizona (staat)
Cuvaitum	Koeweit
Laotia	Laos
Libanus	Libanon
Oregonia	Oregon
Insulae Maldivae	Maldiven
America	Amerika (continent)
Uta	Utah
Bos taurus	Rund
Malaesia	Maleisië
Valesia	Wallis (kanton)
Michael Bulgakov	Michail Boelgakov
Birmania	Myanmar
Nepalia	Nepal
Omania	Oman
Pakistania	Pakistan
Iacobus Bond	James Bond
Quataria	Qatar
Teniludus	Tennis
Franciscus Villon	François Villon
Arabia Saudiana	Saoedi-Arabië
Andreas Tarkovskij	Andrej Tarkovski
Taprobane	Sri Lanka
Iosephus Stalin	Jozef Stalin
Syria	Syrië
Plato	Plato
Gallium	Gallium
Iosephus Brodskij	Joseph Brodsky
Tadzikistania	Tadzjikistan
Pokémon	Pokémon
Res publica Sinarum	Taiwan
YouTube	YouTube
Germanium	Germanium
Aristoteles	Aristoteles
Thailandia	Thailand
Tramen	Trein
Arsenicum	Arseen
Radiophonia	Radio
Maria Ludovica Streep	Meryl Streep
Turcomannia	Turkmenistan
Selenium	Seleen
Iridium	Iridium (element)
Phylarchiarum Arabicarum Confoederatio	Verenigde Arabische Emiraten
Bromum	Broom (element)
Platinum	Platina
Vietnamia	Vietnam
Carolus Chaplin	Charlie Chaplin
Novosibirscum	Novosibirsk
Respublica Coreana	Zuid-Korea
Iosephus Piłsudski	Józef Piłsudski
The Simpsons	The Simpsons
Catharinopolis	Jekaterinenburg
Krypton	Krypton (element)
Afgania	Afghanistan
Gangnam Style	Gangnam Style
Novogardia Inferior	Nizjni Novgorod
Iohannes Raginualdus Raguel Tolkien	J.R.R. Tolkien
Limonata	Limonade (drank)
Samara (Russia)	Samara (stad)
Rubidium	Rubidium
Aurum	Goud
Omium	Omsk
Canalis Suesiensis	Suezkanaal
Casanum	Kazan (stad)
Bangladesha	Bangladesh
Bleach (manga)	Bleach (manga)
Franciscus Kafka	Franz Kafka
Celiabinsca	Tsjeljabinsk
Rostovia ad Tanaim	Rostov aan de Don
Georgius Ludovicus Borges	Jorge Luis Borges
Ufa	Oefa
Malium	Mali
Socrates	Socrates (filosoof)
Volgogradum	Wolgograd
Angolia	Angola
Permia	Perm (stad)
Butania	Bhutan
Twitter	Twitter
Crasnoiarium	Krasnojarsk
Bruneium	Brunei
Bretia	Brač
Tanzania	Tanzania
Hydrargyrum	Kwik
Rodoaldus Amundsen	Roald Amundsen
Henricus Mulisch	Harry Mulisch
Philippinae	Filipijnen
Respublica Africae Mediae	Centraal-Afrikaanse Republiek
Thallium	Thallium
Polus Australis	Zuidpool
Polus arcticus	Noordpool
Isaacus Newtonus	Isaac Newton
Albertus Einstein	Albert Einstein
Strontium	Strontium
Petrus I (imperator Brasiliae)	Peter I van Brazilië
Yttrium	Yttrium
Bisemutum	Bismut
Gilvus	Geel (kleur)
Mechanica quantica	Kwantummechanica
Togum	Togo
Donaldus Tusk	Donald Tusk
Tunesia	Tunesië
Ioannes Bardeen	John Bardeen
Regiolum	Reggiolo
Zambia	Zambia
Zimbabua	Zimbabwe
Pechinum	Peking
Sudania Australis	Zuid-Soedan
Vladivostokium	Vladivostok
Tuva	Toeva
Beninum	Benin
Botswana	Botswana
Vicinuntii	Wikinews
Burkina Faso	Burkina Faso
Burundia	Burundi
Varburgum Vestphalorum	Warburg
Insulae Comorianae	Comoren
Respublica Congensis	Congo-Brazzaville
Obius	Ob (rivier)
Res publica democratica Congensis	Congo-Kinshasa
Sanctus Antonius (Texia)	San Antonio (Texas)
Tomium (urbs)	Tomsk
Gibutum	Djibouti (land)
Memum	Meme (memetica)
Polonium	Polonium
Bavaria	Beieren
Guinea Aequinoctialis	Equatoriaal-Guinea
Badenia-Virtembergia	Baden-Württemberg
Erythraea	Eritrea
Dellium Novum	New Delhi
Ioannes Paulus II	Paus Johannes Paulus II
Theodorus Dostoevskij	Fjodor Dostojevski
Camtschatca	Kamtsjatka (schiereiland)
Tiphlis	Tbilisi
Andreas Sacharov	Andrej Sacharov
Infantulus	Baby
Astatinum	Astaat
Gabon	Gabon
Mahatma Gandhi	Mohandas Karamchand Gandhi
Narratio picta	Stripverhaal
Gambia	Gambia (land)
Guinea	Guinee
Guinea Bissaviensis	Guinee-Bissau
Litus Eburneum	Ivoorkust
Cameronia	Kameroen
Marburgum (Slovenia)	Maribor
Res publica Capitis Viridis	Kaapverdië
Celeia	Celje
Lesothum	Lesotho
Liberia	Liberia
Iustinopolis	Koper (Slovenië)
Libya	Libië
Aquisgranum	Aken (stad)
Goritia Nova	Nova Gorica
Madagascaria	Madagaskar
Malavium	Malawi
Carnioburgum	Kranj
Stutgardia	Stuttgart
Mauritania	Mauritanië
Poloni	Polen (volk)
Mauritia	Mauritius (land)
Marocum	Marokko
Mozambicum	Mozambique
Namibia	Namibië
Franciscus Preseren	France Prešeren
Res publica Nigritana	Niger (land)
Nigeria	Nigeria
Belna (Helvetia)	Biel/Bienne
Carolus Darwinius	Charles Darwin
Uganda	Oeganda
Ruanda	Rwanda
Zirconium	Zirkonium
Insulae Sancti Thomae et Principis	Sao Tomé en Principe
Carolsruha	Karlsruhe (stad)
Senegalia	Senegal
Insulae Seisellenses	Seychellen
Carolus Linnaeus	Carolus Linnaeus
Mons Leoninus	Sierra Leone
Somalia	Somalië
Niobium	Niobium
Jawaharlal Nehru	Jawaharlal Nehru
Gaius Iulius Caesar	Julius Caesar
Sudania	Soedan
Swazia	Swaziland
Caelestis arcus	Regenboog (optica)
Molybdenum	Molybdeen
Technetium	Technetium
Hamburgum	Hamburg
Italus Balbo	Italo Balbo
Metabolismus	Stofwisseling
Narendra Modi	Narendra Modi
Systema immunitatis	Immuunsysteem
Guzarata	Gujarat
Andiatrocus Lacus	Ontariomeer
Evolutio	Evolutie (biologie)
Alexander Manzoni	Alessandro Manzoni
Nationes Unitae	Verenigde Naties
Lacus Superior	Bovenmeer
Dantes Alagherius	Dante Alighieri
Hamburg-Wilhelmsburg	Hamburg-Wilhelmsburg
Geologia	Geologie
Amedebatum	Ahmedabad (stad)
Geographia	Aardrijkskunde
Cor	Hart
Cerebrum	Hersenen
Cutis	Huid
Color	Kleur
Breaking Bad	Breaking Bad
Salernum	Salerno (stad)
Nomen substantivum	Zelfstandig naamwoord
Praga	Praag
Ruthenium	Ruthenium
Rhodium	Rhodium
Caeruleus	Blauw (kleur)
Palladium	Palladium (element)
Argentum	Zilver
Cadmium	Cadmium
Star Trek	Star Trek
Limburgum (provincia Nederlandica)	Limburg (Nederland)
Indium	Indium
Limburgum (provincia Belgica)	Limburg (Belgische provincie)
Stannum	Tin (element)
Statio principalis Berolinensis	Berlin Hauptbahnhof
Uranium	Uranium
Stibium	Antimoon
Tellurium	Telluur
Plutonium	Plutonium
Iodum	Jodium (element)
Neptunium	Neptunium
Xenon	Xenon
Anime	Anime
Caesium	Cesium
Protactinium	Protactinium
Foederatio Unitatis Planetarum	Verenigde Federatie van Planeten
Onus electricum	Elektrische lading
Barium (elementum)	Barium
Flandria Occidentalis	West-Vlaanderen
Flandria Orientalis	Oost-Vlaanderen
Thorium	Thorium
Antverpia (provincia)	Antwerpen (provincie)
Brabantia Flandrensis	Vlaams-Brabant
Hafnium	Hafnium
Actinium	Actinium
Tantalum	Tantaal
Gulielmus Clinton	Bill Clinton
Namurcum (provincia)	Namen (provincie)
Luxemburgum (provincia Belgica)	Luxemburg (provincie)
Radium	Radium
Hannonia	Henegouwen
Radon	Radon (element)
Lotharingia	Lotharingen (Frankrijk)
Alsatia	Elzas
Ioannes Philippus Rameau	Jean-Philippe Rameau
Hamburg-Winterhude	Hamburg-Winterhude
Indira Gandhi	Indira Gandhi
Mercurius (deus)	Mercurius (mythologie)
Hector Berlioz	Hector Berlioz
Arvernia	Auvergne
Bustum Arsitium	Busto Arsizio
Mumbai	Bombay
Andhra Pradesa	Andhra Pradesh
Arunacala Pradesa	Arunachal Pradesh
Asama	Assam
Bihara	Bihar
Michigania	Michigan
Chattisagarha	Chhattisgarh
Lacus Michiganus	Michiganmeer
Goa	Goa (India)
Burgundia (regio Franciae)	Bourgondië (regio)
Hariyana	Haryana
Himacala Pradesa	Himachal Pradesh
Mauricius Ravel	Maurice Ravel
Aquitania (regio Franciae)	Aquitanië
Jammu et Casmiria	Jammu en Kasjmir (staat)
Portus Dives	Puerto Rico
Jharakhanda	Jharkhand
Carnatica	Karnataka
Malabaria	Kerala
Madhya Pradesa	Madhya Pradesh
Usain Bolt	Usain Bolt
Lemovicensis (regio Franciae)	Limousin
Maharastra	Maharashtra
Ioannes Baptista Lully	Jean-Baptiste Lully
Manipura	Manipur
Slesvicum-Holsatia	Sleeswijk-Holstein
Meghalaya	Meghalaya
Megapolis-Pomerania Citerior	Mecklenburg-Voor-Pommeren
Saxonia Inferior	Nedersaksen
Rhenania Septentrionalis-Vestfalia	Noordrijn-Westfalen
Hassia	Hessen
Rhenania-Palatinatus	Rijnland-Palts
Saravia	Saarland
Saxonia	Saksen (deelstaat)
Ioannes Lennon	John Lennon
Illinoesia	Illinois (staat)
Thuringia	Thüringen (deelstaat)
Saxonia-Anhaltium	Saksen-Anhalt
Dacota Septentrionalis	North Dakota
Brandenburgum	Brandenburg (deelstaat)
Urbs Hanseatica Brema	Vrije Hanzestad Bremen
Langobardia	Lombardije
Dacota Meridiana	South Dakota
Montana	Montana (staat)
Vyomina	Wyoming
Pedemontium	Piëmont
Hierosolyma	Jeruzalem
Georgius Napolitano	Giorgio Napolitano
Idahum	Idaho
Vallis Augustana	Valle d'Aosta
Vasingtonia	Washington (staat)
Carolus Azelius Ciampi	Carlo Azeglio Ciampi
Bruce Springsteen	Bruce Springsteen
Rutherfordium	Rutherfordium
Nivata	Nevada (staat)
Anscharius Aloisius Scalfaro	Oscar Luigi Scalfaro
