Saot Amerika	Zuid-Amerika
Norway	Noorwegen
Ireland	Ierland (land)
Hungary	Hongarije
Spain	Spanje
Yunaeted Stet blong Amerika	Verenigde Staten
Belgium	België
Luxembourg	Luxemburg (land)
Finland	Finland
Sweden	Zweden
Denmark	Denemarken
Poland	Polen
Litwania	Litouwen
Itali	Italië
Switzerland	Zwitserland
Austria	Oostenrijk
Greece	Griekenland
Turkey	Turkije
Portugal	Portugal
Yurop	Europa (werelddeel)
Esia	Azië
Wikipedia	Wikipedia
Netherlands	Nederland
Berlin	Berlijn
Barak Obama	Barack Obama
Uruguay	Uruguay
London	Londen
Paris	Parijs
Mexico	Mexico (land)
Pasifik	Grote Oceaan
Kalifornia	Californië
Boston, Massachusetts	Boston
Franis	Frankrijk
Unaeted Kingdom	Verenigd Koninkrijk
China	Volksrepubliek China
Brazil	Brazilië
Rusia	Rusland
Alabama	Alabama
Germany	Duitsland
Belarus	Wit-Rusland
Iceland	IJsland
Estonia	Estland
David Cameron	David Cameron
Wan	1 (getal)
Tu	2 (getal)
Tri	3 (getal)
Fo	4 (getal)
Faef	5 (getal)
Latvia	Letland
Ukraine	Oekraïne
Czechia	Tsjechië
Slovakia	Slowakije
Slovenia	Slovenië
Vilnius	Vilnius
Moldova	Moldavië (land)
Romania	Roemenië
Bulgaria	Bulgarije
Rome	Rome (stad)
Macedonia	Macedonië (land)
Albania	Albanië
Croatia	Kroatië
Bosnia and Herzegovina	Bosnië en Herzegovina
Azerbaijan	Azerbeidzjan
Andorra	Andorra
Cyprus	Cyprus
Georgian Republic	Georgië
Kazakhstan	Kazachstan
Malta	Malta (land)
Monaco	Monaco
Montenegro	Montenegro
Vatican Siti	Vaticaanstad
San Marino	San Marino
Indonesia	Indonesië
Warsaw	Warschau
Wota	Water
Chile	Chili
Jisas Kraes	Jezus (traditioneel-christelijk)
Nicolas Sarkozy	Nicolas Sarkozy
Singapore	Singapore
Saens	Wetenschap
Liechtenstein	Liechtenstein
Spot	Sport
Wol Wo Tu	Tweede Wereldoorlog
Armenia	Armenië
Serbia	Servië
Ostrelia	Australië (land)
Argentina	Argentinië
Peru	Peru
Baeoloji	Biologie
Islam	Islam
Boteni	Plantkunde
Flaoa	Bloem (plant)
Wikimidia Commons	Wikimedia Commons
Moskow	Moskou
San-Peterburg	Sint-Petersburg
Niu Zilan	Nieuw-Zeeland
India	India
Aean	IJzer (element)
Ripablik blong Vanuatu	Vanuatu
Papua New Guinea	Papoea-Nieuw-Guinea
Venezuela	Venezuela
Maine	Maine
Animol	Dierenrijk
Paraguay	Paraguay
Colombia	Colombia
Budisim	Boeddhisme
Bolivia	Bolivia
Niu Hampshire	New Hampshire
Massachusetts	Massachusetts
Connecticut	Connecticut
Hawaii	Hawaï
Alaska	Alaska
Florida	Florida (staat)
Arizona	Arizona (staat)
Laos	Laos
Oregon	Oregon
Yuta	Utah
Burma	Myanmar
Vietnam	Vietnam
Saot Koria	Zuid-Korea
Bangladesh	Bangladesh
Bhutan	Bhutan
Twitter	Twitter
Julius Caesar	Julius Caesar
Yunaeted Nesen	Verenigde Naties
Jiografi	Aardrijkskunde
Bren	Hersenen
Prague	Praag
Michigan	Michigan
Illinois	Illinois (staat)
Not Dakota	North Dakota
Saut Dakota	South Dakota
Montana	Montana (staat)
Wyoming	Wyoming
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Washington (Bundesstaat)	Washington (staat)
Nevada	Nevada (staat)
Colorado	Colorado (staat)
Delhi	Delhi (stad)
Virginia	Virginia (staat)
West Virginia	West Virginia
Niu York (Bundesstaat)	New York (staat)
Rhode Island	Rhode Island (staat)
Maryland	Maryland
Delaware	Delaware
Ohio	Ohio (staat)
Pennsylvania	Pennsylvania
Uetersen	Uetersen
Augustus	Imperator Caesar Augustus
Niu Yersey	New Jersey
Indiana	Indiana
Georgia	Georgia (staat)
Texas	Texas (staat)
Not Carolina	North Carolina
Saut Carolina	South Carolina
Barcelona	Barcelona (Spanje)
Mississippi	Mississippi (staat)
Tennessee	Tennessee
Niu Mexico	New Mexico
Minnesota	Minnesota
Caracas	Caracas
Wisconsin	Wisconsin
Iowa	Iowa (staat)
Nebraska	Nebraska
Kansas	Kansas (staat)
Hindi	Hindi
Missouri	Missouri (staat)
Louisiana	Louisiana (staat)
Kentucky	Kentucky
Arkansas	Arkansas (staat)
Oklahoma	Oklahoma
Vienna	Wenen
Stockholm	Stockholm
Wrocław	Wrocław
Baebol	Bijbel (christendom)
Ho Chi Minh City	Ho Chi Minhstad
Tru Jisas Jioj	Ware Jezuskerk
Andorra la Vella	Andorra la Vella
Dong Hoi	Đồng Hới
Concepción	Concepción (Chili)
Końskowola	Końskowola
Kurów	Kurów (powiat Puławski)
Kemistri	Scheikunde
Madrid	Madrid (stad)
Sydney	Sydney
Delmenhorst	Delmenhorst
Osasco	Osasco (Brazilië)
Curitiba	Curitiba (gemeente)
Confucius	Confucius
Category:Matematikis	Categorie:Wiskunde
Faroe aelan	Faeröer
Kristaniti	Christendom
Céline Dion	Céline Dion
Kontinen	Continent
Kapitol	Hoofdstad
Monzón	Monzón
Almazán	Almazán (gemeente)
Nambawan Pej	Hoofdpagina
Category:Candidates for speedy deletion	Categorie:Wikipedia:Nuweg
Kaontri	Land (geografie)
Indianapolis, Indiana	Indianapolis
Elmshorn	Elmshorn
Qin Shi Huang	Qin Shi Huangdi
Ae	Oog (anatomie)
Kamel	Kamelen
Obesin	Aubergine (plant)
Dakdak	Anatidae
Toktok Rusia	Russisch
Nelson Mandela	Nelson Mandela
Volkeno	Vulkaan
Bigwin	Tropische cycloon
Category:Franis	Categorie:Frankrijk
Kofi	Koffie
Seoul	Seoel
Toktok Ukraine	Oekraïens
Dipsi	Oceaan
Buddha	Gautama Boeddha
Muhammed	Mohammed
Martin Luther	Maarten Luther
Michael Schumacher	Michael Schumacher
Elisabet II	Elizabeth II van het Verenigd Koninkrijk
Ronald Reagan	Ronald Reagan
Fernando Alonso	Fernando Alonso
Gordon Brown	Gordon Brown
Category:Venezuela	Categorie:Venezuela
Lugo	Lugo (Spanje)
Category:Brazil	Categorie:Brazilië
Oktri	Eik
Kanal	Kanaal (waterweg)
Leji	Lychee
Kokonas	Kokospalm
Santiago de Compostela	Santiago de Compostella
Oviedo	Oviedo (stad)
Mérida	Mérida (Spanje)
Template:Link FA	Sjabloon:Link FA
Busan	Busan
Vermont	Vermont
Denver, Colorado	Denver
Phoenix, Arizona	Phoenix (Arizona)
Austin, Texas	Austin (Texas)
Columbus, Ohio	Columbus (Ohio)
Flaeg blong Rusia	Vlag van Rusland
Sacramento, Kalifornia	Sacramento (Californië)
Honolulu, Hawaii	Honolulu
Providence, Rhode Island	Providence (Rhode Island)
Naen	9 (getal)
Bien Hoa	Biên Hòa (stad)
Nha Trang	Nha Trang
Rafael Correa	Rafael Correa
Breinigerberg	Breinigerberg
Moai	Moai
Daejeon	Daejeon
Sejong	Sejong (stad)
Incheon	Incheon
Nashville, Tennessee	Nashville (Tennessee)
Sol Lek Siti	Salt Lake City
Seven	7 (getal)
Eit	8 (getal)
Lord's Prayer	Onzevader
Galik	Knoflook
Kukamba	Cucumis sativus
Sikis	6 (getal)
Moshchena	Mosjtsjena
Paltoga	Paltoga
Santiago de los Caballeros de Mérida	Mérida (Venezuela)
Atlanta, Georgia	Atlanta
Ten	10 (getal)
Albany, Niu York	Albany (New York)
Ca Mau	Cà Mau (stad)
Harrisburg, Pennsylvania	Harrisburg (Pennsylvania)
Da Lat	Đà Lạt
Phan Thiet	Phan Thiết
Hoknaet	Kerkuil
Antoni Gaudí	Antoni Gaudí
Trenton, Niu Yersey	Trenton (New Jersey)
Thai Nguyen	Thái Nguyên (stad)
Jefferson City, Missouri	Jefferson City (Missouri)
Jackson, Mississippi	Jackson (Mississippi)
Augusta, Maine	Augusta (Maine)
Baton Rouge, Louisiana	Baton Rouge
Lansing, Michigan	Lansing (Michigan)
Concord, New Hampshire	Concord (New Hampshire)
Lincoln, Nebraska	Lincoln (Nebraska)
Annapolis, Maryland	Annapolis (Maryland)
Springfield, Illinois	Springfield (Illinois)
Frankfort, Kentucky	Frankfort (Kentucky)
Saint Paul, Minnesota	Saint Paul (Minnesota)
Montgomery, Alabama	Montgomery (Alabama)
Juneau, Alaska	Juneau (Alaska)
Zhengzhou	Zhengzhou
Avril Lavigne	Avril Lavigne
Little Rock, Arkansas	Little Rock (Arkansas)
Buon Ma Thuot	Buôn Ma Thuột
Hartford, Connecticut	Hartford (Connecticut)
Dover, Delaware	Dover (Delaware)
Tok Pisin	Tok Pisin
Anastacia	Anastacia
Yufreres	Eufraat
Vinh Long	Vĩnh Long (Vĩnh Long)
Tequixquiac	Tequixquiac
Oklahoma City, Oklahoma	Oklahoma City
Bislama	Bislama
Boise, Idaho	Boise
Al Bayda	Al Bayda
Bambu	Bamboe
Thanh Hoa	Thanh Hóa (stad in Thanh Hóa)
Port Moresby	Port Moresby
Ben Tre	Bến Tre (stad)
Arancón	Arancón
Twelef	12 (getal)
Tallahassee, Florida	Tallahassee
Bismarck, Not Dakota	Bismarck (North Dakota)
Leven	11 (getal)
Avoka	Avocado
Cleveland, Ohio	Cleveland (Ohio)
John Calvin	Johannes Calvijn
Sint-Truiden	Sint-Truiden
Port Vila	Port Vila
Auckland Grammar School	Auckland Grammar School
Angers	Angers
Columbia, Saut Carolina	Columbia (South Carolina)
Santa Fe, Niu Mexico	Santa Fe (New Mexico)
Helena, Montana	Helena (Montana)
Des Moines, Iowa	Des Moines (Iowa)
Ágreda	Ágreda
Nawita	Octopoda
Pierre, Saut Dakota	Pierre (South Dakota)
Carson City, Nevada	Carson City (Nevada)
Topeka, Kansas	Topeka (Kansas)
Raleigh, Not Carolina	Raleigh (North Carolina)
Ulsan	Ulsan
Gwangju	Gwangju
Grepfrut	Grapefruit
Julia Gillard	Julia Gillard
Hamlet	Hamlet
Sebastian Vettel	Sebastian Vettel
Kevin Rudd	Kevin Rudd
Montehermoso	Montehermoso
Salem, Oregon	Salem (Oregon)
Josef Smit	Joseph Smith
Busan Stesen	Station Busan
Oganaesesen blong ol Leba Raonwol	Internationale Arbeidsorganisatie
Iolu Abil	Iolu Abil
Namba	Telwoord
Coronel Fabriciano	Coronel Fabriciano
Alla Pugacheva	Alla Poegatsjova
Flaeg blong Azerbaijan	Vlag van Azerbeidzjan
Sompiniong	Paddenstoel (schimmel)
Dziecinów	Dziecinów (powiat Otwocki)
Gdov	Gdov
Tenczynek	Tenczynek
Rudawa	Rudawa (Klein-Polen)
Blumak	Acanthurus lineatus
François Arago	François Arago
Memba Kaontri blong Unaeted Neisen	Lidstaten van de Verenigde Naties
Natanggura	Cycas revoluta
St Peter's College (Auckland)	St Peter's College Auckland
Alan García	Alan García
John Wycliffe	John Wyclif
Caltojar	Caltojar
God	God (algemeen)
Napoleong	Napoleonvis
Flaeg blong Vanuatu	Vlag van Vanuatu
