ఆఫ్రికా	Afrika
జపాన్	Japan
దక్షిణ అమెరికా	Zuid-Amerika
నార్వే	Noorwegen
ఇంగ్లాండు	Engeland
స్కాట్లాండ్	Schotland
వేల్స్	Wales
రిపబ్లిక్ ఆఫ్ ఐర్లాండ్	Ierland (land)
హంగేరి	Hongarije
స్పెయిన్	Spanje
అమెరికా సంయుక్త రాష్ట్రాలు	Verenigde Staten
బెల్జియం	België
విశ్వం	Heelal
భూమి	Aarde (planeet)
జీవం	Leven
మరణం	Dood
మానవుడు	Mens
సంతోషం	Geluk (emotie)
జార్జి వాషింగ్టన్	George Washington
టిమ్ బెర్నర్స్ లీ	Tim Berners-Lee
ఫిన్‌లాండ్	Finland
స్వీడన్	Zweden
డెన్మార్క్	Denemarken
పోలాండ్	Polen
లిథువేనియా	Litouwen
ఇటలీ	Italië
స్విట్జర్లాండ్	Zwitserland
ఆస్ట్రియా	Oostenrijk
గ్రీస్	Griekenland
టర్కీ	Turkije
బీరు	Bier
పోర్చుగల్	Portugal
ఐరోపా	Europa (werelddeel)
ఆసియా	Azië
ఉత్తర అమెరికా	Noord-Amerika
అంటార్కిటికా	Antarctica
వికీపీడియా	Wikipedia
నెదర్లాండ్స్	Nederland
శిశ్నము	Penis
పిహెచ్‌పి(PHP)	PHP
న్యూయార్క్	New York City
వాషింగ్టన్, డి.సి.	Washington D.C.
శాన్ ఫ్రాన్సిస్కో	San Francisco
బెర్లిన్	Berlijn
లాస్ ఏంజలెస్	Los Angeles
ఎయిర్‌బస్	Airbus
కంప్యూటర్	Computer
ఇంటర్నెట్	Internet
బరాక్ ఒబామా	Barack Obama
కంప్యూటర్ ప్రింటర్	Printer
మీడియావికీ	MediaWiki
లండన్	Londen
కైరో	Caïro (stad)
తలనొప్పి	Hoofdpijn
అలెగ్జాండ్రియా	Alexandrië
ఆపిల్	Appel (plant)
పారిస్	Parijs
అబ్రహం లింకన్	Abraham Lincoln
ఆండ్రాయిడ్	Android (besturingssysteem)
గూగుల్	Google Inc.
మెక్సికో	Mexico (land)
అట్లాంటిక్ మహాసముద్రం	Atlantische Oceaan
పసిఫిక్ మహాసముద్రం	Grote Oceaan
కాలిఫోర్నియా	Californië
బోస్టన్	Boston
సోమవారము	Maandag
అంతరిక్షం	Ruimte (natuurkunde)
జనవరి	Januari
ఫిబ్రవరి	Februari
మార్చి	Maart
అంగారకుడు	Mars (planeet)
కెన్యా	Kenia
ఇథియోపియా	Ethiopië
ఘనా	Ghana
ఏప్రిల్	April
మే	Mei
జూన్	Juni
జూలై	Juli
ఆగష్టు	Augustus (maand)
సెప్టెంబర్	September
అక్టోబర్	Oktober
నవంబర్	November
డిసెంబర్	December
మంగళవారము	Dinsdag
బుధవారము	Woensdag
గురువారము	Donderdag
శుక్రవారము	Vrijdag
శనివారము	Zaterdag
ఆదివారము	Zondag
సింహం	Leeuw (dier)
ఫ్రాన్స్	Frankrijk
కుక్క	Hond
యునైటెడ్ కింగ్‌డమ్	Verenigd Koninkrijk
పిల్లి	Kat (dier)
చైనా	Volksrepubliek China
ఫ్రెంచి భాష	Frans
చేప	Vissen (dieren)
బ్రెజిల్	Brazilië
ఆల్కహాలు	Alcohol (stofklasse)
రష్యా	Rusland
ఆప్టికల్ ఫైబర్	Optische vezel
సముద్రం	Zee
నల్ల సముద్రం	Zwarte Zee
పై	Pi (wiskunde)
వికీ	Wiki
టొరంటో	Toronto
అలబామా	Alabama
బోయింగ్ 747	Boeing 747
వికీమీడియా ఫౌండేషన్	Wikimedia Foundation
జిమ్మీ వేల్స్	Jimmy Wales
జర్మనీ	Duitsland
బెలారస్	Wit-Rusland
లారీ సాంగర్	Larry Sanger
జర్మన్ భాష	Duits
ఐస్‌లాండ్	IJsland
దేవుడు	God (monotheïsme)
ఎస్టోనియా	Estland
చాక్లెట్	Chocolade
విమానం	Vliegtuig
యుద్ధం	Oorlog
ఒకటి	1 (getal)
రెండు	2 (getal)
మూడు	3 (getal)
నాలుగు	4 (getal)
సున్న	0 (getal)
దీర్ఘ చతురస్రం	Rechthoek
లాట్వియా	Letland
ఉక్రెయిన్	Oekraïne
చెక్ రిపబ్లిక్	Tsjechië
స్లోవేనియా	Slovenië
మోల్డోవా	Moldavië (land)
రొమేనియా	Roemenië
బల్గేరియా	Bulgarije
రోమ్	Rome (stad)
మేసిడోనియా	Macedonië (land)
అల్బేనియా	Albanië
గ్రీన్‌లాండ్	Groenland
క్రొయేషియా	Kroatië
బోస్నియా మరియు హెర్జెగొవీనా	Bosnië en Herzegovina
అజర్‌బైజాన్	Azerbeidzjan
అండొర్రా	Andorra
సైప్రస్	Cyprus
జార్జియా (దేశం)	Georgië
కజకస్తాన్	Kazachstan
మొనాకో	Monaco
వాటికన్ నగరం	Vaticaanstad
క్యూబా	Cuba (land)
బెలిజ్	Belize (land)
ఈఫిల్ టవర్	Eiffeltoren
బార్బడోస్	Barbados
రాసబెర్రి పై	Raspberry Pi
వోక్స్ వాగన్	Volkswagen
ఇంటెల్ సంస్థ	Intel
కంప్యూటర్ కీబోర్డ్	Toetsenbord (computer)
జావా	Java (programmeertaal)
ఇండోనేషియా	Indonesië
మేండెల్‌బ్రాట్ సెట్	Mandelbrotverzameling
దక్షిణ ఆఫ్రికా	Zuid-Afrika
అల్జీరియా	Algerije
ఉజ్బెకిస్తాన్	Oezbekistan
