Afrik	Afrika
Damian Marley	Damian Marley
Stephen Wolfram	Stephen Wolfram
Raben Akiba	Rabbi Akiva
Neil deGrasse Tyson	Neil deGrasse Tyson
Semmy Schilt	Semmy Schilt
Boris Berezovsky	Boris Berezovski (zakenman)
William Oughtred	William Oughtred
Pye koton	Amerikaanse katoen
Bab panyòl	Spaans mos
Janne Rydberg	Johannes Rydberg
Kòkmòl	Physalis angulata
Chiyonofuji Mitsugu	Chiyonofuji Mitsugu
Giovanni Alfonso Borelli	Giovanni Borelli
Mouvman retwograd	Retrograad (astronomie)
Willem de Sitter	Willem de Sitter (wetenschapper)
Nguyen Du	Nguyễn Du
Jeff Gordon	Jeff Gordon
Alain Connes	Alain Connes
Ousmane Sembene	Ousmane Sembène
Frank Ramsey	Frank Ramsey
Etienne-Louis Malus	Etienne-Louis Malus
Stephen Smale	Stephen Smale
Laurent Lafforgue	Laurent Lafforgue
Theodore Maiman	Theodore Maiman
Thomas Harriot	Thomas Harriot
Jesse Douglas	Jesse Douglas
Peter Green	Peter Green (muzikant)
Israel Gelfand	Israel Gelfand
Lee Scratch Perry	Lee Perry
Jean-Robert Argand	Jean-Robert Argand
Joseph Wilson Swan	Joseph Swan
Andrei Okounkov	Andrej Okoenkov
Jean-Max Bellerive	Jean-Max Bellerive
John Charles Fields	John Charles Fields
Paul Painleve	Paul Painlevé
Joseph Louis François Bertrand	Joseph Bertrand
George Eugene Uhlenbeck	George Uhlenbeck
James Hopwood Jeans	James Jeans
Heraclides Ponticus	Heraclides Ponticus
Joplin, Missouri	Joplin (Missouri)
Vincenzo Viviani	Vincenzo Viviani
Paolo Ruffini	Paolo Ruffini
Henri Salvador	Henri Salvador
Michel Chasles	Michel Chasles
Scipione del Ferro	Scipione del Ferro
Jacopo Riccati	Jacopo Riccati
Babez for Breakfast	Babez for breakfast
Zile yo Roques	Islas Los Roques
Taihō Kōki	Taiho Koki
Militon	Chayote
Abernathy, Texas	Abernathy (Texas)
Sistèm izole	Geïsoleerd systeem
Lancaster, Pennsilvani	Lancaster (Pennsylvania)
Pocatello, Idaho	Pocatello
Abilene, Kansas	Abilene (Kansas)
Bwa savonèt	Zeepnotenboom
Abla (Almería)	Abla
Edward Waring	Edward Waring
Keenen Ivory Wayans	Keenen Ivory Wayans
John Maynard Smith	John Maynard Smith
Alpha Blondy	Alpha Blondy
Boniface Alexandre	Boniface Alexandre
William Kingdon Clifford	William Kingdon Clifford
Andre Weil	André Weil
Michel Rolle	Michel Rolle
Gaston Julia	Gaston Julia
Antoine Augustin Cournot	Antoine-Augustin Cournot
Loránd Eötvös	Loránd Eötvös
Osborne Reynolds	Osbourne Reynolds
Mr. Vegas	Mr. Vegas
George Green	George Green
Alan Guth	Alan Guth
Kip Stephen Thorne	Kip Thorne
Peter Lax	Peter Lax
Sergei Lvovich Sobolev	Sergej Sobolev
Nuruddin Farah	Nuruddin Farah
Simi Valley, Kalifòni	Simi Valley
Egzositoz	Exocytose
Fairfield, Kalifòni	Fairfield (Californië)
Mezodèm	Mesoderm
Sergei Vavilov	Sergej Vavilov
George Darwin	George Howard Darwin
Konstant iyonizasyon baz	Zuurconstante
Pavel Alexandrov	Pavel Aleksandrov
Grigory Margulis	Grigori Margoelis
Plymouth, Massachusetts	Plymouth (Massachusetts)
Arpad Elo	Arpad Elo
Laramie, Wyoming	Laramie
Shiing-Shen Chern	Shiing-Shen Chern
Algonquin, Ilinwa	Algonquin (Illinois)
Elk Grove Village, Ilinwa	Elk Grove Village
Clarksville, Tennessee	Clarksville (Tennessee)
Parkersburg (Vijini de Lwès)	Parkersburg (West Virginia)
Bouche	Slager (beroep)
Úbeda (Jaén)	Úbeda
Resi	Kwitantie
Abraham Pais	Bram Pais
Prineville, Oregon	Prineville
Abram Samoilovitch Besicovitch	Abram Besikovitsj
Schenectady, New York	Schenectady
Oak Park, Ilinwa	Oak Park (Illinois)
Michael Steele	Michael Steele
Andodèm	Endoderm
Absecon, New Jersey	Absecon
John Smith	John Smith (politicus)
Chimyosentèz	Chemosynthese
Elevasyon kontinantal	Continentale verheffing
Clatskanie, Oregon	Clatskanie
Loja (Grenad)	Loja (Spanje)
Michael Freedman	Michael Freedman
Enrico Bombieri	Enrico Bombieri
Desmond Dekker	Desmond Dekker
William Thurston	William Thurston
Curtis McMullen	Curtis McMullen
Klaus Roth	Klaus Roth
Sergei Petrovich Novikov	Sergej Novikov (wiskundige)
Richard Borcherds	Richard Borcherds
David Mumford	David Mumford
Pierre-Louis Lions	Pierre-Louis Lions
Simon Donaldson	Simon Donaldson
Madras, Oregon	Madras (Oregon)
Efim Zelmanov	Jefim Zelmanov
Solisyon sisatire	Oververzadigde oplossing
William Sealy Gosset	William Sealy Gosset
Shing-Tung Yau	Shing-Tung Yau
Newport News, Vijini	Newport News
Henry Briggs	Henry Briggs
Stephen Cole Kleene	Stephen Cole Kleene
Jacksonville, Oregon	Jacksonville (Oregon)
Dillsburg, Pennsilvani	Dillsburg
Hendersonville, Tennessee	Hendersonville (Tennessee)
Dlo ize	Afvalwater
Harrison, New Jersey	Harrison (New Jersey)
Thomas Simpson	Thomas Simpson
George Dantzig	George Dantzig
Paul Stern	Paul Stern
Habib Koité	Habib Koité
Albia, Iowa	Albia
North Chicago, Ilinwa	North Chicago
Holland, Indiana	Holland (Indiana)
York Springs, Pennsilvani	York Springs
Allan Joseph Champneys Cunningham	Allan Joseph Champneys Cunningham
Francis Robbins Upton	Francis Robbins Upton
Dedham, Iowa	Dedham (Iowa)
Bonneau, Kawolin disid	Bonneau
88 (nonm)	88 (getal)
Ackerly, Texas	Ackerly
Ackworth, Iowa	Ackworth (Iowa)
Hampton, Vijini	Hampton (Virginia)
Suffolk, Vijini	Suffolk (Virginia)
Portsmouth, Vijini	Portsmouth (Virginia)
Brizan	Breaker
Acworth, Georgie	Acworth
Ada, Oklahoma	Ada (Oklahoma)
Pat	Pat
Adairsville, Georgie	Adairsville
Adairville, Kentucky	Adairville
Poquoson, Vijini	Poquoson
Franklin, Vijini	Franklin (Virginia)
Adamstown, Pennsilvani	Adamstown (Pennsylvania)
Addison, Ilinwa	Addison (Illinois)
Addison, Texas	Addison (Texas)
Isadore Singer	Isadore Singer
Goro Shimura	Goro Shimura
Reggie Fils-Aime	Reggie Fils-Aime
Ernesto Cesàro	Ernesto Cesàro
John Edensor Littlewood	John Littlewood
Giovanni Battista Venturi	Giovanni Battista Venturi
Tullio Levi-Civita	Tullio Levi-Civita
Addyston, Ohio	Addyston
Gabriel Lame	Gabriel Lamé
Bill Chen	Bill Chen
Mikhail Gromov	Michail Gromov
Horace Andy	Horace Andy
Anri Kristòf	Hendrik I van Haïti
Aleksann Petyon	Alexandre Pétion
Adel, Georgie	Adel (Georgia)
Antoine Arnauld	Antoine Arnauld
Adelanto, Kalifòni	Adelanto
Mitchell Feigenbaum	Mitchell Feigenbaum
Gary Dourdan	Gary Dourdan
Mikhail Vasilievich Ostrogradsky	Michail Ostrogradski
Charles Dupuy	Charles Dupuy
Wilbur Smith	Wilbur Smith (schrijver)
Rafael Bombelli	Rafael Bombelli
Burning Spear	Burning Spear
Lorenzo Mascheroni	Lorenzo Mascheroni
Adeline, Ilinwa	Adeline
Sèl (materyo chimik)	Salz
Yakov Borisovich Zel'dovich	Jakov Borisovitsj Zeldovitsj
Patrick, Kawolin disid	Patrick (South Carolina)
Natick, Massachusetts	Natick
Baldwin City, Kansas	Baldwin City
Ettore Majorana	Ettore Majorana
Orange Park, Florid	Orange Park
Fairfield, Ilinwa	Fairfield (Illinois)
Adriaan Fokker	Adriaan Fokker
Chesnee, Kawolin disid	Chesnee
North Plainfield, New Jersey	North Plainfield
Waldenburg, Arkansas	Waldenburg (Arkansas)
Ioan James	Ioan James
Evadale, Texas	Evadale
Crestone, Kolorado	Crestone
Maxim Kontsevich	Maxim Kontsevitsj
Jean-Christophe Yoccoz	Jean-Christophe Yoccoz
Daniel Quillen	Daniel Quillen
Vladimir Voevodsky	Vladimir Vojevodski
Tom Lehrer	Tom Lehrer
Sizzla	Sizzla
Jean-Charles de Borda	Jean-Charles de Borda
El Cajon, Kalifòni	El Cajon
Alan Sokal	Alan Sokal
Robert Moody	Robert Moody
Hugh Everett	Hugh Everett
Peter Shor	Peter Shor
John Stewart Bell	John Bell
Paul Halmos	Paul Halmos
Shawn Wayans	Shawn Wayans
Poquott, New York	Poquott
George William Hill	George William Hill
Srinivasa Varadhan	S.R. Srinivasa Varadhan
Agra, Oklahoma	Agra (Oklahoma)
Ames, Oklahoma	Ames (Oklahoma)
Con Dao	Côn Đảo (archipel)
Daly City	Daly City
Pembroke Pines, Florid	Pembroke Pines
Sparta, Ohio	Sparta (Ohio)
Robinson, Ilinwa	Robinson (Illinois)
Manderson, Wyoming	Manderson
Martinsburg, Pennsilvani	Martinsburg (Pennsylvania)
Samuel Dalembert	Samuel Dalembert
Claude Gaspard Bachet de Meziriac	Claude Gaspard Bachet de Méziriac
Philippe de La Hire	Philippe de La Hire
Rene-Louis Baire	René Baire
Eugenio Beltrami	Eugenio Beltrami
Solomon Lefschetz	Solomon Lefschetz
Serge Lang	Serge Lang
Jean Dieudonne	Jean Dieudonné
Andrey Nikolayevich Tychonoff	Andrej Nikolajevitsj Tychonov
Ambler, Pennsilvani	Ambler (Pennsylvania)
Adrian, Georgie	Adrian (Georgia)
Adrian, Missouri	Adrian (Missouri)
Escondido, Kalifòni	Escondido
Bipèd	Bipedie
Chauncey, Ohio	Chauncey (Ohio)
Hanover, Minnesota	Hanover (Minnesota)
Pinedale, Wyoming	Pinedale
Oak Ridge, Missouri	Oak Ridge (Missouri)
Estherville, Iowa	Estherville
Koulè segondè	Secundaire kleur
Koulè konplemantè	Complementaire kleur
Wheelwright, Kentucky	Wheelwright (Kentucky)
Harrogate, Tennessee	Harrogate-Shawanee
Peever, Dakota disid	Peever
Tabor, Dakota disid	Tabor (South Dakota)
Kennett, Missouri	Kennett (Missouri)
Santaquin, Utah	Santaquin
Prescott Valley, Arizona	Prescott Valley
Morrison, Ilinwa	Morrison (Illinois)
Decker, Indiana	Decker (Indiana)
Hanford, Kalifòni	Hanford (Californië)
West Milford, New Jersey	West Milford (New Jersey)
Charles-Eugène Delaunay	Charles-Eugène Delaunay
New Smyrna Beach, Florid	New Smyrna Beach
Porcuna (Jaén)	Porcuna
Clearlake, Kalifòni	Clearlake
Spanish Springs, Nevada	Spanish Springs
East Cape Girardeau, Ilinwa	East Cape Girardeau
Chittagong	Chittagong (stad)
Kutztown, Pennsilvani	Kutztown
Adrien Douady	Adrien Douady
Almaluez	Almaluez
Hokah, Minnesota	Hokah
Bell, Kalifòni	Bell (Californië)
McCall, Idaho	McCall
Sebring, Ohio	Sebring (Ohio)
Rock Springs, Wyoming	Rock Springs (Wyoming)
Ellsworth, Ilinwa	Ellsworth (Illinois)
Vetivè	Vetiver
Clinton, Oklahoma	Clinton (Oklahoma)
Blue Springs, Missouri	Blue Springs (Missouri)
Buda, Texas	Buda (Texas)
Advance, Missouri	Advance (Missouri)
Pierre Varignon	Pierre Varignon
Tamariyo	Tamarillo
Oliver Lodge	Oliver Lodge
Joseph Plateau	Joseph Plateau
Harold Jeffreys	Harold Jeffreys
Ovil	Zaadknop
Pras Michel	Pras Michel
Oscar Zariski	Oscar Zariski
Simon Norton	Simon Norton
Gilles de Roberval	Gilles Personne de Roberval
Louis Poinsot	Louis Poinsot
Damon Wayans	Damon Wayans
Raoul Cédras	Raoul Cédras
Barbourmeade, Kentucky	Barbourmeade
Rockwall, Texas	Rockwall
Bethalto, Ilinwa	Bethalto
Degre	Graad
San Carlos, Kalifòni	San Carlos (Californië)
Solana Beach, Kalifòni	Solana Beach
Edison, Nebraska	Edison (Nebraska)
Moore, Idaho	Moore (Idaho)
Begíjar (Jaén)	Begíjar
Dungannon, Vijini	Dungannon (Virginia)
Wheatland, Missouri	Wheatland (Missouri)
Jenkinsburg, Georgie	Jenkinsburg
East Germantown, Indiana	East Germantown
Richwood, Lwizyana	Richwood (Louisiana)
Hattiesburg, Mississippi	Hattiesburg
Luling, Lwizyana	Luling (Louisiana)
Vernonia, Oregon	Vernonia (Oregon)
Michie, Tennessee	Michie
Hunts Point, Washington	Hunts Point
Palm Beach Shores, Florid	Palm Beach Shores
Long Point, Ilinwa	Long Point
American Falls, Idaho	American Falls (Idaho)
Mayville (Dakota dinò)	Mayville (North Dakota)
Clark, Pennsilvani	Clark (Pennsylvania)
Jules Antoine Lissajous	Jules Antoine Lissajous
Paragonah, Utah	Paragonah
Waterloo, Oregon	Waterloo (Oregon)
Disip	Discipel
Piyon (komin)	Pignon (Haïti)
Salem, Missouri	Salem (Missouri)
Hightstown, New Jersey	Hightstown
Parker, Kolorado	Parker (Colorado)
White, Georgie	White (Georgia)
Mammoth, Arizona	Mammoth (Arizona)
Whitehall, New York	Whitehall (New York)
Peru, Indiana	Peru (Indiana)
Pandora, Ohio	Pandora (Ohio)
Sylvania, Ohio	Sylvania (Ohio)
Des Plaines, Ilinwa	Des Plaines
Milford, Utah	Milford (Utah)
Malibu, Kalifòni	Malibu (Californië)
Golden City, Missouri	Golden City
Paradise, Kalifòni	Paradise (Californië)
Antimony, Utah	Antimony
Falfurrias, Texas	Falfurrias
Hometown, Ilinwa	Hometown (Illinois)
Celina, Ohio	Celina (Ohio)
Norwalk, Ohio	Norwalk (Ohio)
Pis	Vlooien
College Park, Georgie	College Park (Georgia)
Chansòl (komin)	Chansolme
Houma, Lwizyana	Houma (Louisiana)
Portage, Ohio	Portage (Ohio)
Carlisle, Iowa	Carlisle (Iowa)
Wheaton, Kansas	Wheaton (Kansas)
Milo, Missouri	Milo (Missouri)
Stone Creek, Ohio	Stone Creek
Carbondale, Kolorado	Carbondale (Colorado)
Holland, Texas	Holland (Texas)
Newport, Nebraska	Newport (Nebraska)
Savoy, Ilinwa	Savoy (Illinois)
Afton, Wyoming	Afton (Wyoming)
West Allis, Wisconsin	West Allis
Goodell, Iowa	Goodell
Dana, Indiana	Dana (Indiana)
Iva, Kawolin disid	Iva (South Carolina)
Killbuck, Ohio	Killbuck
Peter Barlow	Peter Barlow
Evergreen Park, Ilinwa	Evergreen Park
Hanover Park, Ilinwa	Hanover Park
Matie	Evangelie volgens Matteüs
Everett, Washington	Everett (Washington)
Siklòn Ike	Ike (orkaan)
Agenor	Agenor
Peryòd (jewoloji)	Periode (tijdperk)
Agoura Hills, Kalifòni	Agoura Hills
300 (menm non)	300 (doorverwijspagina)
Djibouti (menm non)	Djibouti
Agudo	Agudo (Rio Grande do Sul)
24 (menm non)	24 (doorverwijspagina)
326 (menm non)	326 (doorverwijspagina)
313 (menm non)	313 (doorverwijspagina)
54 (menm non)	54 (doorverwijspagina)
Palm Desert, Kalifòni	Palm Desert
Mèvèy	Marvel
1900 (menm non)	1900 (doorverwijspagina)
420 (menm non)	420 (doorverwijspagina)
Charleroi, Pennsilvani	Charleroi (Pennsylvania)
Cabool, Missouri	Cabool
North Charleroi, Pennsilvani	North Charleroi
Oak Grove, Missouri	Oak Grove
Qulin, Missouri	Qulin
Enterprise, Utah	Enterprise (Utah)
Lombard, Ilinwa	Lombard (Illinois)
South Holland, Ilinwa	South Holland (Illinois)
Aiken, Kawolin disid	Aiken (South Carolina)
Ailey, Georgie	Ailey
Washburn, Wisconsin	Washburn (Wisconsin)
Ainsworth, Nebraska	Ainsworth (Nebraska)
John Kerr	John Kerr
Etienne	Etienne
Franklinville, New York	Franklinville
Falls Church, Vijini	Falls Church
747 (menm non)	747 (doorverwijspagina)
1100 (menm non)	1100 (doorverwijspagina)
160 (menm non)	160 (doorverwijspagina)
40 (menm non)	40 (doorverwijspagina)
737 (menm non)	737 (doorverwijspagina)
18 (menm non)	18 (doorverwijspagina)
Bèso	Wieg
Ajo, Arizona	Ajo
Ajuricaba	Ajuricaba
113 (menm non)	113 (doorverwijspagina)
Aki	Aki (plant)
Islandia	Islandia
Bromazepam	Bromazepam
Klowokin	Chloroquine
Doksisiklin	Doxycycline
Jantamisin	Gentamicine
Makrolid	Macrolide
Ocean Shores, Washington	Ocean Shores
Donald, Oregon	Donald (plaats)
Amorita, Oklahoma	Amorita
Watkinsville, Georgie	Watkinsville
Dillonvale, Ohio	Dillonvale
Millstadt, Ilinwa	Millstadt
Moraleda de Zafayona (Grenad)	Moraleda de Zafayona
Troutdale, Oregon	Troutdale (Oregon)
Lavina, Montana	Lavina
Temple, Texas	Temple (Texas)
Salobreña (Grenad)	Salobreña
New Bloomfield, Missouri	New Bloomfield
Evan, Minnesota	Evan (Minnesota)
Sea Ranch Lakes, Florid	Sea Ranch Lakes
Coral Gables, Florid	Coral Gables
Karnes City, Texas	Karnes City
Rolfe, Iowa	Rolfe (Iowa)
Chamberlain, Dakota disid	Chamberlain (South Dakota)
85 (nonm)	85 (getal)
Krebs, Oklahoma	Krebs (Oklahoma)
Nassau Bay, Texas	Nassau Bay
Vyolèt	Violet
Tom Apostol	Tom Apostol
Darlington, Kawolin disid	Darlington (South Carolina)
Riverside, Ohio	Riverside (Ohio)
Calhoun, Ilinwa	Calhoun (Illinois)
Asosi	Sopropo
Rochester, Wisconsin	Rochester (Wisconsin)
Los Palacios y Villafranca (Seville)	Los Palacios y Villafranca
Arlington, Nebraska	Arlington (Nebraska)
Woz (koulè)	Roze
Ridgway, Pennsilvani	Ridgway (Pennsylvania)
Hallettsville, Texas	Hallettsville
Hoopeston, Ilinwa	Hoopeston
Smithville, Mississippi	Smithville (Mississippi)
Weatherly, Pennsilvani	Weatherly
Woodville, Wisconsin	Woodville (Wisconsin)
Linwood, New Jersey	Linwood (New Jersey)
Bellingham, Washington	Bellingham (Washington)
National City, Kalifòni	National City
Gans, Oklahoma	Gans (Oklahoma)
Quitman, Missouri	Quitman (Missouri)
Livingston, Kawolin disid	Livingston (South Carolina)
Agency, Iowa	Agency (Iowa)
Big Bear Lake, Kalifòni	Big Bear Lake
Pearl City, Ilinwa	Pearl City (Illinois)
Owensville, Missouri	Owensville (Missouri)
Krotz Springs, Lwizyana	Krotz Springs
Marianne Jean-Baptiste	Marianne Jean-Baptiste
Aurora, Indiana	Aurora (Indiana)
Twinsburg, Ohio	Twinsburg
Portersville, Pennsilvani	Portersville
Port Neches, Texas	Port Neches
Elgin, Oklahoma	Elgin (Oklahoma)
Sycamore, Ilinwa	Sycamore (Illinois)
Chico, Kalifòni	Chico
Osgood, Indiana	Osgood (Indiana)
Nevada, Texas	Nevada (Texas)
Crandall, Indiana	Crandall (Indiana)
Wauneta, Nebraska	Wauneta
27 (nonm)	27 (getal)
Altamonte Springs, Florid	Altamonte Springs
35 (nonm)	35 (getal)
64 (nonm)	64 (getal)
99 (nonm)	99 (getal)
AN	An
Altenburg, Missouri	Altenburg (Missouri)
Altha, Florid	Altha
Gregory Isaacs	Gregory Isaacs
Christophorus Buys Ballot	Christophorus Buys Ballot
Edward Kasner	Edward Kasner
Paul Pierre Levy	Paul Lévy
Jean Leray	Jean Leray
Victor Frederick Weisskopf	Victor Weisskopf
Prince Buster	Prince Buster
Alexandre-Theophile Vandermonde	Alexandre-Théophile Vandermonde
George Atwood	George Atwood
Bunny Wailer	Bunny Livingston
Bruny Surin	Bruny Surin
Saunders Mac Lane	Saunders Mac Lane
William George Horner	William George Horner
Gabriele Veneziano	Gabriele Veneziano
William Burnside	William Burnside
Alton, Ilinwa	Alton (Illinois)
Altoona, Alabama	Altoona (Alabama)
Altoona, Iowa	Altoona (Iowa)
Altoona, Wisconsin	Altoona (Wisconsin)
Altoona, Pennsilvani	Altoona (Pennsylvania)
108 (nonm)	108 (getal)
101 (nonm)	101 (getal)
Alturas, Kalifòni	Alturas
Altus, Oklahoma	Altus (Oklahoma)
Jacques Herbrand	Jacques Herbrand
Alvarado, Texas	Alvarado (Texas)
Alvin, Texas	Alvin (Texas)
Alvin Weinberg	Alvin Weinberg
Desalin (menm non)	Dessalines
Ashland, Oregon	Ashland (Oregon)
Garcelle Beauvais	Garcelle Beauvais
Fan Chung	Fan Chung
Julia Alvarez	Julia Alvarez
Tanya Stephens	Tanya Stephens
Gertrude Mary Cox	Gertrude Mary Cox
Chien-Shiung Wu	Chien-Shiung Wu
Lisa Randall	Lisa Randall
Rita Marley	Rita Marley
Grace Jones	Grace Jones
Alájar (Huelva)	Alájar
August Leopold Crelle	August Leopold Crelle
Pierre Wantzel	Pierre-Laurent Wantzel
Hendrick Kramers	Hendrik Kramers
Macedonio Melloni	Macedonio Melloni
Lev Pontryagin	Lev Pontrjagin
Ivan Matveyevich Vinogradov	Ivan Matvejevitsj Vinogradov
Jacques Tits	Jacques Tits
Gaspard de Prony	Gaspard de Prony
Wilfrid Hodges	Wilfrid Hodges
Giambattista Benedetti	Giambattista Benedetti
Roger Cotes	Roger Cotes
William Brouncker	William Brouncker
Pavel Samuilovich Urysohn	Pavel Urysohn
Charles Bell	Charles Bell (arts)
Douglas Hartree	Douglas Hartree
Julia Robinson	Julia Robinson
Max Romeo	Max Romeo
Amanda, Ohio	Amanda (Ohio)
Nikolay Bogolyubov	Nikolaj Bogoljoebov
Amboy, Indiana	Amboy (Indiana)
Amboy, Ilinwa	Amboy (Illinois)
Liv Mòman	Boek van Mormon
Thomas Bradwardine	Thomas Bradwardine
Ertha Pascal-Trouillot	Ertha Pascal-Trouillot
Grand Island, Nebraska	Grand Island (Nebraska)
Kenosha, Wisconsin	Kenosha
Idrat	Hydraat
White Plains, New York	White Plains (New York)
Urbana, Ilinwa	Urbana (Illinois)
Glisman lan	Kruip
Amenia, New York	Amenia (New York)
Cape Coral, Florid	Cape Coral
Evanston, Ilinwa	Evanston (Illinois)
Lakewood, Kolorado	Lakewood (Colorado)
Tatyana Afanasyeva	Tatjana Afanasjeva
American Canyon, Kalifòni	American Canyon
Maryse Condé	Maryse Condé
American Fork, Utah	American Fork
Great Falls, Montana	Great Falls (Montana)
Augustus Pablo	Augustus Pablo
Benjamin Peirce	Benjamin Peirce
Butte, Montana	Butte (Montana)
Stephen Marley	Stephen Marley
Pwonon pèsonèl	Persoonlijk voornaamwoord
Ames, Texas	Ames (Texas)
Ames, Iowa	Ames (Iowa)
Lawrence Krauss	Lawrence Krauss
Nicholas Shepherd-Barron	Nicholas Shepherd-Barron
Walter Rudin	Walter Rudin
Patrick Chamoiseau	Patrick Chamoiseau
Antoine Gombaud	Antoine Gombaud
John Henry Poynting	John Henry Poynting
Pyotr Nikolaevich Lebedev	Pjotr Lebedev
John Pell	John Pell
Warrior King	Tom-Yum-Goong
Yuval Ne'eman	Yuval Ne'eman
Emmanuel Sanon	Emmanuel Sanon
Kachiman	Custardappel
153 (nonm)	153 (getal)
Wanaque, New Jersey	Wanaque
Troy, Ohio	Troy (Ohio)
Paramore	Paramore
Westlake Village, Kalifòni	Westlake Village
Wildwood, Missouri	Wildwood (Missouri)
La Puente, Kalifòni	La Puente
Friendswood, Texas	Friendswood
Vandalia, Ohio	Vandalia (Ohio)
Brownsville, Tennessee	Brownsville (Tennessee)
Zizye	Spiermaag
Coritiba Foot Ball Club	Coritiba Foot Ball Club
Maysville, Kentucky	Maysville (Kentucky)
Amsterdam, New York	Amsterdam (stad in New York)
Holliday, Texas	Holliday (Texas)
Mount Gretna, Pennsilvani	Mount Gretna
Kirkwood, Ilinwa	Kirkwood (Illinois)
Kennard, Texas	Kennard (Texas)
Aewopò Tan Son Nhat	Internationale Luchthaven Tân Sơn Nhất
Kayiman	Kaaimannen
Farr West, Utah	Farr West
West Bountiful, Utah	West Bountiful
Washington, Utah	Washington (Utah)
Smithfield, Utah	Smithfield (Utah)
Fairview, Utah	Fairview (Utah)
Woodland Hills, Utah	Woodland Hills (Utah)
Myton, Utah	Myton
Naples, Utah	Naples (Utah)
Eureka, Utah	Eureka (Utah)
Mount Pleasant, Utah	Mount Pleasant (Utah)
Ivins, Utah	Ivins (Utah)
Syracuse, Utah	Syracuse (Utah)
Cedar Hills, Utah	Cedar Hills (Utah)
Providence, Utah	Providence (Utah)
Delta, Utah	Delta (Utah)
Orangeville, Utah	Orangeville (Utah)
Woodruff, Utah	Woodruff (Utah)
Francis, Utah	Francis (Utah)
Tabiona, Utah	Tabiona
Elmo, Utah	Elmo (Utah)
Vineyard, Utah	Vineyard (Utah)
Vernon, Utah	Vernon (Utah)
Clawson, Utah	Clawson (Utah)
Scipio, Utah	Scipio (Utah)
Clarkston, Utah	Clarkston (Utah)
Leeds, Utah	Leeds (Utah)
Wallsburg, Utah	Wallsburg
Howell, Utah	Howell (Utah)
Joseph, Utah	Joseph (Utah)
Scofield, Utah	Scofield (Utah)
Rush Valley, Utah	Rush Valley
Mapleton, Utah	Mapleton (Utah)
Springdale, Utah	Springdale (Utah)
Kaysville, Utah	Kaysville
Midvale, Utah	Midvale (Utah)
Holladay, Utah	Holladay
Cottonwood Heights, Utah	Cottonwood Heights
Wales, Utah	Wales (Utah)
Spanish Fork, Utah	Spanish Fork
Virgin, Utah	Virgin (Utah)
South Ogden, Utah	South Ogden
Lindon, Utah	Lindon (Utah)
Tremonton, Utah	Tremonton
Hooper, Utah	Hooper (Utah)
Hurricane, Utah	Hurricane (Utah)
Logan, Utah	Logan (Utah)
Plymouth, Utah	Plymouth (Utah)
West Point, Utah	West Point (Utah)
Glendale, Utah	Glendale (Utah)
Trenton, Utah	Trenton (Utah)
Cannonville, Utah	Cannonville
Sterling, Utah	Sterling (Utah)
Uintah, Utah	Uintah
Tropic, Utah	Tropic
Ferron, Utah	Ferron (Utah)
Lyman, Utah	Lyman (Utah)
Willard, Utah	Willard (Utah)
Corinne, Utah	Corinne
Ephraim, Utah	Ephraim (Utah)
La Verkin, Utah	La Verkin
North Salt Lake, Utah	North Salt Lake
Perry, Utah	Perry (Utah)
Cornish, Utah	Cornish (Utah)
Centerfield, Utah	Centerfield
Paradise, Utah	Paradise (Utah)
Heber City, Utah	Heber City
Levan, Utah	Levan (Utah)
Plain City, Utah	Plain City (Utah)
Murray, Utah	Murray (Utah)
Vernal, Utah	Vernal (Utah)
Pleasant Grove, Utah	Pleasant Grove (Utah)
Moroni, Utah	Moroni (Utah)
Emery, Utah	Emery (Utah)
South Salt Lake, Utah	South Salt Lake
Wellsville, Utah	Wellsville (Utah)
Woods Cross, Utah	Woods Cross
Springville, Utah	Springville (Utah)
Castle Valley, Utah	Castle Valley
Draper, Utah	Draper (Utah)
Price, Utah	Price (Utah)
Newton, Utah	Newton (Utah)
Wellington, Utah	Wellington (Utah)
Mayfield, Utah	Mayfield (Utah)
Tooele, Utah	Tooele
Payson, Utah	Payson (Utah)
North Logan, Utah	North Logan
Lynndyl, Utah	Lynndyl
Bluffdale, Utah	Bluffdale
Sunset, Utah	Sunset (Utah)
Spring City, Utah	Spring City (Utah)
Brigham City, Utah	Brigham City
Beaver, Utah	Beaver (Utah)
Park City, Utah	Park City (Utah)
Farmington, Utah	Farmington (Utah)
Sunnyside, Utah	Sunnyside (Utah)
Millville, Utah	Millville (Utah)
Hildale, Utah	Hildale
Henrieville, Utah	Henrieville
Pleasant View, Utah	Pleasant View (Utah)
Bear River City, Utah	Bear River City
Ballard, Utah	Ballard (Utah)
Grantsville, Utah	Grantsville (Utah)
Huntsville, Utah	Huntsville (Utah)
Torrey, Utah	Torrey
Brian Head, Utah	Brian Head
Fruit Heights, Utah	Fruit Heights
Clinton, Utah	Clinton (Utah)
Fountain Green, Utah	Fountain Green
Bountiful, Utah	Bountiful
Hyde Park, Utah	Hyde Park (Utah)
Centerville, Utah	Centerville (Utah)
Mendon, Utah	Mendon (Utah)
Nibley, Utah	Nibley
Santa Clara, Utah	Santa Clara (Utah)
Enoch, Utah	Enoch (Utah)
Washington Terrace, Utah	Washington Terrace
Monroe, Utah	Monroe (Utah)
Coalville, Utah	Coalville (Utah)
South Weber, Utah	South Weber
